label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_weekly_turnover,ann_turnover,ann_cost_drag,variant,state,period,bl_sharpe,sharpe_delta
neutral_mixed+slowdown,0.232457,0.095078,2.444918,3.873013,4.849972,-0.04793,-0.006979,-0.025787,0.655172,58,0.077073,4.007796,0.004008,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,neutral_mixed+slowdown,holdout,2.4004,0.0445
neutral_mixed,0.0968,0.074501,1.299306,1.595776,1.121985,-0.086275,-0.017488,-0.024353,0.528736,435,0.06771,3.520921,0.003521,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,neutral_mixed,dev,1.2825,0.0168
neutral_mixed+slowdown,0.154775,0.076884,2.013089,3.21021,4.645473,-0.033317,-0.005902,-0.018702,0.564103,78,0.068331,3.55322,0.003553,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,neutral_mixed+slowdown,dev,2.0069,0.0062
calm_trend,0.039959,0.077575,0.5151,0.669624,0.290942,-0.137343,-0.058782,-0.026403,0.559567,277,0.070368,3.659139,0.003659,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,calm_trend,dev,0.5001,0.015
stressed_panic,0.035162,0.074639,0.471089,0.533568,0.288931,-0.121695,-0.026403,-0.02261,0.553488,215,0.054847,2.852038,0.002852,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,stressed_panic,dev,0.474,-0.0029
recovery_fragile,0.060836,0.060431,1.006696,1.350377,1.943522,-0.031302,-0.008467,-0.017121,0.577778,45,0.108818,5.658519,0.005659,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,recovery_fragile,dev,0.9787,0.028
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.233142,0.097356,2.394753,3.678172,4.593447,-0.050755,-0.00726,-0.026999,0.655172,58,0.075031,3.90161,0.003902,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,neutral_mixed,holdout,2.4004,-0.0056
neutral_mixed+slowdown,0.233142,0.097356,2.394753,3.678172,4.593447,-0.050755,-0.00726,-0.026999,0.655172,58,0.075031,3.90161,0.003902,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,neutral_mixed+slowdown,holdout,2.4004,-0.0056
neutral_mixed,0.095744,0.074084,1.292356,1.581959,1.109743,-0.086275,-0.017468,-0.024327,0.528736,435,0.066901,3.478869,0.003479,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,neutral_mixed,dev,1.2825,0.0099
neutral_mixed+slowdown,0.150647,0.07493,2.010487,3.197045,4.669426,-0.032262,-0.005708,-0.018443,0.564103,78,0.065081,3.384205,0.003384,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,neutral_mixed+slowdown,dev,2.0069,0.0036
calm_trend,0.03881,0.077672,0.499667,0.646613,0.278302,-0.139453,-0.060932,-0.026562,0.559567,277,0.069516,3.614808,0.003615,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,calm_trend,dev,0.5001,-0.0004
stressed_panic,0.035178,0.074639,0.471316,0.533814,0.28907,-0.121695,-0.026403,-0.02261,0.553488,215,0.054758,2.847417,0.002847,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,stressed_panic,dev,0.474,-0.0027
recovery_fragile,0.059853,0.06022,0.99391,1.328565,1.912129,-0.031302,-0.008467,-0.017121,0.577778,45,0.1097,5.704411,0.005704,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,recovery_fragile,dev,0.9787,0.0152
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.228352,0.095382,2.394085,3.709929,4.627955,-0.049342,-0.007107,-0.026371,0.655172,58,0.074456,3.871719,0.003872,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,neutral_mixed,holdout,2.4004,-0.0063
neutral_mixed+slowdown,0.228352,0.095382,2.394085,3.709929,4.627955,-0.049342,-0.007107,-0.026371,0.655172,58,0.074456,3.871719,0.003872,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,neutral_mixed+slowdown,holdout,2.4004,-0.0063
neutral_mixed,0.096384,0.074314,1.296978,1.59073,1.117167,-0.086275,-0.017483,-0.02434,0.528736,435,0.06741,3.505316,0.003505,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,neutral_mixed,dev,1.2825,0.0145
neutral_mixed+slowdown,0.152625,0.07594,2.0098,3.199505,4.621236,-0.033027,-0.005842,-0.018573,0.564103,78,0.067293,3.499216,0.003499,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,neutral_mixed+slowdown,dev,2.0069,0.0029
calm_trend,0.038914,0.077788,0.500259,0.646546,0.281173,-0.138398,-0.060448,-0.026641,0.559567,277,0.069535,3.615799,0.003616,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,calm_trend,dev,0.5001,0.0002
stressed_panic,0.035162,0.074639,0.471095,0.533582,0.288935,-0.121695,-0.026404,-0.02261,0.553488,215,0.054837,2.851518,0.002852,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,stressed_panic,dev,0.474,-0.0029
recovery_fragile,0.060447,0.060346,1.001671,1.341742,1.931095,-0.031302,-0.008467,-0.017121,0.577778,45,0.109167,5.676659,0.005677,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,recovery_fragile,dev,0.9787,0.023
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.230771,0.09647,2.392162,3.698376,4.610949,-0.050049,-0.007205,-0.026685,0.655172,58,0.075338,3.917588,0.003918,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,neutral_mixed,holdout,2.4004,-0.0082
neutral_mixed+slowdown,0.230771,0.09647,2.392162,3.698376,4.610949,-0.050049,-0.007205,-0.026685,0.655172,58,0.075338,3.917588,0.003918,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,neutral_mixed+slowdown,holdout,2.4004,-0.0082
neutral_mixed,0.095586,0.074068,1.290518,1.579299,1.107913,-0.086275,-0.017468,-0.024327,0.528736,435,0.066772,3.47216,0.003472,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,neutral_mixed,dev,1.2825,0.008
neutral_mixed+slowdown,0.150479,0.074933,2.008183,3.192733,4.66423,-0.032262,-0.005707,-0.018443,0.564103,78,0.064354,3.346406,0.003346,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,neutral_mixed+slowdown,dev,2.0069,0.0013
calm_trend,0.039311,0.077506,0.507195,0.658555,0.281893,-0.139453,-0.060321,-0.026404,0.559567,277,0.06988,3.633764,0.003634,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,calm_trend,dev,0.5001,0.0071
stressed_panic,0.035178,0.074639,0.471316,0.533814,0.28907,-0.121695,-0.026403,-0.02261,0.553488,215,0.054758,2.847417,0.002847,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,stressed_panic,dev,0.474,-0.0027
recovery_fragile,0.059853,0.06022,0.99391,1.328565,1.912129,-0.031302,-0.008467,-0.017121,0.577778,45,0.1097,5.704411,0.005704,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,recovery_fragile,dev,0.9787,0.0152
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.228352,0.095382,2.394085,3.709929,4.627955,-0.049342,-0.007107,-0.026371,0.655172,58,0.074456,3.871719,0.003872,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,neutral_mixed,holdout,2.4004,-0.0063
neutral_mixed+slowdown,0.228352,0.095382,2.394085,3.709929,4.627955,-0.049342,-0.007107,-0.026371,0.655172,58,0.074456,3.871719,0.003872,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,neutral_mixed+slowdown,holdout,2.4004,-0.0063
neutral_mixed,0.095928,0.074263,1.291728,1.583706,1.111884,-0.086275,-0.017488,-0.02434,0.528736,435,0.067227,3.495787,0.003496,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,neutral_mixed,dev,1.2825,0.0092
neutral_mixed+slowdown,0.151851,0.075663,2.006935,3.198733,4.597809,-0.033027,-0.005854,-0.018409,0.564103,78,0.066114,3.437939,0.003438,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,neutral_mixed+slowdown,dev,2.0069,0.0
calm_trend,0.038623,0.077736,0.496852,0.641688,0.27904,-0.138414,-0.060461,-0.026643,0.559567,277,0.069594,3.618902,0.003619,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,calm_trend,dev,0.5001,-0.0032
stressed_panic,0.035165,0.074639,0.471134,0.533626,0.288959,-0.121695,-0.026404,-0.02261,0.553488,215,0.054781,2.848619,0.002849,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,stressed_panic,dev,0.474,-0.0029
recovery_fragile,0.058666,0.059982,0.978054,1.302209,1.874197,-0.031302,-0.008467,-0.017121,0.577778,45,0.110768,5.759914,0.00576,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,recovery_fragile,dev,0.9787,-0.0006
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.229796,0.094607,2.428961,3.841987,4.794454,-0.04793,-0.006977,-0.025737,0.655172,58,0.076208,3.962793,0.003963,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,neutral_mixed,holdout,2.4004,0.0286
neutral_mixed+slowdown,0.229796,0.094607,2.428961,3.841987,4.794454,-0.04793,-0.006977,-0.025737,0.655172,58,0.076208,3.962793,0.003963,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,neutral_mixed+slowdown,holdout,2.4004,0.0286
neutral_mixed,0.095409,0.074049,1.288454,1.576779,1.105862,-0.086275,-0.017471,-0.024327,0.528736,435,0.066755,3.471264,0.003471,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,neutral_mixed,dev,1.2825,0.006
neutral_mixed+slowdown,0.14996,0.074737,2.006502,3.193051,4.648141,-0.032262,-0.005719,-0.018336,0.564103,78,0.064125,3.334497,0.003334,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,neutral_mixed+slowdown,dev,2.0069,-0.0004
calm_trend,0.038616,0.077638,0.497385,0.643358,0.276886,-0.139465,-0.060941,-0.026563,0.559567,277,0.069561,3.617166,0.003617,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,calm_trend,dev,0.5001,-0.0027
stressed_panic,0.035175,0.074639,0.471275,0.533767,0.289044,-0.121695,-0.026403,-0.02261,0.553488,215,0.054817,2.850504,0.002851,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,stressed_panic,dev,0.474,-0.0027
recovery_fragile,0.058666,0.059982,0.978054,1.302209,1.874197,-0.031302,-0.008467,-0.017121,0.577778,45,0.110768,5.759914,0.00576,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,recovery_fragile,dev,0.9787,-0.0006
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.227779,0.093966,2.424067,3.813078,4.752369,-0.04793,-0.006931,-0.025686,0.655172,58,0.074915,3.895572,0.003896,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,neutral_mixed,holdout,2.4004,0.0237
neutral_mixed+slowdown,0.227779,0.093966,2.424067,3.813078,4.752369,-0.04793,-0.006931,-0.025686,0.655172,58,0.074915,3.895572,0.003896,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,neutral_mixed+slowdown,holdout,2.4004,0.0237
neutral_mixed,0.096147,0.074288,1.294245,1.586746,1.114425,-0.086275,-0.017483,-0.02434,0.528736,435,0.067211,3.494946,0.003495,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,neutral_mixed,dev,1.2825,0.0117
neutral_mixed+slowdown,0.152375,0.075944,2.00642,3.193114,4.61367,-0.033027,-0.005841,-0.018573,0.564103,78,0.066172,3.440947,0.003441,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,neutral_mixed+slowdown,dev,2.0069,-0.0005
calm_trend,0.039625,0.07754,0.511033,0.663952,0.286314,-0.138398,-0.059558,-0.026404,0.559567,277,0.070142,3.6474,0.003647,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,calm_trend,dev,0.5001,0.0109
stressed_panic,0.035162,0.074639,0.471095,0.533582,0.288935,-0.121695,-0.026404,-0.02261,0.553488,215,0.054837,2.851518,0.002852,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,stressed_panic,dev,0.474,-0.0029
recovery_fragile,0.060447,0.060346,1.001671,1.341742,1.931095,-0.031302,-0.008467,-0.017121,0.577778,45,0.109167,5.676659,0.005677,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,recovery_fragile,dev,0.9787,0.023
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.230771,0.09647,2.392162,3.698376,4.610949,-0.050049,-0.007205,-0.026685,0.655172,58,0.075338,3.917588,0.003918,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,neutral_mixed,holdout,2.4004,-0.0082
neutral_mixed+slowdown,0.230771,0.09647,2.392162,3.698376,4.610949,-0.050049,-0.007205,-0.026685,0.655172,58,0.075338,3.917588,0.003918,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,neutral_mixed+slowdown,holdout,2.4004,-0.0082
neutral_mixed,0.095032,0.073854,1.286761,1.572417,1.101501,-0.086275,-0.017454,-0.024313,0.531034,435,0.066391,3.452316,0.003452,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,neutral_mixed,dev,1.2825,0.0043
neutral_mixed+slowdown,0.148272,0.073901,2.00637,3.206749,4.731549,-0.031337,-0.005594,-0.018314,0.576923,78,0.062904,3.270997,0.003271,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,neutral_mixed+slowdown,dev,2.0069,-0.0005
calm_trend,0.038746,0.077557,0.499575,0.647234,0.275756,-0.140507,-0.061392,-0.026483,0.559567,277,0.069438,3.610797,0.003611,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,calm_trend,dev,0.5001,-0.0005
stressed_panic,0.035202,0.074638,0.471637,0.534138,0.289265,-0.121695,-0.026403,-0.02261,0.553488,215,0.054743,2.846649,0.002847,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,stressed_panic,dev,0.474,-0.0024
recovery_fragile,0.059259,0.060099,0.986037,1.315387,1.893163,-0.031302,-0.008467,-0.017121,0.577778,45,0.110234,5.732162,0.005732,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,recovery_fragile,dev,0.9787,0.0073
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.225219,0.09403,2.395176,3.698614,4.630738,-0.048636,-0.006995,-0.026003,0.637931,58,0.07475,3.887011,0.003887,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,neutral_mixed,holdout,2.4004,-0.0052
neutral_mixed+slowdown,0.225219,0.09403,2.395176,3.698614,4.630738,-0.048636,-0.006995,-0.026003,0.637931,58,0.07475,3.887011,0.003887,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,neutral_mixed+slowdown,holdout,2.4004,-0.0052
