cik10,candidate_symbols,company_name_as_filed,sector,symbol_source,ticker,started_at_utc,status,rows,first_observed_date,last_observed_date,history_file,uncompressed_sha256,compressed_sha256,error_type,error_message,completed_at_utc,first_eligible_decision,last_eligible_decision,history_overlaps_eligible_interval,issuer_period_probe_status
0001330849,HEROQ,"HERCULES OFFSHORE, INC.",energy,last_filing_instance_xbrl,HEROQ,2026-08-13T10:05:25.824622+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:26.028226+00:00,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,False,no_free_history
0001338613,RGP,REGENCY ENERGY PARTNERS LP,energy,last_filing_instance_xbrl,RGP,2026-08-13T10:05:57.153652+00:00,ok,6450,2000-12-15 00:00:00+00:00,2026-08-12 00:00:00+00:00,histories/RGP.csv.gz,fd259300d3f9e30a2f91a1cc54697116cde6b23940c5d41563b9cb05d54179f3,6eb18674426e6b7b5c5821e074e4da68e9bc7f170afc4cc620aed6d5ab9e9a85,,,2026-08-13T10:05:57.540528+00:00,2012-04-01 00:00:00+00:00,2016-07-01 00:00:00+00:00,True,history_overlaps_eligible_period
0001340282,ROSE,ROSETTA RESOURCES INC.,energy,last_filing_instance_xbrl,ROSE,2026-08-13T10:05:58.019626+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:58.277331+00:00,2012-04-01 00:00:00+00:00,2016-10-01 00:00:00+00:00,False,no_free_history
0001343719,EXXI,ENERGY XXI LTD,energy,last_filing_instance_xbrl,EXXI,2026-08-13T10:05:20.139312+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:20.277313+00:00,2012-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,False,no_free_history
0001346980,CHAP,"CHAPARRAL ENERGY, INC.",energy,last_filing_inline_xbrl,CHAP,2026-08-13T10:05:04.658440+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:04.903999+00:00,2019-04-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,False,no_free_history
0001349976,ASEN,AMERICAN STANDARD ENERGY CORP.,energy,last_filing_instance_xbrl,ASEN,2026-08-13T10:04:56.028666+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:56.156951+00:00,2012-07-01 00:00:00+00:00,2014-01-01 00:00:00+00:00,False,no_free_history
0001358071,CXO,CONCHO RESOURCES INC,energy,last_filing_inline_xbrl,CXO,2026-08-13T10:05:11.479900+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:11.672188+00:00,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0001361937,EVEP,"EV ENERGY PARTNERS, LP",energy,last_filing_instance_xbrl,EVEP,2026-08-13T10:05:19.695592+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:19.863694+00:00,2012-04-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,False,no_free_history
0001397516,REXX,REX ENERGY CORP,energy,last_filing_instance_xbrl,REXX,2026-08-13T10:05:56.988710+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:57.153624+00:00,2012-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,False,no_free_history
0001402281,ERN,ERIN ENERGY CORP.,energy,last_filing_instance_xbrl,ERN,2026-08-13T10:05:18.299406+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:18.439076+00:00,2012-04-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,False,no_free_history
0001403853,NESC,"NUVERRA ENVIRONMENTAL SOLUTIONS, INC.",energy,last_filing_instance_xbrl,NESC,2026-08-13T10:05:46.533165+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:46.723389+00:00,2012-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,False,no_free_history
0001404079,SSN,SAMSON OIL & GAS LTD,energy,last_filing_instance_xbrl,SSN,2026-08-13T10:06:06.622201+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:06.778676+00:00,2012-04-01 00:00:00+00:00,2016-07-01 00:00:00+00:00,False,no_free_history
0001405073,AREX,APPROACH RESOURCES INC,energy,last_filing_instance_xbrl,AREX,2026-08-13T10:04:54.918570+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:55.125533+00:00,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,no_free_history
0001413507,SRCI,SRC ENERGY INC.,energy,last_filing_inline_xbrl,SRCI,2026-08-13T10:06:06.065025+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:06.273716+00:00,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,no_free_history
0001419428,VTG,VANTAGE DRILLING CO,energy,last_filing_instance_xbrl,VTG,2026-08-13T10:06:16.027449+00:00,ok,274,2025-07-10 00:00:00+00:00,2026-08-12 00:00:00+00:00,histories/VTG.csv.gz,d807684b49bc301d3bc493d19b07c01dbf28c4b6b73fe34ed0e9719aaa7c49d2,ec34a67ba89f9103741d2e69ea859a48abd75db01d154f5d58b70a1e5660d78b,,,2026-08-13T10:06:16.190340+00:00,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,False,history_outside_eligible_period_possible_ticker_reuse
0001419583,EOPT,"EOS PETRO, INC.",energy,last_filing_instance_xbrl,EOPT,2026-08-13T10:05:17.482394+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:17.764560+00:00,2014-10-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,False,no_free_history
0001431372,GST,GASTAR EXPLORATION INC.,energy,last_filing_instance_xbrl,GST,2026-08-13T10:05:24.644054+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:24.775988+00:00,2014-04-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,False,no_free_history
0001449488,CCLP,CSI COMPRESSCO LP,energy,last_filing_inline_xbrl,CCLP,2026-08-13T10:05:03.375840+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:03.609494+00:00,2012-07-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,False,no_free_history
0001449732,WGRP,"WILLBROS GROUP, INC.NEW",energy,last_filing_instance_xbrl,WGRP,2026-08-13T10:06:17.373498+00:00,ok,5471,1996-08-16 00:00:00+00:00,2018-06-01 00:00:00+00:00,histories/WGRP.csv.gz,c3f102d3181f44ea02c0d1030a59405ee61b5befe180dec4caf15c7072ce97db,4a7eb19d598b9eac1ffb277ee05a36d9cced385cdd49dcae82d483fffda68cb0,,,2026-08-13T10:06:17.759257+00:00,2012-07-01 00:00:00+00:00,2019-07-01 00:00:00+00:00,True,history_overlaps_eligible_period
0001458891,NE,NOBLE CORP,energy,last_filing_inline_xbrl,NE,2026-08-13T10:05:46.274477+00:00,ok,1299,2021-06-09 00:00:00+00:00,2026-08-12 00:00:00+00:00,histories/NE.csv.gz,632faddb0a9cb1fcafa09aef716f81acface707aaca99a4af6ef31e24fdc797f,50ddcf3f67b911725e315981f17fcf295f23800fd6bc471fde87a90807a6afcd,,,2026-08-13T10:05:46.533156+00:00,2012-04-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,True,history_overlaps_eligible_period
0001469510,REN,RESOLUTE ENERGY CORP,energy,last_filing_instance_xbrl,REN,2026-08-13T10:05:56.787601+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:56.988687+00:00,2012-04-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,False,no_free_history
0001471261,CIE,"COBALT INTERNATIONAL ENERGY, INC.",energy,last_filing_instance_xbrl,CIE,2026-08-13T10:05:05.183091+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:05.313988+00:00,2012-04-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,False,no_free_history
0001483496,RDMP,"RED MOUNTAIN RESOURCES, INC.",energy,last_filing_instance_xbrl,RDMP,2026-08-13T10:05:56.658638+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:56.787592+00:00,2014-01-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,False,no_free_history
0001489136,SEMG,SEMGROUP CORP,energy,last_filing_inline_xbrl,SEMG,2026-08-13T10:06:01.022836+00:00,ok,312,2025-05-14 00:00:00+00:00,2026-08-12 00:00:00+00:00,histories/SEMG.csv.gz,54697e47e3ecf8c7830d1a9abe601a2fcd7fdfd4c08c19ceb98f01a8a580fa31,6200215158423aa1fba70d9d81304664aec0a2409a272cc252e948e8a2ec2005,,,2026-08-13T10:06:01.181810+00:00,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,history_outside_eligible_period_possible_ticker_reuse
0001492832,EQU,EQUAL ENERGY LTD.,energy,last_filing_instance_xbrl,EQU,2026-08-13T10:05:18.109999+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:18.299386+00:00,2013-07-01 00:00:00+00:00,2015-10-01 00:00:00+00:00,False,no_free_history
0001502012,QRE,"QR ENERGY, LP",energy,last_filing_instance_xbrl,QRE,2026-08-13T10:05:55.650497+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:55.779591+00:00,2012-04-01 00:00:00+00:00,2016-01-01 00:00:00+00:00,False,no_free_history
0001509589,CIVI,"CIVITAS RESOURCES, INC.",energy,last_filing_inline_xbrl,CIVI,2026-08-13T10:05:05.524738+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:05.769878+00:00,2013-04-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,False,no_free_history
0001517342,PACD,PACIFIC DRILLING S.A.,energy,last_filing_inline_xbrl,PACD,2026-08-13T10:05:49.615303+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:49.884683+00:00,2020-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0001518832,WPX,"WPX ENERGY, INC.",energy,last_filing_inline_xbrl,WPX,2026-08-13T10:06:18.373369+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:18.693121+00:00,2013-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0001525287,SRLP,SPRAGUE RESOURCES LP,energy,last_filing_inline_xbrl,SRLP,2026-08-13T10:06:06.273738+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:06.622178+00:00,2015-04-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,False,no_free_history
0001527709,MCEP,"MID-CON ENERGY PARTNERS, LP",energy,last_filing_instance_xbrl,MCEP,2026-08-13T10:05:36.466285+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:36.754670+00:00,2013-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,False,no_free_history
0001528129,VTLE,"VITAL ENERGY, INC.",energy,last_filing_inline_xbrl,VTLE,2026-08-13T10:06:16.190348+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:16.389135+00:00,2013-04-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,False,no_free_history
0001529463,FTSI,"FTS INTERNATIONAL, INC.",energy,last_filing_inline_xbrl,FTSI,2026-08-13T10:05:22.360987+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:22.616714+00:00,2020-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0001532750,ARP,"TITAN ENERGY, LLC",energy,last_filing_instance_xbrl,ARP,2026-08-13T10:04:55.453735+00:00,ok,910,2022-12-22 00:00:00+00:00,2026-08-12 00:00:00+00:00,histories/ARP.csv.gz,8da2b966414212362c680e35d7d397a85075f42cb1d4333da0b7c6487c916e3d,89f7a8b0cce720457792923d9b2476e85342bc483387fe0ecd72d60ad332b33a,,,2026-08-13T10:04:55.661683+00:00,2012-10-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,False,history_outside_eligible_period_possible_ticker_reuse
0001533454,NTI,NORTHERN TIER ENERGY LP,energy,last_filing_instance_xbrl,NTI,2026-08-13T10:05:47.715786+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:47.839965+00:00,2014-04-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,False,no_free_history
0001537028,ICD,"INDEPENDENCE CONTRACT DRILLING, INC.",energy,last_filing_inline_xbrl,ICD,2026-08-13T10:05:27.513425+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:27.839701+00:00,2016-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0001540729,FELP,FORESIGHT ENERGY LP,energy,last_filing_instance_xbrl,FELP,2026-08-13T10:05:20.729108+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:20.979140+00:00,2016-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,no_free_history
