decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status,candidate_symbols,symbol_source,symbol_count,collision_flag,single_symbol_usable_for_price_probe,free_execution_price_available
2012-04-01 00:00:00+00:00,0001193125-12-075073,0000949039,DIAMOND OFFSHORE DRILLING INC,1381,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,,,former_or_unmapped,DO,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001000229-12-000012,0001000229,CORE LABORATORIES N V,1389,energy,10-K,1-LAF,2012-02-15,2012-02-16 00:00:00+00:00,20111231,2011,FY,2012Q1,45.0,,,former_or_unmapped,CLB,last_filing_inline_xbrl,1,True,False,False
2012-04-01 00:00:00+00:00,0001047469-12-001909,0001037676,ARCH COAL INC,1221,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,ARCH,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-088998,0001038357,PIONEER NATURAL RESOURCES CO,1311,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,PXD,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-120040,0001040593,CARRIZO OIL & GAS INC,1311,energy,10-K/A,1-LAF,2012-03-19,2012-03-20 00:00:00+00:00,20111231,2011,FY,2012Q1,12.0,,,former_or_unmapped,CRZO,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-128943,0001092289,TRANSATLANTIC PETROLEUM LTD.,1382,energy,10-K,2-ACC,2012-03-23,2012-03-24 00:00:00+00:00,20111231,2011,FY,2012Q1,8.0,,,former_or_unmapped,TAT,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001140361-12-010483,0001108827,"QEP RESOURCES, INC.",1311,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,QEP,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-077986,0001109189,BASIC ENERGY SERVICES INC,1389,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,BAS,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-103133,0001133260,UNION DRILLING INC,1381,energy,10-K,2-ACC,2012-03-08,2012-03-09 00:00:00+00:00,20111231,2011,FY,2012Q1,23.0,,,former_or_unmapped,UDRL,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001193125-12-077008,0001144945,PENN VIRGINIA RESOURCE PARTNERS L P,1221,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,PVR,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001047469-12-001276,0001168054,CIMAREX ENERGY CO,1311,energy,10-K,1-LAF,2012-02-22,2012-02-23 00:00:00+00:00,20111231,2011,FY,2012Q1,38.0,,,former_or_unmapped,XEC,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-074972,0001172139,BILL BARRETT CORP,1311,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,,,former_or_unmapped,BBG,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-112256,0001173911,ENBRIDGE ENERGY MANAGEMENT L L C,1311,energy,10-K,1-LAF,2012-03-13,2012-03-14 00:00:00+00:00,20111231,2011,FY,2012Q1,18.0,,,former_or_unmapped,EEQ,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001255474-12-000005,0001255474,WHITING PETROLEUM CORP,1311,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,,,former_or_unmapped,WLL,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001144204-12-010396,0001289790,MACQUARIE INFRASTRUCTURE CO LLC,5172,energy,10-K,1-LAF,2012-02-22,2012-02-23 00:00:00+00:00,20111231,2011,FY,2012Q1,38.0,,,former_or_unmapped,MIC,last_filing_inline_xbrl,1,True,False,False
2012-04-01 00:00:00+00:00,0001193125-12-092018,0001330849,"HERCULES OFFSHORE, INC.",1381,energy,10-K,2-ACC,2012-03-01,2012-03-02 00:00:00+00:00,20111231,2011,FY,2012Q1,30.0,,,former_or_unmapped,HEROQ,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001338613-12-000013,0001338613,REGENCY ENERGY PARTNERS LP,1311,energy,10-K,1-LAF,2012-02-22,2012-02-23 00:00:00+00:00,20111231,2011,FY,2012Q1,38.0,,,former_or_unmapped,RGP,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001193125-12-089069,0001340122,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",2911,energy,10-K,2-ACC,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,CLMT,last_filing_inline_xbrl,1,True,False,False
2012-04-01 00:00:00+00:00,0001193125-12-081879,0001340282,ROSETTA RESOURCES INC.,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped,ROSE,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001144204-12-005458,0001343719,ENERGY XXI (BERMUDA) LTD,1382,energy,10-Q,1-LAF,2012-02-02,2012-02-03 00:00:00+00:00,20111231,2012,Q2,2012Q1,58.0,,,former_or_unmapped,EXXI,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-076937,0001358071,CONCHO RESOURCES INC,1311,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,CXO,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001144204-12-011999,0001361937,"EV ENERGY PARTNERS, LP",1311,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,EVEP,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-117112,0001397516,REX ENERGY CORP,1311,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped,REXX,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-117053,0001402281,CAMAC ENERGY INC.,1381,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped,ERN,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-103864,0001403853,HECKMANN CORP,1389,energy,10-K,2-ACC,2012-03-08,2012-03-09 00:00:00+00:00,20111231,2011,FY,2012Q1,23.0,,,former_or_unmapped,NESC,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001144204-12-007009,0001404079,SAMSON OIL & GAS LTD,1381,energy,10-Q,2-ACC,2012-02-09,2012-02-10 00:00:00+00:00,20111231,2012,Q2,2012Q1,51.0,,,former_or_unmapped,SSN,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-108873,0001405073,APPROACH RESOURCES INC,1311,energy,10-K,2-ACC,2012-03-12,2012-03-13 00:00:00+00:00,20111231,2011,FY,2012Q1,19.0,,,former_or_unmapped,AREX,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001079973-12-000005,0001413507,SYNERGY RESOURCES CORP,1382,energy,10-Q,2-ACC,2012-01-09,2012-01-10 00:00:00+00:00,20111130,2012,Q1,2012Q1,82.0,,,former_or_unmapped,SRCI,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-117368,0001419428,VANTAGE DRILLING CO,1381,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped,VTG,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000950123-12-003293,0001458891,NOBLE CORP / SWITZERLAND,1381,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped,NE,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-110830,0001469510,RESOLUTE ENERGY CORP,1311,energy,10-K,2-ACC,2012-03-13,2012-03-14 00:00:00+00:00,20111231,2011,FY,2012Q1,18.0,,,former_or_unmapped,REN,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001047469-12-001183,0001471261,"COBALT INTERNATIONAL ENERGY, INC.",1311,energy,10-K,1-LAF,2012-02-21,2012-02-22 00:00:00+00:00,20111231,2011,FY,2012Q1,39.0,,,former_or_unmapped,CIE,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-140727,0001489136,SEMGROUP CORP,1389,energy,10-K/A,1-LAF,2012-03-30,2012-03-31 00:00:00+00:00,20111231,2011,FY,2012Q1,1.0,,,former_or_unmapped,SEMG,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001140361-12-015704,0001502012,"QR ENERGY, LP",1311,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped,QRE,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-101291,0000006284,ANALOGIC CORP,3825,technology,10-Q,2-ACC,2012-03-07,2012-03-08 00:00:00+00:00,20120131,2012,Q2,2012Q1,24.0,,,former_or_unmapped,ALOG,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0000021510-12-000004,0000021510,COHERENT INC,3826,technology,10-Q,1-LAF,2012-02-08,2012-02-09 00:00:00+00:00,20111231,2012,Q1,2012Q1,52.0,,,former_or_unmapped,COHR,last_filing_inline_xbrl,1,True,False,False
2012-04-01 00:00:00+00:00,0001193125-12-078045,0000023111,COMPUTER TASK GROUP INC,7371,technology,10-K,2-ACC,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,CTG,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001104659-12-006258,0000026076,CUBIC CORP /DE/,3829,technology,10-Q,1-LAF,2012-02-02,2012-02-03 00:00:00+00:00,20111231,2012,Q1,2012Q1,58.0,,,former_or_unmapped,CUB,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-094444,0000033619,ESTERLINE TECHNOLOGIES CORP,3823,technology,10-Q,1-LAF,2012-03-02,2012-03-03 00:00:00+00:00,20120131,2012,Q1,2012Q1,29.0,,,former_or_unmapped,ESL,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000036047-12-000016,0000036047,"CORELOGIC, INC.",7374,technology,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,CLGX,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001047469-12-002639,0000067279,MOCON INC,3829,technology,10-K,2-ACC,2012-03-14,2012-03-15 00:00:00+00:00,20111231,2011,FY,2012Q1,17.0,,,former_or_unmapped,MOCO,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-024550,0000067472,MOLEX INC,3678,technology,10-Q,1-LAF,2012-01-26,2012-01-27 00:00:00+00:00,20111231,2012,Q2,2012Q1,65.0,,,former_or_unmapped,MOLX,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001140361-12-005079,0000068709,MTS SYSTEMS CORP,3829,technology,10-Q,1-LAF,2012-02-02,2012-02-03 00:00:00+00:00,20111231,2012,Q1,2012Q1,58.0,,,former_or_unmapped,MTSC,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-046847,0000082628,SYMMETRICOM INC,3661,technology,10-Q,2-ACC,2012-02-08,2012-02-09 00:00:00+00:00,20111231,2012,Q2,2012Q1,52.0,,,former_or_unmapped,SYMM,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001445305-12-000425,0000108772,XEROX CORP,3577,technology,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,,,former_or_unmapped,XRX,last_filing_inline_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001193125-12-046736,0000310568,MICROSEMI CORP,3674,technology,10-Q,1-LAF,2012-02-08,2012-02-09 00:00:00+00:00,20111231,2012,Q1,2012Q1,52.0,,,former_or_unmapped,MSCC,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001193125-12-085797,0000317771,TELLABS INC,3661,technology,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped,TLAB,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001193125-12-027171,0000350917,EMULEX CORP /DE/,3576,technology,10-Q,1-LAF,2012-01-27,2012-01-28 00:00:00+00:00,20111231,2012,Q2,2012Q1,64.0,,,former_or_unmapped,ELX,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000354908-12-000003,0000354908,FLIR SYSTEMS INC,3812,technology,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,FLIR,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-106859,0000357020,LTX-CREDENCE CORP,3825,technology,10-Q,2-ACC,2012-03-09,2012-03-10 00:00:00+00:00,20120131,2012,Q2,2012Q1,22.0,,,former_or_unmapped,XCRA,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001193125-12-117554,0000701811,MENTOR GRAPHICS CORP,7373,technology,10-K,1-LAF,2012-03-15,2012-03-16 00:00:00+00:00,20120131,2011,FY,2012Q1,16.0,,,former_or_unmapped,MENT,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-088626,0000703360,LSI CORP,3674,technology,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,LSI,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-038885,0000708818,"QUALITY SYSTEMS, INC",7373,technology,10-Q,1-LAF,2012-02-03,2012-02-04 00:00:00+00:00,20111231,2011,Q3,2012Q1,57.0,,,former_or_unmapped,NXGN,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-103012,0000713425,AMERICAN SOFTWARE INC,7372,technology,10-Q,2-ACC,2012-03-08,2012-03-09 00:00:00+00:00,20120131,2012,Q3,2012Q1,23.0,,,former_or_unmapped,LGTY,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001047469-12-001775,0000718877,"ACTIVISION BLIZZARD, INC.",7372,technology,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped,ATVI,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000730000-12-000006,0000730000,SUPERTEX INC,3674,technology,10-Q,2-ACC,2012-02-09,2012-02-10 00:00:00+00:00,20111231,2012,Q3,2012Q1,51.0,,,former_or_unmapped,SUPX,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001445305-12-000164,0000743316,MAXIM INTEGRATED PRODUCTS INC,3674,technology,10-Q,1-LAF,2012-01-30,2012-01-31 00:00:00+00:00,20111231,2012,Q2,2012Q1,61.0,,,former_or_unmapped,MXIM,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-043685,0000743988,XILINX INC,3674,technology,10-Q,1-LAF,2012-02-07,2012-02-08 00:00:00+00:00,20111231,2011,Q3,2012Q1,53.0,,,former_or_unmapped,XLNX,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-052122,0000753568,EXAR CORP,3674,technology,10-Q,2-ACC,2012-02-10,2012-02-11 00:00:00+00:00,20111231,2011,Q3,2012Q1,50.0,,,former_or_unmapped,EXAR,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-085894,0000767920,PMC SIERRA INC,3674,technology,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped,PMCS,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001171843-12-000266,0000772897,HUTCHINSON TECHNOLOGY INC,3679,technology,10-Q,2-ACC,2012-01-27,2012-01-28 00:00:00+00:00,20111231,2012,Q1,2012Q1,64.0,,,former_or_unmapped,HTCH,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001144204-12-005383,0000778734,MEASUREMENT SPECIALTIES INC,3829,technology,10-Q,2-ACC,2012-02-02,2012-02-03 00:00:00+00:00,20111231,2011,Q3,2012Q1,58.0,,,former_or_unmapped,MEAS,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-078278,0000790070,EMC CORP,3572,technology,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,EMC,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-125548,0000790703,TECH DATA CORP,5045,technology,10-K,1-LAF,2012-03-21,2012-03-22 00:00:00+00:00,20120131,2011,FY,2012Q1,10.0,,,former_or_unmapped,TECD,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001437749-12-003009,0000790715,SIGMA DESIGNS INC,3674,technology,10-K,2-ACC,2012-03-29,2012-03-30 00:00:00+00:00,20120131,2011,FY,2012Q1,2.0,,,former_or_unmapped,SIGM,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-077351,0000791915,CYPRESS SEMICONDUCTOR CORP /DE/,3674,technology,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,CY,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-042945,0000800459,HARMAN INTERNATIONAL INDUSTRIES INC /DE/,3651,technology,10-Q,1-LAF,2012-02-07,2012-02-08 00:00:00+00:00,20111231,2012,Q2,2012Q1,53.0,,,former_or_unmapped,HAR,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-063585,0000804753,CERNER CORP /MO/,7373,technology,10-K,1-LAF,2012-02-15,2012-02-16 00:00:00+00:00,20111231,2011,FY,2012Q1,45.0,,,former_or_unmapped,CERN,last_filing_inline_xbrl,1,False,True,False
