feature_name,source,feature_family,feature_type,lag_rule,used_in_models,leakage_check,economic_interpretation,left_feature,right_feature,rule_formula,missingness,non_missing_rows,selected_base_model,selected_interaction_model
z_ma_distance_52w,ppp_panel_characteristics.csv,trend_breadth,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized ma_distance_52w,,,,0.05855855855855856,36575.0,False,False
z_trend_consistency_13w,ppp_panel_characteristics.csv,trend_breadth,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized trend_consistency_13w,,,,0.005405405405405406,38640.0,True,True
z_trend_consistency_26w,ppp_panel_characteristics.csv,trend_breadth,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized trend_consistency_26w,,,,0.011711711711711712,38395.0,False,False
z_mom_vol_ratio_26w,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized mom_vol_ratio_26w,,,,0.047747747747747746,36995.0,False,False
z_vol_change_13v26,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized vol_change_13v26,,,,0.04836550836550837,36971.0,False,False
z_rel_strength_SPY_13w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_SPY_13w,,,,0.04144144144144144,37240.0,True,True
z_rel_strength_SPY_26w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_SPY_26w,,,,0.047747747747747746,36995.0,False,False
z_rel_strength_BIL_13w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_BIL_13w,,,,0.12911196911196912,33834.0,False,False
z_rel_strength_BIL_26w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_BIL_26w,,,,0.13541827541827542,33589.0,False,False
z_rel_strength_TLT_13w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_TLT_13w,,,,0.04144144144144144,37240.0,True,True
z_rel_strength_TLT_26w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_TLT_26w,,,,0.047747747747747746,36995.0,False,False
z_rel_strength_GLD_13w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_GLD_13w,,,,0.04144144144144144,37240.0,True,True
z_rel_strength_GLD_26w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_GLD_26w,,,,0.047747747747747746,36995.0,False,False
z_rel_strength_HYG_13w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_HYG_13w,,,,0.12334620334620335,34058.0,True,True
z_rel_strength_HYG_26w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_HYG_26w,,,,0.12965250965250966,33813.0,False,False
z_rel_strength_LQD_13w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_LQD_13w,,,,0.04144144144144144,37240.0,True,True
z_rel_strength_LQD_26w,ppp_panel_characteristics.csv,relative_strength_leadlag,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized rel_strength_LQD_26w,,,,0.047747747747747746,36995.0,False,False
z_l1_bab_bab_score_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_bab_bab_score_tradable,,,,0.0487001287001287,36958.0,True,True
z_l1_bab_bab_score_asset_class_neutral_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_bab_bab_score_asset_class_neutral_tradable,,,,0.10226512226512227,34877.0,True,True
z_l1_breadth_confirmation_breadth_confirmed_momentum_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_breadth_confirmation_breadth_confirmed_momentum_tradable,,,,0.06036036036036036,36505.0,True,True
z_l1_breadth_confirmation_breadth_confirmed_momentum_score_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_breadth_confirmation_breadth_confirmed_momentum_score_tradable,,,,0.06036036036036036,36505.0,True,True
z_l1_carry_carry_yield_trailing_52w_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_carry_carry_yield_trailing_52w_tradable,,,,0.15065637065637066,32997.0,True,True
z_l1_carry_carry_score_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_carry_carry_score_tradable,,,,0.15065637065637066,32997.0,True,True
z_l1_carry_carry_score_asset_class_neutral_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_carry_carry_score_asset_class_neutral_tradable,,,,0.2151866151866152,30490.0,True,True
z_l1_contained_recovery_contained_recovery_quality_tradable,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_contained_recovery_contained_recovery_quality_tradable,,,,0.04864864864864865,36960.0,False,False
z_l1_contained_recovery_contained_recovery_quality_score_tradable,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_contained_recovery_contained_recovery_quality_score_tradable,,,,0.04864864864864865,36960.0,False,False
z_l1_moving_average_distance_moving_average_distance_tradable,ppp_panel_characteristics.csv,other,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_moving_average_distance_moving_average_distance_tradable,,,,0.05945945945945946,36540.0,False,False
z_l1_moving_average_distance_moving_average_distance_score_tradable,ppp_panel_characteristics.csv,other,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_moving_average_distance_moving_average_distance_score_tradable,,,,0.05945945945945946,36540.0,False,False
z_l1_multi_horizon_mom_multi_mom_equal_score_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_multi_horizon_mom_multi_mom_equal_score_tradable,,,,0.08378378378378379,35595.0,True,True
z_l1_multi_horizon_mom_multi_mom_invvol_score_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_multi_horizon_mom_multi_mom_invvol_score_tradable,,,,0.1063063063063063,34720.0,True,True
z_l1_quality_quality_score_tradable,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_quality_quality_score_tradable,,,,0.08198198198198198,35665.0,True,True
z_l1_quality_quality_score_asset_class_neutral_tradable,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_quality_quality_score_asset_class_neutral_tradable,,,,0.13364221364221365,33658.0,True,True
z_l1_residual_momentum_residual_mom_score_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_residual_momentum_residual_mom_score_tradable,,,,0.08558558558558559,35525.0,False,False
z_l1_reversal_reversal_1w_score_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_reversal_reversal_1w_score_tradable,,,,0.03783783783783784,37380.0,True,True
z_l1_reversal_reversal_1w_asset_class_neutral_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_reversal_reversal_1w_asset_class_neutral_tradable,,,,0.09202059202059203,35275.0,True,True
z_l1_reversal_reversal_4w_score_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_reversal_reversal_4w_score_tradable,,,,0.04054054054054054,37275.0,True,True
z_l1_reversal_reversal_4w_asset_class_neutral_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_reversal_reversal_4w_asset_class_neutral_tradable,,,,0.09456885456885457,35176.0,True,True
z_l1_trend_quality_trend_clarity_momentum_raw_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_trend_quality_trend_clarity_momentum_raw_tradable,,,,0.08378378378378379,35595.0,False,False
z_l1_trend_quality_trend_clarity_momentum_score_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_trend_quality_trend_clarity_momentum_score_tradable,,,,0.08378378378378379,35595.0,False,False
z_l1_tsmom_tsmom_vol_scaled_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_tsmom_tsmom_vol_scaled_tradable,,,,0.08378378378378379,35595.0,False,False
z_l1_tsmom_tsmom_score_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_tsmom_tsmom_score_tradable,,,,0.08378378378378379,35595.0,False,False
z_l1_value_value_score_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_value_value_score_tradable,,,,0.12972972972972974,33810.0,False,False
z_l1_value_value_score_asset_class_neutral_tradable,ppp_panel_characteristics.csv,style_layer1,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_value_value_score_asset_class_neutral_tradable,,,,0.17866151866151866,31909.0,False,False
z_l1_xsmom_xsmom_score_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_xsmom_xsmom_score_tradable,,,,0.08378378378378379,35595.0,True,True
z_l1_xsmom_xsmom_asset_class_neutral_tradable,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized l1_xsmom_xsmom_asset_class_neutral_tradable,,,,0.13534105534105534,33592.0,True,True
ooo2_leadlag_EFA_minus_SPY_13w_signal,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_leadlag_EFA_minus_SPY_13w_signal,,,,0.006306306306306306,38605.0,True,True
ooo2_leadlag_GLD_minus_SPY_13w_signal,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_leadlag_GLD_minus_SPY_13w_signal,,,,0.006306306306306306,38605.0,True,True
ooo2_leadlag_DBA_minus_SPY_13w_signal,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_leadlag_DBA_minus_SPY_13w_signal,,,,0.006306306306306306,38605.0,True,True
ooo2_leadlag_HYG_minus_LQD_13w_signal,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_leadlag_HYG_minus_LQD_13w_signal,,,,0.006306306306306306,38605.0,True,True
ooo2_breadth_ret13_positive_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_breadth_ret13_positive_signal,,,,0.0018018018018018018,38780.0,True,True
ooo2_breadth_ret26_positive_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_breadth_ret26_positive_signal,,,,0.0018018018018018018,38780.0,True,True
ooo2_canary_breadth_pair_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_canary_breadth_pair_signal,,,,0.0018018018018018018,38780.0,True,True
ooo2_recent_stress_26w_signal,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_recent_stress_26w_signal,,,,0.0018018018018018018,38780.0,False,False
ooo2_market_drawdown_signal,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_market_drawdown_signal,,,,0.0018018018018018018,38780.0,False,False
ooo2_market_trend_positive_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_market_trend_positive_signal,,,,0.0018018018018018018,38780.0,True,True
ooo2_breadth_ret13_positive_x_recovery_confirmed_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_breadth_ret13_positive_x_recovery_confirmed_signal,,,,0.0018018018018018018,38780.0,True,True
ooo2_breadth_ret13_positive_x_neutral_mixed_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_breadth_ret13_positive_x_neutral_mixed_signal,,,,0.0018018018018018018,38780.0,True,True
ooo2_breadth_ret13_positive_x_stressed_panic_signal,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_breadth_ret13_positive_x_stressed_panic_signal,,,,0.0018018018018018018,38780.0,True,True
ooo2_leadlag_HYG_minus_LQD_13w_x_calm_trend_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo2_leadlag_HYG_minus_LQD_13w_x_calm_trend_signal,,,,0.006306306306306306,38605.0,True,True
ooo3_ggg1_trailing_vol_13w,PPP/OOO/known proxy market context,volatility_quality,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_ggg1_trailing_vol_13w,,,,0.008108108108108109,38535.0,True,True
ooo3_ggg1_trailing_vol_26w,PPP/OOO/known proxy market context,volatility_quality,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_ggg1_trailing_vol_26w,,,,0.012612612612612612,38360.0,True,True
ooo3_ggg1_vol_percentile,PPP/OOO/known proxy market context,volatility_quality,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_ggg1_vol_percentile,,,,0.05405405405405406,36750.0,False,False
ooo3_ggg1_trailing_drawdown,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_ggg1_trailing_drawdown,,,,0.0018018018018018018,38780.0,False,False
ooo3_BIL_weight,PPP/OOO/known proxy market context,ooo_signal_lineage,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_BIL_weight,,,,0.0009009009009009009,38815.0,False,False
ooo3_SPY_weight,PPP/OOO/known proxy market context,ooo_signal_lineage,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_SPY_weight,,,,0.0009009009009009009,38815.0,False,False
ooo3_market_drawdown_signal,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_drawdown_signal,,,,0.0018018018018018018,38780.0,False,False
ooo3_recent_stress_26w_signal,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_recent_stress_26w_signal,,,,0.0018018018018018018,38780.0,False,False
ooo3_market_trend_positive_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_trend_positive_signal,,,,0.0018018018018018018,38780.0,True,True
ooo3_breadth_ret26_positive_signal,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_breadth_ret26_positive_signal,,,,0.0018018018018018018,38780.0,True,True
ooo3_leadlag_EFA_minus_SPY_13w_signal__raw,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_leadlag_EFA_minus_SPY_13w_signal__raw,,,,0.006306306306306306,38605.0,True,True
ooo3_leadlag_EFA_minus_SPY_13w_signal__percentile,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_leadlag_EFA_minus_SPY_13w_signal__percentile,,,,0.05225225225225225,36820.0,True,True
ooo3_leadlag_EFA_minus_SPY_13w_signal__zscore,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_leadlag_EFA_minus_SPY_13w_signal__zscore,,,,0.05225225225225225,36820.0,True,True
ooo3_leadlag_EFA_minus_SPY_13w_signal__abs_strength,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_leadlag_EFA_minus_SPY_13w_signal__abs_strength,,,,0.006306306306306306,38605.0,True,True
ooo3_leadlag_EFA_minus_SPY_13w_signal__direction_strength,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_leadlag_EFA_minus_SPY_13w_signal__direction_strength,,,,0.05225225225225225,36820.0,True,True
ooo3_leadlag_EFA_minus_SPY_13w_signal__strength_scaled_score,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_leadlag_EFA_minus_SPY_13w_signal__strength_scaled_score,,,,0.05405405405405406,36750.0,True,True
ooo3_market_trend_positive_signal__raw,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_trend_positive_signal__raw,,,,0.0018018018018018018,38780.0,True,True
ooo3_market_trend_positive_signal__percentile,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_trend_positive_signal__percentile,,,,0.047747747747747746,36995.0,True,True
ooo3_market_trend_positive_signal__zscore,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_trend_positive_signal__zscore,,,,0.07837837837837838,35805.0,True,True
ooo3_market_trend_positive_signal__abs_strength,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_trend_positive_signal__abs_strength,,,,0.0018018018018018018,38780.0,True,True
ooo3_market_trend_positive_signal__direction_strength,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_trend_positive_signal__direction_strength,,,,0.047747747747747746,36995.0,True,True
ooo3_market_trend_positive_signal__strength_scaled_score,PPP/OOO/known proxy market context,trend_breadth,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_trend_positive_signal__strength_scaled_score,,,,0.05405405405405406,36750.0,True,True
ooo3_market_drawdown_signal__raw,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_drawdown_signal__raw,,,,0.0018018018018018018,38780.0,False,False
ooo3_market_drawdown_signal__percentile,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_drawdown_signal__percentile,,,,0.047747747747747746,36995.0,False,False
ooo3_market_drawdown_signal__zscore,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_drawdown_signal__zscore,,,,0.047747747747747746,36995.0,False,False
ooo3_market_drawdown_signal__abs_strength,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_drawdown_signal__abs_strength,,,,0.0018018018018018018,38780.0,False,False
ooo3_market_drawdown_signal__direction_strength,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_drawdown_signal__direction_strength,,,,0.047747747747747746,36995.0,False,False
ooo3_market_drawdown_signal__strength_scaled_score,PPP/OOO/known proxy market context,drawdown_stress,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_market_drawdown_signal__strength_scaled_score,,,,0.05405405405405406,36750.0,False,False
ooo3_leadlag_GLD_minus_SPY_13w_signal__raw,PPP/OOO/known proxy market context,relative_strength_leadlag,lagged_market_or_signal_context,PPP manifest/source lagged or generated lagged context,True,market context shifted before use when generated in QQQ,ooo3_leadlag_GLD_minus_SPY_13w_signal__raw,,,,0.006306306306306306,38605.0,True,True
