Date,leader,cash_conversion
2025-01-10,0.19999999999999996,0.8
2025-01-17,0.19999999999999996,0.8
2025-01-24,0.19999999999999996,0.8
2025-01-31,0.19999999999999996,0.8
2025-02-07,0.8,0.2
2025-02-14,0.8,0.2
2025-02-21,0.6,0.4
2025-02-28,0.6,0.4
2025-03-07,0.8,0.2
2025-03-14,0.8,0.2
2025-03-21,1.0,0.0
2025-03-28,1.0,0.0
2025-04-04,1.0,0.0
2025-04-11,1.0,0.0
2025-04-18,1.0,0.0
2025-04-25,1.0,0.0
2025-05-02,1.0,0.0
2025-05-09,1.0,0.0
2025-05-16,1.0,0.0
2025-05-23,0.5,0.5
2025-05-30,0.5,0.5
2025-06-06,0.5,0.5
2025-06-13,0.5,0.5
2025-06-20,1.0,0.0
2025-06-27,0.19999999999999996,0.8
2025-07-04,1.0,0.0
2025-07-11,1.0,0.0
2025-07-18,0.8,0.2
2025-07-25,0.8,0.2
2025-08-01,0.675,0.325
2025-08-08,0.675,0.325
2025-08-15,0.875,0.125
2025-08-22,0.875,0.125
2025-08-29,1.0,0.0
2025-09-05,0.8,0.2
2025-09-12,0.8,0.2
2025-09-19,0.8,0.2
2025-09-26,0.8,0.2
2025-10-03,0.8,0.2
2025-10-10,0.8,0.2
2025-10-17,0.8,0.2
2025-10-24,0.8,0.2
2025-10-31,1.0,0.0
2025-11-07,1.0,0.0
2025-11-14,1.0,0.0
2025-11-21,1.0,0.0
2025-11-28,1.0,0.0
2025-12-05,1.0,0.0
2025-12-12,1.0,0.0
2025-12-19,1.0,0.0
2025-12-26,1.0,0.0
2026-01-02,1.0,0.0
2026-01-09,1.0,0.0
2026-01-16,1.0,0.0
2026-01-23,1.0,0.0
2026-01-30,1.0,0.0
2026-02-06,1.0,0.0
2026-02-13,1.0,0.0
2026-02-20,1.0,0.0
2026-02-27,1.0,0.0
2026-03-06,1.0,0.0
2026-03-13,1.0,0.0
2026-03-20,1.0,0.0
2026-03-27,1.0,0.0
2026-04-03,1.0,0.0
2026-04-10,1.0,0.0
2026-04-17,1.0,0.0
2026-04-24,1.0,0.0
2026-05-01,1.0,0.0
2026-05-08,1.0,0.0
2026-05-15,1.0,0.0
2026-05-22,1.0,0.0
2026-05-29,0.8,0.2
2026-06-05,0.6,0.4
2026-06-12,0.6,0.4
2026-06-19,0.3999999999999999,0.6000000000000001
2026-06-26,0.3999999999999999,0.6000000000000001
2026-07-03,0.6,0.4
2026-07-10,0.6,0.4
2026-07-17,0.19999999999999996,0.8
2026-07-24,0.19999999999999996,0.8
2026-07-31,0.19999999999999996,0.8
2026-08-07,0.19999999999999996,0.8
