cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256
0000943861,GOODRICH PETROLEUM CORP,energy,0001564590-16-028596,2016-11-10 00:00:00+00:00,,no_explicit_symbol_tag,gdp-10q_20160930.htm,a398786be1bbe8f33619c076d74d12059609752124cfac60d2a431b5111befce
0000945764,DENBURY INC,energy,0000945764-23-000167,2023-11-22 00:00:00+00:00,,no_explicit_symbol_tag,den-20230930.htm,b2b6345abf7ad4b420bb53f9cc2d8001c70b4586f459d0642e460443bc8de04c
0001022646,ULTRA PETROLEUM CORP,energy,0001564590-19-041557,2019-11-08 00:00:00+00:00,,no_explicit_symbol_tag,upl-10q_20190930.htm,8a0863ee918b6d025e6619e7168a039de212ae0669b1c13cd4985cf35581f62c
0001023734,"BPZ RESOURCES, INC.",energy,0001437749-15-009582,2015-05-12 00:00:00+00:00,,no_explicit_symbol_tag,bpz20150331b_10q.htm,7c2933bf42b4ee693138fe3d7b9a31eea37d8be91a28d113b64ca9fdfcaec730
0001029023,SYNTROLEUM CORP,energy,0001193125-14-184826,2014-05-07 00:00:00+00:00,,no_explicit_symbol_tag,d719050d10q.htm,88a321c737f922f4ee54011fca781fc0a4c283e93f66635f055f34af70c1d45f
0001034563,ICAHN ENTERPRISES HOLDINGS L.P.,energy,0000813762-16-000057,2016-03-01 00:00:00+00:00,,no_explicit_symbol_tag,iep-2015x10k.htm,d46e06ab6654b86cb8e3ff74cea43a2a3ea90d5e00bade35b6f7be630820c9a9
0001059324,PETROHAWK ENERGY CORP,energy,0001047469-12-001768,2012-02-29 00:00:00+00:00,,no_explicit_symbol_tag,a2207359z10-k.htm,103c001c6aed0e3cf6bf84c07eae928e94f7a078f187a58db30b4d5c9a43314b
0001060990,QUICKSILVER RESOURCES INC,energy,0001060990-15-000094,2015-10-31 00:00:00+00:00,,no_explicit_symbol_tag,kwk10-q20150930.htm,21dd49e97f765faa1c4ad4302f6939e720ffa13752bacc3c31e2ae9c0244b126
0001071993,CONTANGO OIL & GAS CO,energy,0001071993-19-000051,2019-11-13 00:00:00+00:00,,no_explicit_symbol_tag,mcf-20190930x10q.htm,b5244ca0f7a8450114b9be298ce09322f6ae452c0440bdc03bb7edbbe983cd0c
0001092289,TRANSATLANTIC PETROLEUM LTD.,energy,0001564590-16-018925,2016-05-11 00:00:00+00:00,,no_explicit_symbol_tag,tat-10q_20160331.htm,9a9d09e2087998fabe6568ce37bb9a5a1c8d30ade8bf37dd6cb6efabdc5d29e5
0001096339,SARATOGA RESOURCES INC /TX,energy,0001515971-13-000520,2013-11-13 00:00:00+00:00,,no_explicit_symbol_tag,sara10q093013.htm,81f2d9e6e85463facd95d6e33621b63524192225388daf26b3d7c2f7389175ce
0001102392,"ROYAL ENERGY RESOURCES, INC.",energy,0001493152-17-013144,2017-11-15 00:00:00+00:00,,no_explicit_symbol_tag,form10-q.htm,40e5ec4ce101807536c80874473ed61398cd7a5b6a208c35287fb3dcf9b2af45
0001111817,LONGWEI PETROLEUM INVESTMENT HOLDING LTD,energy,0001013762-12-001019,2012-05-11 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,53749afa60c0a71aea6eb3fb4709f76e5aa6ae0f906fe8d4b2eb0b14b6f5732b
0001112412,ENDEAVOUR INTERNATIONAL CORP,energy,0001112412-15-000009,2015-08-08 00:00:00+00:00,,no_explicit_symbol_tag,c412-20150630x10q.htm,0a5e8c94dc734e003a562e4af1ac11672727464c68aedda3a593f6d74dc94538
0001123647,ATP OIL & GAS CORP,energy,0001193125-12-225974,2012-05-11 00:00:00+00:00,,no_explicit_symbol_tag,d332710d10q.htm,22e6aa4b7a099f916d8a1261d35e557244ea6dae8478b5731beaf6f7890ede86
0001124024,FAR EAST ENERGY CORP,energy,0001140361-14-040379,2014-11-07 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,7f253f4614f020d25d13f6ed8ed4fac6f6092d31926e028b87723f9426fe791a
0001127342,GMX RESOURCES INC,energy,0001127342-12-000022,2012-11-10 00:00:00+00:00,,no_explicit_symbol_tag,gmxr-2012930x10q.htm,560557fc623f2902f18b9ec23cdcfc8d318e2cfb1efc0b6ea54bfe8142acba16
0001133260,UNION DRILLING INC,energy,0001193125-12-448620,2012-11-03 00:00:00+00:00,,no_explicit_symbol_tag,d398824d10q.htm,d281df41c7e07302bdfceef4bdd73618812be71296fa3e2cdb331ab0aa89b0c2
0001137083,"L & L ENERGY, INC.",energy,0001137083-12-000008,2012-03-13 00:00:00+00:00,,no_explicit_symbol_tag,llen-q3fy20120310.htm,02a5ae7b539782f37e8cc66d4a615d3d6cba534d3ab55451d3802e3f843503ea
0001144945,PENN VIRGINIA RESOURCE PARTNERS L P,energy,0001193125-12-333931,2012-08-04 00:00:00+00:00,,no_explicit_symbol_tag,d365414d10q.htm,2b8e39d59d3c01a59d27d2c3e3e27865ce585f89fcf66767dec1b70b687a0f93
0001166036,MARKWEST ENERGY PARTNERS L P,energy,0001104659-15-075473,2015-11-05 00:00:00+00:00,,no_explicit_symbol_tag,a15-17820_110q.htm,83f6fb5d4c0710f4001ca6652dd4df2016bb13ca3d45bafd375f87dd37667871
0001170154,GASTAR EXPLORATION LTD,energy,0001170154-13-000093,2013-11-06 00:00:00+00:00,,no_explicit_symbol_tag,gst-9302013x10q.htm,38f6e2d2ae3dff6f67010e6cc44cc97b83036e218d372416b02105605addb556
0001172139,BILL BARRETT CORP,energy,0001172139-18-000043,2018-02-28 00:00:00+00:00,,no_explicit_symbol_tag,bbg-12312017x10xk.htm,849716a37a474d67ebeaa1406601bb7763c9466588bc62000acf5bbcdbab34d1
0001173911,ENBRIDGE ENERGY MANAGEMENT L L C,energy,0001173911-18-000016,2018-11-03 00:00:00+00:00,,no_explicit_symbol_tag,eem930201810q-document.htm,eb03b68201468ab83296ee8d32818fa5251770ee81dbd531473b2ccbc59c9a0b
0001179060,CROSSTEX ENERGY LP,energy,0001179060-14-000006,2014-03-01 00:00:00+00:00,,no_explicit_symbol_tag,xtex201310-k.htm,45b4c9292f04731f64f39f94d4c6447598abfc4cf348e35dcf82194cbd2bc3b7
0001209821,CROSSTEX ENERGY INC,energy,0001209821-14-000006,2014-03-01 00:00:00+00:00,,no_explicit_symbol_tag,xtxi201310-k.htm,411935aa3d704bf03ad6d44409e92961cd716210550e1d4326f0b7408b7ea4e6
0001281922,TRIANGLE PETROLEUM CORP,energy,0001558370-16-010433,2016-12-08 00:00:00+00:00,,no_explicit_symbol_tag,tpc-20161031x10q.htm,5c9b3bb92dbca6a3a34b4667ff9f628f2a702483cab1198caed6dea0c6eeed64
0001283843,"EMERALD OIL, INC.",energy,0001144204-15-063410,2015-11-07 00:00:00+00:00,,no_explicit_symbol_tag,v423788_10q.htm,2773adcd560c5d6961f8a10e495fe974c3bbaf5d96076c30316ef3636847976e
0001297720,JAMES RIVER COAL CO,energy,0001019687-13-004136,2013-11-08 00:00:00+00:00,,no_explicit_symbol_tag,jrcc_10q-093013.htm,82b7722cf87dc93e04423749f4a82ea7ed358fd6453304abdcf95a6e118b5d60
0001301063,"ALPHA NATURAL RESOURCES, INC.",energy,0001301063-15-000055,2015-08-04 00:00:00+00:00,,no_explicit_symbol_tag,anr-2015630x10q.htm,3fbd4b969375320b4f6a8bcfceaeafa68d133f1dc4a018f87e66d3fcc775cfb6
0001311486,GLOBAL GEOPHYSICAL SERVICES INC,energy,0001171843-14-005713,2014-11-27 00:00:00+00:00,,no_explicit_symbol_tag,f10q_112614.htm,2cc904ca35019f85da1d7e9e1d7967712709f06fd7b95cc3ce7de86d2723d47d
0001313024,"VENOCO, INC.",energy,0001047469-12-010167,2012-11-08 00:00:00+00:00,,no_explicit_symbol_tag,a2211508z10-q.htm,04613bbbd015d3fe9bc5da37ade6cb15d76268adceef77abc4d624e7da6f98cf
0001322866,KODIAK OIL & GAS CORP,energy,0001322866-14-000031,2014-11-07 00:00:00+00:00,,no_explicit_symbol_tag,kog0930201410-q.htm,0d65c956756e4e55107a2e3e8f10493c54b0b1fc927e974e49d29779c228f0cf
0001325955,"ALON USA ENERGY, INC.",energy,0001325955-17-000025,2017-05-10 00:00:00+00:00,,no_explicit_symbol_tag,alj-2017331x10q.htm,e032fe7d69a500e38b72cad0acfa044fadd65f89605b33c3aefc5a3b2ed1ad42
0001326428,"LINN ENERGY, INC.",energy,0001326428-18-000026,2018-05-04 00:00:00+00:00,,no_explicit_symbol_tag,line331201810q.htm,762ba3e6535ccb1e55bad383f375925d79b04a8ae49ef2b0769053caae23ab35
0001330849,"HERCULES OFFSHORE, INC.",energy,0001330849-15-000096,2015-11-06 00:00:00+00:00,,no_explicit_symbol_tag,a2015q310-q.htm,9c32cb7829a2e385be3bbbb498aafb701dd14ea72b231d49709dbccb96b8450a
0001335190,MAGNUM HUNTER RESOURCES CORP,energy,0001335190-16-000129,2016-05-07 00:00:00+00:00,,no_explicit_symbol_tag,mhr-20151231x10xk.htm,0b4d8ac6d88cf18f86a3e4b30ccc7944fdc8849ef19a7dc964ca8e0edd85a336
0001338613,REGENCY ENERGY PARTNERS LP,energy,0001338613-15-000019,2015-05-09 00:00:00+00:00,,no_explicit_symbol_tag,rgp-33115x10xq.htm,fbe0d79fb05afdd38b9190e8faf3fb7696f01cea2f49703b368dd09b40fad895
0001339048,"WESTERN REFINING, INC.",energy,0001339048-17-000019,2017-05-06 00:00:00+00:00,,no_explicit_symbol_tag,form10-qxwnrx33117.htm,6217beef56ebe73de938d44c2226311a2e8776acf4ea286ab275708570b381c4
0001340282,ROSETTA RESOURCES INC.,energy,0001193125-15-256598,2015-07-21 00:00:00+00:00,,no_explicit_symbol_tag,d944225d10q.htm,f1ecf01a2172ecb778ee06bbdda0d5f559bae9608a424e7df9d7265d9c8e82a7
0001341726,"GULFSLOPE ENERGY, INC.",energy,0001580695-16-000237,2016-02-17 00:00:00+00:00,,no_explicit_symbol_tag,gspe-10q_123115.htm,1d07ae9b22b7254642886a378ce97417fdfc477910c296db4358fdcada65cbac
0001343719,ENERGY XXI LTD,energy,0001144204-16-134337,2016-11-15 00:00:00+00:00,,no_explicit_symbol_tag,v451121_10q.htm,ef7119b5fa929d4a7591ad08fdd93c9be9a5174c1c6e6d23d8ff44029acb8ef1
0001344980,"ALLIANCE HOLDINGS GP, L.P.",energy,0001558370-18-004133,2018-05-08 00:00:00+00:00,,no_explicit_symbol_tag,ahgp-20180331x10q.htm,7dce204ca51d8b3b3913fd20490a392032e54fefb818a84c05195e6cd9de3710
0001349976,AMERICAN STANDARD ENERGY CORP.,energy,0001144204-12-062950,2012-11-16 00:00:00+00:00,,no_explicit_symbol_tag,v326440_10q.htm,670b1fefd8bb1ba6e708b5468c8fb4bcae53828947ce6664c11c19955d4dead4
0001351541,"DELEK US HOLDINGS, INC.",energy,0001351541-17-000129,2017-05-10 00:00:00+00:00,,no_explicit_symbol_tag,dk-10qx033117.htm,1bda196b48dcd9f7348559b66d167303ed873181f379a120921a35e504c1b481
0001357371,BREITBURN ENERGY PARTNERS LP,energy,0001357371-16-000392,2016-11-09 00:00:00+00:00,,no_explicit_symbol_tag,bbep9301610q.htm,e0e67aa24e2a42cde104797c4df5189006e40db4c567f8c7d15ce7dd02def38b
0001358831,LEGACY RESERVES LP,energy,0001358831-18-000013,2018-08-08 00:00:00+00:00,,no_explicit_symbol_tag,lgcy630201810q.htm,ec947266ccf93e8d6255ea753dbd5db3a5c932bff03cf86c45f90e7c6f004c10
0001361937,"EV ENERGY PARTNERS, LP",energy,0001144204-17-057379,2017-11-10 00:00:00+00:00,,no_explicit_symbol_tag,v476224_10q.htm,2dcab21ba047ee3909fb875c059e20ea4442a782626262eb6008b1b0d1473773
0001362705,SANCHEZ MIDSTREAM PARTNERS LP,energy,0001558370-19-010702,2019-11-13 00:00:00+00:00,,no_explicit_symbol_tag,snmp-20190930x10q.htm,4a13ca26d6c93f172d4813fcabb9fc74a2212fe6289b62272229cf5bf29526b5
0001364100,"CAL DIVE INTERNATIONAL, INC.",energy,0001364100-14-000063,2014-11-08 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,b4c0dace34880799f024dd97425f7d5dd8bce1e0e9654fdbdf179d6657be386e
0001364541,EAGLE ROCK ENERGY PARTNERS L P,energy,0001364541-15-000078,2015-08-01 00:00:00+00:00,,no_explicit_symbol_tag,q22015form10-q.htm,490446e9c06fd461ec5ef49bf30caf4eecb56f65330bd0114d3fbe347ea9d011
0001367311,"DAKOTA PLAINS HOLDINGS, INC.",energy,0000897101-16-003214,2016-11-08 00:00:00+00:00,,no_explicit_symbol_tag,dakota163772_10-q.htm,7fd3048a961585188185670003b5388d11d621833e59edfd48e34ccc32beb2bb
0001376812,PATRIOT COAL CORP,energy,0001376812-13-000037,2013-08-10 00:00:00+00:00,,no_explicit_symbol_tag,pcx-6302013x10q.htm,fb1116969c32ce48c9c818c3a71724182c7fdf5964385f65a003982e2655ec8e
0001382231,FORTEM RESOURCES INC.,energy,0001493152-20-000417,2020-01-10 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,79e8fd6566e0352254f0c884c298eed228b39bfac6a234ca0bdb93fbfe850775
0001384072,"VANGUARD NATURAL RESOURCES, INC.",energy,0001384072-17-000152,2017-11-14 00:00:00+00:00,,no_explicit_symbol_tag,vnr2017q310-q.htm,00a087d492aef80b63f858ce88460cf4fcc7542f6a6ca22602789aa897b54e8f
0001397516,REX ENERGY CORP,energy,0001564590-16-028616,2016-11-10 00:00:00+00:00,,no_explicit_symbol_tag,rexx-10q_20160930.htm,b9d97a34883dd66becfb12c02e57a2748ac8fe2e75e05597d45bd1ee71d014cc
0001402281,ERIN ENERGY CORP.,energy,0001402281-18-000017,2018-03-17 00:00:00+00:00,,no_explicit_symbol_tag,ern-123117x10k.htm,a72b845720ff86698be93a91384cef9a63896c2273ad2c9bee7bd45c539e671a
0001403853,"NUVERRA ENVIRONMENTAL SOLUTIONS, INC.",energy,0001403853-16-000079,2016-11-08 00:00:00+00:00,,no_explicit_symbol_tag,nesc_20160930x10-q.htm,3ebc976285471653f8b8c6c73c335e3588d9e8b7eca8cb6777d162f865d78025
0001404079,SAMSON OIL & GAS LTD,energy,0001144204-15-029377,2015-05-12 00:00:00+00:00,,no_explicit_symbol_tag,v410184_10q.htm,ae6d6b5ea2ebbacc1418dbd805fff0e8ae6757ccdffd4b84e1fbbb626faa609f
0001404636,NIMIN ENERGY CORP.,energy,0001193125-13-332514,2013-08-14 00:00:00+00:00,,no_explicit_symbol_tag,d582585d10q.htm,062e0b9c740d59e82154e3e070b1c75b2a7852b893c9fe112d4448757ce2ac48
0001404973,"ENERGY XXI GULF COAST, INC.",energy,0001558370-18-006865,2018-08-10 00:00:00+00:00,,no_explicit_symbol_tag,egc-20180630x10q.htm,ce46f5180e6c2326a604d969d4968542229c84a0f187bc7876e4978411e859cc
0001405073,APPROACH RESOURCES INC,energy,0001564590-19-043769,2019-11-19 00:00:00+00:00,,no_explicit_symbol_tag,arex-10q_20190930.htm,44b7cd40963adb27a72adf712fc849bb22381b8e537ddba7e0d82dfa0d584c98
0001407463,PIONEER SOUTHWEST ENERGY PARTNERS L.P.,energy,0001407463-13-000047,2013-11-07 00:00:00+00:00,,no_explicit_symbol_tag,pse-q313x10q.htm,9580652f0e03ff6b04cbdea5934a6c8ea407f5d4bced4f634b2952ea8c9df617
0001412347,OXFORD RESOURCE PARTNERS LP,energy,0001437749-13-013908,2013-11-06 00:00:00+00:00,,no_explicit_symbol_tag,oxf20130930_10q.htm,e914ba6fd39dac52716f5a18f7d6ea1a2facfda68cf457d0b36728a77b0694bb
0001419428,VANTAGE DRILLING CO,energy,0001564590-15-010232,2015-11-10 00:00:00+00:00,,no_explicit_symbol_tag,vtg-10q_20150930.htm,fdb1c2a5e49cdbb9fec1435fa35efe440b39608d4568183aab01ffdafd4bbf76
0001419583,"EOS PETRO, INC.",energy,0001445866-16-002894,2016-11-15 00:00:00+00:00,,no_explicit_symbol_tag,eospetro10q09302016.htm,19515538ab4744d84fe3985f2bf0bb7d98c190cee62e484add07ef4270646699
0001431372,GASTAR EXPLORATION INC.,energy,0001564590-18-029432,2018-11-15 00:00:00+00:00,,no_explicit_symbol_tag,gst-10q_20180930.htm,83dc8dedd3034f8536566d0682584e8125b9d7b8544a6a4b6cc1a0d0e18c7c85
0001437557,"LILIS ENERGY, INC.",energy,0001437557-19-000077,2019-11-08 00:00:00+00:00,,no_explicit_symbol_tag,llex10q-20190930.htm,123c82b98cb86c02f3b1cae4c95d953e7afdb72bc521a1ccbdb99ede01aaa1c1
0001441849,CLOUD PEAK ENERGY INC.,energy,0001104659-19-054793,2019-10-19 00:00:00+00:00,,no_explicit_symbol_tag,a19-19200_110q.htm,4ba3ee03c593996075a7b96aa0b3be67d52ed6be937b913798a5035c36cdca00
0001449732,"WILLBROS GROUP, INC.NEW",energy,0001449732-18-000013,2018-05-10 00:00:00+00:00,,no_explicit_symbol_tag,a331201810q-document.htm,06677af960e91fc9b92d93c15e75d97e31b0a699faf0ec68cb2d133028534995
0001453090,WEATHERFORD INTERNATIONAL LTD./SWITZERLAND,energy,0001453090-14-000045,2014-04-30 00:00:00+00:00,,no_explicit_symbol_tag,wft201410-qq1.htm,2daf65141a1f98d07703890c90b9ca6dd77734db04a514d68b365ade7b4357b9
0001469510,RESOLUTE ENERGY CORP,energy,0001564590-18-026852,2018-11-06 00:00:00+00:00,,no_explicit_symbol_tag,ren-10q_20180930.htm,4749979eea805cbabda45bf2c420013c9dc723735b13df7fe5d73aa49b63909c
0001471261,"COBALT INTERNATIONAL ENERGY, INC.",energy,0001564590-18-004275,2018-03-03 00:00:00+00:00,,no_explicit_symbol_tag,cie-10k_20171231.htm,fda1e5b2ff436ae75d615be9ccc61b412e6331aded7858aa6710d116121b79df
0001478535,ABBY INC.,energy,0001096350-12-000020,2012-03-07 00:00:00+00:00,,no_explicit_symbol_tag,k11302011v3.htm,1915e02241aee78cbef24b08488484dabd73ab06315ed8739fca3e1c03c37580
0001483496,"RED MOUNTAIN RESOURCES, INC.",energy,0001387131-15-003321,2015-11-14 00:00:00+00:00,,no_explicit_symbol_tag,rmr-10q_033115.htm,743922fb1aa9934faf659cc472e54f565eceaa05cc852279cc580c9752529d77
0001490630,RHINO RESOURCE PARTNERS LP,energy,0001104659-15-057574,2015-08-08 00:00:00+00:00,,no_explicit_symbol_tag,a15-12087_110q.htm,d715906d5a53dbe43c5ba74c977cc88be59c2cf5b56c18c0aecb8b933260d0b6
0001492832,EQUAL ENERGY LTD.,energy,0001193125-14-299339,2014-08-08 00:00:00+00:00,,no_explicit_symbol_tag,d733918d10q.htm,b4e8b5f0174808d0c78ad0699cd614a8b45fb1ef1bfed6e4f94794cfdab13b4e
