cik10,company_name_as_filed,sector,current_tickers,current_exchanges,has_current_sec_ticker,identity_status,candidate_symbols,symbol_count,symbol_source,collision_flag,single_symbol_usable_for_price_probe,tiingo_symbol,first_eligible_decision,last_eligible_decision,inventory_interval_overlap,inventory_status,ticker,status
0000858470,COTERRA ENERGY INC.,energy,,,False,former_or_unmapped,CTRA,1,last_filing_inline_xbrl,False,True,CTRA,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported,CTRA,failed
0000866609,ION GEOPHYSICAL CORP,energy,,,False,former_or_unmapped,IO,1,last_filing_inline_xbrl,False,True,IO,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,IO,failed
0000867665,ABRAXAS PETROLEUM CORP,energy,,,False,former_or_unmapped,AXAS,1,last_filing_inline_xbrl,False,True,AXAS,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,AXAS,failed
0000886835,SUPERIOR ENERGY SERVICES INC,energy,,,False,former_or_unmapped,SPNX,1,last_filing_inline_xbrl,False,True,SPNX,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,SPNX,failed
0000890447,VERTEX ENERGY INC.,energy,,,False,former_or_unmapped,VTNR,1,last_filing_inline_xbrl,False,True,VTNR,2015-07-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,False,not_supported_for_eligible_interval,VTNR,failed
0000904080,STONE ENERGY CORP,energy,,,False,former_or_unmapped,SGY,1,last_filing_instance_xbrl,False,True,SGY,2012-04-01 00:00:00+00:00,2019-07-01 00:00:00+00:00,True,candidate_supported,SGY,failed
0000907649,FX ENERGY INC,energy,,,False,former_or_unmapped,FXEN,1,last_filing_instance_xbrl,False,True,FXEN,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,True,candidate_supported,FXEN,failed
0000928022,CALLON PETROLEUM CO,energy,,,False,former_or_unmapped,CPE,1,last_filing_inline_xbrl,False,True,CPE,2012-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,True,candidate_supported,CPE,failed
0000943861,GOODRICH PETROLEUM CORP,energy,,,False,former_or_unmapped,GDP,1,last_filing_instance_xbrl,False,True,GDP,2012-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,True,candidate_supported,GDP,failed
0000949039,"DIAMOND OFFSHORE DRILLING, INC.",energy,,,False,former_or_unmapped,DO,1,last_filing_inline_xbrl,False,True,DO,2012-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,True,candidate_supported,DO,failed
0001037676,"ARCH RESOURCES, INC.",energy,,,False,former_or_unmapped,ARCH,1,last_filing_inline_xbrl,False,True,ARCH,2012-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,True,candidate_supported,ARCH,failed
0001038357,PIONEER NATURAL RESOURCES CO,energy,,,False,former_or_unmapped,PXD,1,last_filing_inline_xbrl,False,True,PXD,2012-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,True,candidate_supported,PXD,failed
0001040593,CARRIZO OIL & GAS INC,energy,,,False,former_or_unmapped,CRZO,1,last_filing_inline_xbrl,False,True,CRZO,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,True,candidate_supported,CRZO,failed
0001092289,TRANSATLANTIC PETROLEUM LTD.,energy,,,False,former_or_unmapped,TAT,1,last_filing_instance_xbrl,False,True,TAT,2012-04-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,True,candidate_supported,TAT,failed
0001108827,"QEP RESOURCES, INC.",energy,,,False,former_or_unmapped,QEP,1,last_filing_inline_xbrl,False,True,QEP,2012-04-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,True,candidate_supported,QEP,failed
0001109189,"BASIC ENERGY SERVICES, INC.",energy,,,False,former_or_unmapped,BAS,1,last_filing_inline_xbrl,False,True,BAS,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,BAS,failed
0001144945,PENN VIRGINIA RESOURCE PARTNERS L P,energy,,,False,former_or_unmapped,PVR,1,last_filing_instance_xbrl,False,True,PVR,2012-04-01 00:00:00+00:00,2013-10-01 00:00:00+00:00,False,not_supported_for_eligible_interval,PVR,failed
0001157806,ENCANA CORP,energy,,,False,former_or_unmapped,ECA,1,last_filing_inline_xbrl,False,True,ECA,2017-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,ECA,failed
0001168054,CIMAREX ENERGY CO,energy,,,False,former_or_unmapped,XEC,1,last_filing_inline_xbrl,False,True,XEC,2012-04-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,True,candidate_supported,XEC,failed
0001172139,BILL BARRETT CORP,energy,,,False,former_or_unmapped,BBG,1,last_filing_instance_xbrl,False,True,BBG,2012-04-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,True,candidate_supported,BBG,failed
0001255474,WHITING PETROLEUM CORP,energy,,,False,former_or_unmapped,WLL,1,last_filing_inline_xbrl,False,True,WLL,2012-04-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,True,candidate_supported,WLL,failed
0001326089,SUNDANCE ENERGY INC.,energy,,,False,former_or_unmapped,SNDE,1,last_filing_inline_xbrl,False,True,SNDE,2020-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,SNDE,failed
0001330849,"HERCULES OFFSHORE, INC.",energy,,,False,former_or_unmapped,HEROQ,1,last_filing_instance_xbrl,False,True,HEROQ,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,True,candidate_supported,HEROQ,failed
0001340282,ROSETTA RESOURCES INC.,energy,,,False,former_or_unmapped,ROSE,1,last_filing_instance_xbrl,False,True,ROSE,2012-04-01 00:00:00+00:00,2016-10-01 00:00:00+00:00,False,not_supported_for_eligible_interval,ROSE,failed
0001343719,ENERGY XXI LTD,energy,,,False,former_or_unmapped,EXXI,1,last_filing_instance_xbrl,False,True,EXXI,2012-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,True,candidate_supported,EXXI,failed
0001346980,"CHAPARRAL ENERGY, INC.",energy,,,False,former_or_unmapped,CHAP,1,last_filing_inline_xbrl,False,True,CHAP,2019-04-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,True,candidate_supported,CHAP,failed
0001349976,AMERICAN STANDARD ENERGY CORP.,energy,,,False,former_or_unmapped,ASEN,1,last_filing_instance_xbrl,False,True,ASEN,2012-07-01 00:00:00+00:00,2014-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,ASEN,failed
0001358071,CONCHO RESOURCES INC,energy,,,False,former_or_unmapped,CXO,1,last_filing_inline_xbrl,False,True,CXO,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,CXO,failed
0001361937,"EV ENERGY PARTNERS, LP",energy,,,False,former_or_unmapped,EVEP,1,last_filing_instance_xbrl,False,True,EVEP,2012-04-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,True,candidate_supported,EVEP,failed
0001397516,REX ENERGY CORP,energy,,,False,former_or_unmapped,REXX,1,last_filing_instance_xbrl,False,True,REXX,2012-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,True,candidate_supported,REXX,failed
0001402281,ERIN ENERGY CORP.,energy,,,False,former_or_unmapped,ERN,1,last_filing_instance_xbrl,False,True,ERN,2012-04-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,True,candidate_supported,ERN,failed
0001403853,"NUVERRA ENVIRONMENTAL SOLUTIONS, INC.",energy,,,False,former_or_unmapped,NESC,1,last_filing_instance_xbrl,False,True,NESC,2012-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,NESC,failed
0001404079,SAMSON OIL & GAS LTD,energy,,,False,former_or_unmapped,SSN,1,last_filing_instance_xbrl,False,True,SSN,2012-04-01 00:00:00+00:00,2016-07-01 00:00:00+00:00,True,candidate_supported,SSN,failed
0001405073,APPROACH RESOURCES INC,energy,,,False,former_or_unmapped,AREX,1,last_filing_instance_xbrl,False,True,AREX,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,AREX,failed
0001413507,SRC ENERGY INC.,energy,,,False,former_or_unmapped,SRCI,1,last_filing_inline_xbrl,False,True,SRCI,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,True,candidate_supported,SRCI,failed
0001419583,"EOS PETRO, INC.",energy,,,False,former_or_unmapped,EOPT,1,last_filing_instance_xbrl,False,True,EOPT,2014-10-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,True,candidate_supported,EOPT,failed
0001431372,GASTAR EXPLORATION INC.,energy,,,False,former_or_unmapped,GST,1,last_filing_instance_xbrl,False,True,GST,2014-04-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,True,candidate_supported,GST,failed
0001449488,CSI COMPRESSCO LP,energy,,,False,former_or_unmapped,CCLP,1,last_filing_inline_xbrl,False,True,CCLP,2012-07-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,True,candidate_supported,CCLP,failed
0001469510,RESOLUTE ENERGY CORP,energy,,,False,former_or_unmapped,REN,1,last_filing_instance_xbrl,False,True,REN,2012-04-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,True,candidate_supported,REN,failed
0001471261,"COBALT INTERNATIONAL ENERGY, INC.",energy,,,False,former_or_unmapped,CIE,1,last_filing_instance_xbrl,False,True,CIE,2012-04-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,True,candidate_supported,CIE,failed
0001483496,"RED MOUNTAIN RESOURCES, INC.",energy,,,False,former_or_unmapped,RDMP,1,last_filing_instance_xbrl,False,True,RDMP,2014-01-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,RDMP,failed
0001492832,EQUAL ENERGY LTD.,energy,,,False,former_or_unmapped,EQU,1,last_filing_instance_xbrl,False,True,EQU,2013-07-01 00:00:00+00:00,2015-10-01 00:00:00+00:00,True,candidate_supported,EQU,failed
0001502012,"QR ENERGY, LP",energy,,,False,former_or_unmapped,QRE,1,last_filing_instance_xbrl,False,True,QRE,2012-04-01 00:00:00+00:00,2016-01-01 00:00:00+00:00,True,candidate_supported,QRE,failed
0001509589,"CIVITAS RESOURCES, INC.",energy,,,False,former_or_unmapped,CIVI,1,last_filing_inline_xbrl,False,True,CIVI,2013-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported,CIVI,failed
0001517342,PACIFIC DRILLING S.A.,energy,,,False,former_or_unmapped,PACD,1,last_filing_inline_xbrl,False,True,PACD,2020-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,PACD,failed
0001518832,"WPX ENERGY, INC.",energy,,,False,former_or_unmapped,WPX,1,last_filing_inline_xbrl,False,True,WPX,2013-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,WPX,failed
0001525287,SPRAGUE RESOURCES LP,energy,,,False,former_or_unmapped,SRLP,1,last_filing_inline_xbrl,False,True,SRLP,2015-04-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,True,candidate_supported,SRLP,failed
0001527709,"MID-CON ENERGY PARTNERS, LP",energy,,,False,former_or_unmapped,MCEP,1,last_filing_instance_xbrl,False,True,MCEP,2013-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,True,candidate_supported,MCEP,failed
0001528129,"VITAL ENERGY, INC.",energy,,,False,former_or_unmapped,VTLE,1,last_filing_inline_xbrl,False,True,VTLE,2013-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported,VTLE,failed
0001529463,"FTS INTERNATIONAL, INC.",energy,,,False,former_or_unmapped,FTSI,1,last_filing_inline_xbrl,False,True,FTSI,2020-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,FTSI,failed
0001533454,NORTHERN TIER ENERGY LP,energy,,,False,former_or_unmapped,NTI,1,last_filing_instance_xbrl,False,True,NTI,2014-04-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,True,candidate_supported,NTI,failed
0001537028,"INDEPENDENCE CONTRACT DRILLING, INC.",energy,,,False,former_or_unmapped,ICD,1,last_filing_inline_xbrl,False,True,ICD,2016-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,ICD,failed
0001540729,FORESIGHT ENERGY LP,energy,,,False,former_or_unmapped,FELP,1,last_filing_instance_xbrl,False,True,FELP,2016-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,True,candidate_supported,FELP,failed
0001574963,"WORLD POINT TERMINALS, LP",energy,,,False,former_or_unmapped,WPT,1,last_filing_instance_xbrl,False,True,WPT,2016-04-01 00:00:00+00:00,2018-07-01 00:00:00+00:00,True,candidate_supported,WPT,failed
0001588238,RICE ENERGY INC.,energy,,,False,former_or_unmapped,RICE,1,last_filing_instance_xbrl,False,True,RICE,2016-04-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,True,candidate_supported,RICE,failed
0001594466,"PARSLEY ENERGY, INC.",energy,,,False,former_or_unmapped,PE,1,last_filing_inline_xbrl,False,True,PE,2016-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,PE,failed
0001599222,MEMORIAL RESOURCE DEVELOPMENT CORP.,energy,,,False,former_or_unmapped,MRD,1,last_filing_instance_xbrl,False,True,MRD,2016-04-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,True,candidate_supported,MRD,failed
0001600470,MONTAGE RESOURCES CORP,energy,,,False,former_or_unmapped,MR,1,last_filing_inline_xbrl,False,True,MR,2016-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,MR,failed
0001615817,"C&J ENERGY SERVICES, INC.",energy,,,False,former_or_unmapped,CJ,1,last_filing_inline_xbrl,False,True,CJ,2015-07-01 00:00:00+00:00,2020-10-01 00:00:00+00:00,True,candidate_supported,CJ,failed
0001623595,"ATLAS ENERGY GROUP, LLC",energy,,,False,former_or_unmapped,ATLS,1,last_filing_instance_xbrl,False,True,ATLS,2016-07-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,True,candidate_supported,ATLS,failed
0001637558,CONSOL COAL RESOURCES LP,energy,,,False,former_or_unmapped,CCR,1,last_filing_inline_xbrl,False,True,CCR,2018-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,CCR,failed
0001652133,OASIS MIDSTREAM PARTNERS LP,energy,,,False,former_or_unmapped,OMP,1,last_filing_inline_xbrl,False,True,OMP,2019-04-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,True,candidate_supported,OMP,failed
0001685715,JAGGED PEAK ENERGY INC.,energy,,,False,former_or_unmapped,JAG,1,last_filing_inline_xbrl,False,True,JAG,2019-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,True,candidate_supported,JAG,failed
0001688476,NEXTIER OILFIELD SOLUTIONS INC.,energy,,,False,former_or_unmapped,NEX,1,last_filing_inline_xbrl,False,True,NEX,2019-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,True,candidate_supported,NEX,failed
0001705873,BERRY CORP (BRY),energy,,,False,former_or_unmapped,BRY,1,last_filing_inline_xbrl,False,True,BRY,2022-07-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported,BRY,failed
0001725526,HIGHPOINT RESOURCES CORP,energy,,,False,former_or_unmapped,HPR,1,last_filing_inline_xbrl,False,True,HPR,2018-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,HPR,failed
0001745797,"BRIGHAM MINERALS, INC.",energy,,,False,former_or_unmapped,MNRL,1,last_filing_inline_xbrl,False,True,MNRL,2021-04-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,True,candidate_supported,MNRL,failed
0000023111,COMPUTER TASK GROUP INC,technology,,,False,former_or_unmapped,CTG,1,last_filing_inline_xbrl,False,True,CTG,2012-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,True,candidate_supported,CTG,failed
0000033619,ESTERLINE TECHNOLOGIES CORP,technology,,,False,former_or_unmapped,ESL,1,last_filing_instance_xbrl,False,True,ESL,2012-04-01 00:00:00+00:00,2020-04-01 00:00:00+00:00,True,candidate_supported,ESL,failed
0000036047,"CORELOGIC, INC.",technology,,,False,former_or_unmapped,CLGX,1,last_filing_inline_xbrl,False,True,CLGX,2012-04-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,True,candidate_supported,CLGX,failed
0000067279,MOCON INC,technology,,,False,former_or_unmapped,MOCO,1,last_filing_instance_xbrl,False,True,MOCO,2012-04-01 00:00:00+00:00,2018-07-01 00:00:00+00:00,True,candidate_supported,MOCO,failed
0000068709,MTS SYSTEMS CORP,technology,,,False,former_or_unmapped,MTSC,1,last_filing_inline_xbrl,False,True,MTSC,2012-04-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,True,candidate_supported,MTSC,failed
0000088790,INTRICON CORP,technology,,,False,former_or_unmapped,IIN,1,last_filing_inline_xbrl,False,True,IIN,2019-04-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,True,candidate_supported,IIN,failed
0000320340,INTELLIGENT SYSTEMS CORP,technology,,,False,former_or_unmapped,INS,1,last_filing_instance_xbrl,False,True,INS,2020-04-01 00:00:00+00:00,2021-07-01 00:00:00+00:00,False,not_supported_for_eligible_interval,INS,failed
0000350868,"ITERIS, INC.",technology,,,False,former_or_unmapped,ITI,1,last_filing_inline_xbrl,False,True,ITI,2017-07-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,True,candidate_supported,ITI,failed
0000350917,EMULEX CORP /DE/,technology,,,False,former_or_unmapped,ELX,1,last_filing_instance_xbrl,False,True,ELX,2012-04-01 00:00:00+00:00,2016-07-01 00:00:00+00:00,True,candidate_supported,ELX,failed
0000354908,FLIR SYSTEMS INC,technology,,,False,former_or_unmapped,FLIR,1,last_filing_inline_xbrl,False,True,FLIR,2012-04-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,True,candidate_supported,FLIR,failed
0000701811,MENTOR GRAPHICS CORP,technology,,,False,former_or_unmapped,MENT,1,last_filing_instance_xbrl,False,True,MENT,2012-04-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,True,candidate_supported,MENT,failed
0000703360,LSI CORP,technology,,,False,former_or_unmapped,LSI,1,last_filing_instance_xbrl,False,True,LSI,2012-04-01 00:00:00+00:00,2015-07-01 00:00:00+00:00,True,candidate_supported,LSI,failed
0000708818,"NEXTGEN HEALTHCARE, INC.",technology,,,False,former_or_unmapped,NXGN,1,last_filing_inline_xbrl,False,True,NXGN,2012-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,True,candidate_supported,NXGN,failed
0000713425,"LOGILITY SUPPLY CHAIN SOLUTIONS, INC",technology,,,False,former_or_unmapped,LGTY,1,last_filing_inline_xbrl,False,True,LGTY,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported,LGTY,failed
0000718877,"ACTIVISION BLIZZARD, INC.",technology,,,False,former_or_unmapped,ATVI,1,last_filing_inline_xbrl,False,True,ATVI,2012-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,True,candidate_supported,ATVI,failed
0000727207,"ACCELERATE DIAGNOSTICS, INC",technology,,,False,former_or_unmapped,AXDX,1,last_filing_inline_xbrl,False,True,AXDX,2014-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,AXDX,failed
0000743316,MAXIM INTEGRATED PRODUCTS INC,technology,,,False,former_or_unmapped,MXIM,1,last_filing_inline_xbrl,False,True,MXIM,2012-04-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,True,candidate_supported,MXIM,failed
0000743988,XILINX INC,technology,,,False,former_or_unmapped,XLNX,1,last_filing_inline_xbrl,False,True,XLNX,2012-04-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,True,candidate_supported,XLNX,failed
0000753568,EXAR CORP,technology,,,False,former_or_unmapped,EXAR,1,last_filing_instance_xbrl,False,True,EXAR,2012-04-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,True,candidate_supported,EXAR,failed
0000767920,PMC SIERRA INC,technology,,,False,former_or_unmapped,PMCS,1,last_filing_instance_xbrl,False,True,PMCS,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,True,candidate_supported,PMCS,failed
0000772897,HUTCHINSON TECHNOLOGY INC,technology,,,False,former_or_unmapped,HTCH,1,last_filing_instance_xbrl,False,True,HTCH,2012-04-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,True,candidate_supported,HTCH,failed
0000778734,MEASUREMENT SPECIALTIES INC,technology,,,False,former_or_unmapped,MEAS,1,last_filing_instance_xbrl,False,True,MEAS,2012-04-01 00:00:00+00:00,2015-10-01 00:00:00+00:00,True,candidate_supported,MEAS,failed
0000790703,TECH DATA CORP,technology,,,False,former_or_unmapped,TECD,1,last_filing_inline_xbrl,False,True,TECD,2012-04-01 00:00:00+00:00,2021-07-01 00:00:00+00:00,True,candidate_supported,TECD,failed
0000790715,SIGMA DESIGNS INC,technology,,,False,former_or_unmapped,SIGM,1,last_filing_instance_xbrl,False,True,SIGM,2012-04-01 00:00:00+00:00,2019-07-01 00:00:00+00:00,True,candidate_supported,SIGM,failed
0000791915,CYPRESS SEMICONDUCTOR CORP /DE/,technology,,,False,former_or_unmapped,CY,1,last_filing_inline_xbrl,False,True,CY,2012-04-01 00:00:00+00:00,2021-04-01 00:00:00+00:00,True,candidate_supported,CY,failed
0000804753,CERNER CORP,technology,,,False,former_or_unmapped,CERN,1,last_filing_inline_xbrl,False,True,CERN,2012-04-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,True,candidate_supported,CERN,failed
0000808326,EMCORE CORP,technology,,,False,former_or_unmapped,EMKR,1,last_filing_inline_xbrl,False,True,EMKR,2012-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,True,candidate_supported,EMKR,failed
0000814549,EBIX INC,technology,,,False,former_or_unmapped,EBIX,1,last_filing_inline_xbrl,False,True,EBIX,2012-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,EBIX,failed
0000825410,LANDAUER INC,technology,,,False,former_or_unmapped,LDR,1,last_filing_instance_xbrl,False,True,LDR,2012-04-01 00:00:00+00:00,2018-10-01 00:00:00+00:00,True,candidate_supported,LDR,failed
0000855612,ZIX CORP,technology,,,False,former_or_unmapped,ZIXI,1,last_filing_inline_xbrl,False,True,ZIXI,2012-04-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,True,candidate_supported,ZIXI,failed
0000864559,CASCADE MICROTECH INC,technology,,,False,former_or_unmapped,CSCD,1,last_filing_instance_xbrl,False,True,CSCD,2015-04-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,True,candidate_supported,CSCD,failed
0000867374,ELECTRONICS FOR IMAGING INC,technology,,,False,former_or_unmapped,EFII,1,last_filing_instance_xbrl,False,True,EFII,2012-04-01 00:00:00+00:00,2020-07-01 00:00:00+00:00,True,candidate_supported,EFII,failed
0000870753,NUMEREX CORP /PA/,technology,,,False,former_or_unmapped,NMRX,1,last_filing_instance_xbrl,False,True,NMRX,2012-04-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,True,candidate_supported,NMRX,failed
0000877890,CITRIX SYSTEMS INC,technology,,,False,former_or_unmapped,CTXS,1,last_filing_inline_xbrl,False,True,CTXS,2012-04-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,True,candidate_supported,CTXS,failed
0000880177,PEREGRINE SEMICONDUCTOR CORP,technology,,,False,former_or_unmapped,PSMI,1,last_filing_instance_xbrl,False,True,PSMI,2014-04-01 00:00:00+00:00,2016-01-01 00:00:00+00:00,True,candidate_supported,PSMI,failed
0000887226,PERCEPTRON INC/MI,technology,,,False,former_or_unmapped,PRCP,1,last_filing_inline_xbrl,False,True,PRCP,2014-10-01 00:00:00+00:00,2021-07-01 00:00:00+00:00,True,candidate_supported,PRCP,failed
0000890264,EXA CORP,technology,,,False,former_or_unmapped,EXA,1,last_filing_instance_xbrl,False,True,EXA,2014-04-01 00:00:00+00:00,2018-10-01 00:00:00+00:00,True,candidate_supported,EXA,failed
