diagnostic,group,n_weeks,stress_transition_4w_rate,stress_transition_8w_rate,avg_ggg1_fwd_4w,avg_ggg1_fwd_8w
previous_to_current_path,neutral_mixed|stressed_panic,28,0.2962962962962963,0.38461538461538464,0.0027913938715678466,0.0031807408482316924
previous_to_current_path,neutral_mixed|neutral_mixed,398,0.163727959697733,0.24619289340101522,0.005737887004005213,0.00995527126249255
previous_to_current_path,recovery_fragile|recovery_fragile,26,0.07692307692307693,0.23076923076923078,0.006691387366871804,0.01823506786104724
previous_to_current_path,stressed_panic|stressed_panic,198,0.08585858585858586,0.22727272727272727,0.003008368971073475,0.007209922110505074
previous_to_current_path,recovery_fragile|neutral_mixed,16,0.0625,0.1875,0.0054073332933542995,0.017966896743581928
previous_to_current_path,neutral_mixed|recovery_fragile,16,0.0625,0.125,-0.000993862867425345,0.005635566213875079
previous_to_current_path,calm_trend|neutral_mixed,40,0.075,0.1,0.007386948654203224,0.01633043709837835
previous_to_current_path,calm_trend|calm_trend,253,0.02766798418972332,0.06719367588932806,0.005622739885719538,0.010101003407866696
previous_to_current_path,neutral_mixed|calm_trend,39,0.0,0.02564102564102564,0.0012542974965044057,0.013718833246363688
previous_to_current_path,calm_trend|recovery_confirmed,2,0.0,0.0,0.012706483398583934,0.04016956454865439
previous_to_current_path,neutral_mixed|recovery_confirmed,12,0.0,0.0,0.009590656086203825,0.024012162586615
previous_to_current_path,recovery_confirmed|calm_trend,3,0.0,0.0,0.013115015235259412,0.030457559919138417
previous_to_current_path,recovery_confirmed|neutral_mixed,14,0.0,0.0,0.01797508442110399,0.02550022471315571
previous_to_current_path,recovery_confirmed|recovery_confirmed,25,0.0,0.0,0.021229371438167208,0.038849472814260794
previous_to_current_path,recovery_confirmed|recovery_fragile,1,0.0,0.0,-0.012311385109411987,-0.007186925193718996
previous_to_current_path,recovery_fragile|recovery_confirmed,4,0.0,0.0,0.012060083973114866,0.01682444870859401
previous_to_current_path,recovery_fragile|stressed_panic,3,0.0,0.0,0.0028893403356933245,0.015651747920929937
previous_to_current_path,stressed_panic|recovery_confirmed,1,,,,
refined_state,neutral_deteriorating,171,0.2781065088757396,0.3392857142857143,0.006166051134389906,0.009134185256390514
refined_state,neutral_mixed,112,0.16964285714285715,0.26785714285714285,0.0021799077971360404,0.00378538961881229
refined_state,stressed_panic,229,0.10964912280701754,0.2422907488986784,0.002981108385140175,0.006859995963422109
refined_state,recovery_fragile,49,0.10204081632653061,0.22448979591836735,0.00374519511293821,0.01359468821678871
refined_state,neutral_healthy,210,0.0761904761904762,0.14903846153846154,0.007947480086420164,0.016043347437656792
refined_state,calm_trend,295,0.023728813559322035,0.061016949152542375,0.005121409624259299,0.010786308605274146
refined_state,recovery_confirmed,44,0.0,0.0,0.016731987480889613,0.032721388263432204
two_state_path,stressed_panic->neutral_mixed,24,0.5652173913043478,0.6086956521739131,0.0018954579040018217,0.0032806596597611706
two_state_path,stressed_panic->recovery_fragile,6,0.3333333333333333,0.5,0.006291946663920485,0.018174304001189395
two_state_path,neutral_mixed->stressed_panic,28,0.2962962962962963,0.38461538461538464,0.0027913938715678466,0.0031807408482316924
two_state_path,neutral_mixed->neutral_mixed,398,0.163727959697733,0.24619289340101522,0.005737887004005213,0.00995527126249255
two_state_path,recovery_fragile->recovery_fragile,26,0.07692307692307693,0.23076923076923078,0.006691387366871804,0.01823506786104724
two_state_path,stressed_panic->stressed_panic,198,0.08585858585858586,0.22727272727272727,0.003008368971073475,0.007209922110505074
two_state_path,recovery_fragile->neutral_mixed,16,0.0625,0.1875,0.0054073332933542995,0.017966896743581928
two_state_path,neutral_mixed->recovery_fragile,16,0.0625,0.125,-0.000993862867425345,0.005635566213875079
two_state_path,calm_trend->neutral_mixed,40,0.075,0.1,0.007386948654203224,0.01633043709837835
two_state_path,calm_trend->calm_trend,253,0.02766798418972332,0.06719367588932806,0.005622739885719538,0.010101003407866696
two_state_path,neutral_mixed->calm_trend,39,0.0,0.02564102564102564,0.0012542974965044057,0.013718833246363688
two_state_path,START->neutral_mixed,1,0.0,0.0,0.0,0.0
two_state_path,calm_trend->recovery_confirmed,2,0.0,0.0,0.012706483398583934,0.04016956454865439
two_state_path,neutral_mixed->recovery_confirmed,12,0.0,0.0,0.009590656086203825,0.024012162586615
two_state_path,recovery_confirmed->calm_trend,3,0.0,0.0,0.013115015235259412,0.030457559919138417
two_state_path,recovery_confirmed->neutral_mixed,14,0.0,0.0,0.01797508442110399,0.02550022471315571
two_state_path,recovery_confirmed->recovery_confirmed,25,0.0,0.0,0.021229371438167208,0.038849472814260794
two_state_path,recovery_confirmed->recovery_fragile,1,0.0,0.0,-0.012311385109411987,-0.007186925193718996
two_state_path,recovery_fragile->recovery_confirmed,4,0.0,0.0,0.012060083973114866,0.01682444870859401
two_state_path,recovery_fragile->stressed_panic,3,0.0,0.0,0.0028893403356933245,0.015651747920929937
two_state_path,stressed_panic->recovery_confirmed,1,,,,
