ticker_raw,ticker,name,sector,sub_industry,index,source_url,fetch_date,diagnostic_label
AXP,AXP,American Express,Financials,Consumer Finance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AIG,AIG,American International Group,Financials,Multi-line Insurance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMT,AMT,American Tower,Real Estate,Telecom Tower REITs,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AWK,AWK,American Water Works,Utilities,Water Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AME,AME,Ametek,Industrials,Electrical Components & Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMGN,AMGN,Amgen,Health Care,Biotechnology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APH,APH,Amphenol,Information Technology,Electronic Components,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADI,ADI,Analog Devices,Information Technology,Semiconductors,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AON,AON,Aon plc,Financials,Insurance Brokers,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APA,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APO,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMAT,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APP,APP,AppLovin,Information Technology,Application Software,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APTV,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ACGL,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADM,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ARES,ARES,Ares Management,Financials,Asset Management & Custody Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ANET,ANET,Arista Networks,Information Technology,Communications Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AIZ,AIZ,Assurant,Financials,Multi-line Insurance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
T,T,AT&T,Communication Services,Integrated Telecommunication Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ATO,ATO,Atmos Energy,Utilities,Gas Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADSK,ADSK,Autodesk,Information Technology,Application Software,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADP,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AZO,AZO,AutoZone,Consumer Discretionary,Automotive Retail,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AVB,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AVY,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AXON,AXON,Axon Enterprise,Industrials,Aerospace & Defense,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BKR,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BALL,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BAC,BAC,Bank of America,Financials,Diversified Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BAX,BAX,Baxter International,Health Care,Health Care Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BDX,BDX,Becton Dickinson,Health Care,Health Care Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BRK.B,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BBY,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
TECH,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BIIB,BIIB,Biogen,Health Care,Biotechnology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BLK,BLK,BlackRock,Financials,Asset Management & Custody Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BX,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
XYZ,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BK,BK,BNY Mellon,Financials,Asset Management & Custody Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BA,BA,Boeing,Industrials,Aerospace & Defense,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BKNG,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BSX,BSX,Boston Scientific,Health Care,Health Care Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BMY,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AVGO,AVGO,Broadcom,Information Technology,Semiconductors,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BR,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BRO,BRO,Brown & Brown,Financials,Insurance Brokers,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BF.B,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BLDR,BLDR,Builders FirstSource,Industrials,Building Products,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BG,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BXP,BXP,"BXP, Inc.",Real Estate,Office REITs,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CHRW,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CDNS,CDNS,Cadence Design Systems,Information Technology,Application Software,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CPT,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CPB,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
COF,COF,Capital One,Financials,Consumer Finance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CAH,CAH,Cardinal Health,Health Care,Health Care Distributors,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CCL,CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CARR,CARR,Carrier Global,Industrials,Building Products,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CVNA,CVNA,Carvana,Consumer Discretionary,Automotive Retail,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CASY,CASY,Casey's,Consumer Staples,Food Retail,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CAT,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CBOE,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CBRE,CBRE,CBRE Group,Real Estate,Real Estate Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CDW,CDW,CDW Corporation,Information Technology,Technology Distributors,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
COR,COR,Cencora,Health Care,Health Care Distributors,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CNC,CNC,Centene Corporation,Health Care,Managed Health Care,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CNP,CNP,CenterPoint Energy,Utilities,Multi-Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CF,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CRL,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
SCHW,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CHTR,CHTR,Charter Communications,Communication Services,Cable & Satellite,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CVX,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CB,CB,Chubb Limited,Financials,Property & Casualty Insurance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CHD,CHD,Church & Dwight,Consumer Staples,Household Products,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CIEN,CIEN,Ciena,Information Technology,Communications Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CI,CI,Cigna,Health Care,Health Care Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CINF,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CTAS,CTAS,Cintas,Industrials,Diversified Support Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CSCO,CSCO,Cisco,Information Technology,Communications Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
C,C,Citigroup,Financials,Diversified Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CFG,CFG,Citizens Financial Group,Financials,Regional Banks,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CLX,CLX,Clorox,Consumer Staples,Household Products,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CME,CME,CME Group,Financials,Financial Exchanges & Data,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CMS,CMS,CMS Energy,Utilities,Multi-Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
KO,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CTSH,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
COHR,COHR,Coherent Corp.,Information Technology,Electronic Components,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
COIN,COIN,Coinbase,Financials,Financial Exchanges & Data,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CL,CL,Colgate-Palmolive,Consumer Staples,Household Products,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CMCSA,CMCSA,Comcast,Communication Services,Cable & Satellite,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
FIX,FIX,Comfort Systems USA,Industrials,Construction & Engineering,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CAG,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
COP,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ED,ED,Consolidated Edison,Utilities,Multi-Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
STZ,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CEG,CEG,Constellation Energy,Utilities,Electric Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
COO,COO,Cooper Companies (The),Health Care,Health Care Supplies,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
CPRT,CPRT,Copart,Industrials,Diversified Support Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
GLW,GLW,Corning Inc.,Information Technology,Electronic Components,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
