cik10,sec_company_name,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,symbol_count,recovered_symbol,symbol_unique_across_recovered_ciks,first_eligible_decision,last_eligible_decision,recent_decision_rows,tiingo_symbol,ticker,exchange,assetType,priceCurrency,startDate,endDate,inventory_interval_overlap
0001071255,"GOLDEN ENTERTAINMENT, INC.",services,0001071255-26-000015,2026-02-28 00:00:00+00:00,GDEN,xbrl_symbol_recovered,gden-20251231.htm,f8edd812996b2c3f89f33a69102ddbd388b95c77d69fc8bd4380fe3397d53732,1,GDEN,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,GDEN,GDEN,NASDAQ,Stock,USD,2015-08-04 00:00:00+00:00,2026-05-01 00:00:00+00:00,True
0001127703,PROASSURANCE CORP,finance_insurance_real_estate,0001127703-26-000008,2026-02-24 00:00:00+00:00,PRA,xbrl_symbol_recovered,pra-20251231.htm,e74db10d5b4e7dddc23aca3f429226df2f3cd5947f157b89906239cb67685b15,1,PRA,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,PRA,PRA,NYSE,Stock,USD,1991-09-04 00:00:00+00:00,2026-07-02 00:00:00+00:00,True
0001129155,MARINE PRODUCTS CORP,manufacturing,0001104659-26-021478,2026-02-28 00:00:00+00:00,MPX,xbrl_symbol_recovered,mpx-20251231x10k.htm,913ff5489f970ed20b7c948ccf432e6767b941845db7e9dc017cf0c80dde4d1f,1,MPX,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,MPX,MPX,NYSE,Stock,USD,2001-02-28 00:00:00+00:00,2026-05-14 00:00:00+00:00,True
0001133470,CALAVO GROWERS INC,agriculture_forestry_fishing,0001104659-26-027142,2026-03-13 00:00:00+00:00,CVGW,xbrl_symbol_recovered,cvgw-20260131x10q.htm,9c1d5f7bfbc91604b98ed078d80c9e06803041a3f48a045a054e1a33cef39d99,1,CVGW,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CVGW,CVGW,NASDAQ,Stock,USD,2002-07-22 00:00:00+00:00,2026-05-28 00:00:00+00:00,True
0001141103,CROSS COUNTRY HEALTHCARE INC,services,0001628280-26-015791,2026-03-10 00:00:00+00:00,CCRN,xbrl_symbol_recovered,ccrn-20251231.htm,d93cfd90a56d4e2072ce4f129485d4e346e443a4c7c79e09a582448b2568f5eb,1,CCRN,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CCRN,CCRN,NASDAQ,Stock,USD,2001-10-25 00:00:00+00:00,2026-07-22 00:00:00+00:00,True
0001169445,"TRUBRIDGE, INC.",technology,0001169445-26-000006,2026-04-01 00:00:00+00:00,TBRG,xbrl_symbol_recovered,tbrg-20251231.htm,f2c5769cf99fe2fa44a60355647000bd36f339b698403b627f41cac749d67605,1,TBRG,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,TBRG,TBRG,NASDAQ,Stock,USD,2002-05-21 00:00:00+00:00,2026-07-10 00:00:00+00:00,True
0001175535,WHITESTONE REIT,finance_insurance_real_estate,0001437749-26-007232,2026-03-07 00:00:00+00:00,WSR,xbrl_symbol_recovered,wstr20251231_10k.htm,61fe66b13ad6376b31bd74a4c59853b87daaca9489cc0900ab25b949e0404be9,1,WSR,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,WSR,WSR,NYSE,Stock,USD,2010-08-26 00:00:00+00:00,2026-07-14 00:00:00+00:00,True
0001178879,"AMICUS THERAPEUTICS, INC.",manufacturing,0001178879-26-000005,2026-02-21 00:00:00+00:00,FOLD,xbrl_symbol_recovered,fold-20251231.htm,142badfff1719e944676ee4ecb32c4795d7e97373edc2c520e1294ad1de3bcdb,1,FOLD,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,FOLD,FOLD,NASDAQ,Stock,USD,2007-05-31 00:00:00+00:00,2026-04-27 00:00:00+00:00,True
0001274173,JANUS HENDERSON GROUP PLC,finance_insurance_real_estate,0001437749-26-005628,2026-02-26 00:00:00+00:00,JHG,xbrl_symbol_recovered,jhg20251231_10k.htm,bb8d675c3f056fc0bf28626be68a33f35422f534eaaec619a24f28c9281a8671,1,JHG,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,JHG,JHG,NYSE,Stock,USD,2000-06-26 00:00:00+00:00,2026-07-01 00:00:00+00:00,True
0001320414,SELECT MEDICAL HOLDINGS CORP,services,0001320414-26-000007,2026-02-20 00:00:00+00:00,SEM,xbrl_symbol_recovered,sem-20251231.htm,282738843b752101c6e5fc4a4a4f14bafac103169a0791e5410275739bec11c3,1,SEM,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,SEM,SEM,NYSE,Stock,USD,2009-09-25 00:00:00+00:00,2026-07-01 00:00:00+00:00,True
0001369568,"CATALYST PHARMACEUTICALS, INC.",manufacturing,0001193125-26-071525,2026-02-26 00:00:00+00:00,CPRX,xbrl_symbol_recovered,cprx-20251231.htm,d367ac84ac808e0b31d997ba9f9bde46378ea59fcc4ff89e20832d951d39b708,1,CPRX,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CPRX,CPRX,NASDAQ,Stock,USD,2006-11-08 00:00:00+00:00,2026-07-16 00:00:00+00:00,True
0001372020,GREAT LAKES DREDGE & DOCK CORP,construction,0001193125-26-064007,2026-02-24 00:00:00+00:00,GLDD,xbrl_symbol_recovered,gldd-20251231.htm,52027e0226988f900a97925de197a8d37415aaffa445e8c3094624180ca117f9,1,GLDD,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,GLDD,GLDD,NASDAQ,Stock,USD,2006-12-27 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001408100,"KENNEDY-WILSON HOLDINGS, INC.",finance_insurance_real_estate,0001408100-26-000072,2026-02-28 00:00:00+00:00,KW,xbrl_symbol_recovered,kw-20251231.htm,ec205924416fa28f8b2bdce0eb8468f905f56c07f8c7f66ad2fbdd19236243b9,1,KW,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,KW,KW,NYSE,Stock,USD,2007-12-03 00:00:00+00:00,2026-06-16 00:00:00+00:00,True
0001413837,FIRST FOUNDATION INC.,finance_insurance_real_estate,0001104659-26-028501,2026-03-17 00:00:00+00:00,FFWM,xbrl_symbol_recovered,ffwm-20251231x10k.htm,a4011fa22ffdcf24840fad5e939234d0c8ba9cacb6ffde7f1467380dc0052caa,1,FFWM,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,FFWM,FFWM,NYSE,Stock,USD,2014-11-03 00:00:00+00:00,2026-04-01 00:00:00+00:00,True
0001473844,"STELLAR BANCORP, INC.",finance_insurance_real_estate,0001473844-26-000006,2026-02-27 00:00:00+00:00,STEL,xbrl_symbol_recovered,stel-20251231.htm,582a921ea3100e779f2e6626a37ff540345b4db01017984a1bbfa0ae4fac0acc,1,STEL,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,STEL,STEL,NYSE,Stock,USD,2017-11-08 00:00:00+00:00,2026-07-01 00:00:00+00:00,True
0001489096,"THERMON GROUP HOLDINGS, INC.",manufacturing,0001489096-26-000023,2026-02-06 00:00:00+00:00,THR,xbrl_symbol_recovered,thr-20251231.htm,0230fe25ac63de6009472c6884794d1b6d3530d0a9f240096f34494f355fcc16,1,THR,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,THR,THR,NYSE,Stock,USD,2011-05-05 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001492422,"APELLIS PHARMACEUTICALS, INC.",manufacturing,0001193125-26-065179,2026-02-25 00:00:00+00:00,APLS,xbrl_symbol_recovered,apls-20251231.htm,a479b6493e10aca791226037f7394eb0b515acca73b58b7a4ce96e1d3f29b090,1,APLS,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,APLS,APLS,NASDAQ,Stock,USD,2017-11-09 00:00:00+00:00,2026-05-14 00:00:00+00:00,True
0001493225,"NORTHFIELD BANCORP, INC.",finance_insurance_real_estate,0001493225-26-000037,2026-03-03 00:00:00+00:00,NFBK,xbrl_symbol_recovered,nfbk-20251231.htm,60e6aade74ca5300ead110ed7bf806c1193d6b884f607f952a1e47690d8cdf44,1,NFBK,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,NFBK,NFBK,NASDAQ,Stock,USD,2007-11-08 00:00:00+00:00,2026-07-21 00:00:00+00:00,True
0001561680,"TRI POINTE HOMES, INC.",construction,0001561680-26-000008,2026-02-27 00:00:00+00:00,TPH,xbrl_symbol_recovered,tph-20251231.htm,c64d2e45ec5e0f45d9b4d87414851d064e3dbea18bef5b3d681277e067a6295f,1,TPH,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,TPH,TPH,NYSE,Stock,USD,2013-01-31 00:00:00+00:00,2026-05-13 00:00:00+00:00,True
0001562476,TAYLOR MORRISON HOME CORP,construction,0001628280-26-009030,2026-02-19 00:00:00+00:00,TMHC,xbrl_symbol_recovered,tmhc-20251231.htm,984c2233b844abb8d63842252df24fad1567381c99d8b2645148f02f60a3efe3,1,TMHC,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,TMHC,TMHC,NYSE,Stock,USD,2013-04-10 00:00:00+00:00,2026-07-24 00:00:00+00:00,True
0001579214,"EMERALD HOLDING, INC.",services,0001193125-26-105001,2026-03-14 00:00:00+00:00,EEX,xbrl_symbol_recovered,eex-20251231.htm,c57c2f3218b825ee385afcd26ec554a4ef08551a988431c1a4a92f07fa15bf31,1,EEX,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,EEX,EEX,NYSE,Stock,USD,2017-04-28 00:00:00+00:00,2026-07-14 00:00:00+00:00,True
0001606498,"AVANOS MEDICAL, INC.",manufacturing,0001606498-26-000004,2026-02-25 00:00:00+00:00,AVNS,xbrl_symbol_recovered,avns-20251231.htm,daf23de33f81a114e6e0c8756996dfcde09a1d8b95aa684d223b1dd4e1a76625,1,AVNS,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,AVNS,AVNS,NYSE,Stock,USD,2014-10-21 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001618563,NATIONAL STORAGE AFFILIATES TRUST,finance_insurance_real_estate,0001628280-26-012248,2026-02-27 00:00:00+00:00,NSA,xbrl_symbol_recovered,nsa-20251231.htm,010d02a949bb8c83d3786634cdf3bff52ab36a57a43260649c763f1ec4976dae,1,NSA,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,NSA,NSA,NYSE,Stock,USD,2015-04-23 00:00:00+00:00,2026-07-22 00:00:00+00:00,True
0001633931,TOPBUILD CORP,construction,0001104659-26-020481,2026-02-27 00:00:00+00:00,BLD,xbrl_symbol_recovered,bld-20251231x10k.htm,9dacb95ed0212b08cdb6f47cc171c015a90e35a3877c1884b62debdb402a870b,1,BLD,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,BLD,BLD,NYSE,Stock,USD,2015-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,True
0001772695,SUNNOVA ENERGY INTERNATIONAL INC.,transport_communications_utilities,0001772695-25-000020,2025-03-04 00:00:00+00:00,NOVA,xbrl_symbol_recovered,nova-20241231.htm,6e6ab19c9ba15a3fee755841df05826e855d36150f9099452b9aeaf192712054,1,NOVA,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,NOVA,NOVA,PINK,Stock,USD,2008-12-02 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001806201,OPEN LENDING CORP,finance_insurance_real_estate,0001628280-25-050208,2025-11-07 00:00:00+00:00,LPRO,xbrl_symbol_recovered,lpro-20250930.htm,c5e0322d4166f221d8a855fcad5e53c13e108eef9c98152f687a5624f7d46306,1,LPRO,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,LPRO,LPRO,NASDAQ,Stock,USD,2018-03-06 00:00:00+00:00,2026-07-31 00:00:00+00:00,True
0001808665,"ASSERTIO HOLDINGS, INC.",manufacturing,0001808665-26-000011,2026-03-17 00:00:00+00:00,ASRT,xbrl_symbol_recovered,asrt-20251231.htm,2736bd567eb8d215559cec24186a016d7607eeff8d1d1f312651975f1f7c0261,1,ASRT,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,ASRT,ASRT,NASDAQ,Stock,USD,2003-12-17 00:00:00+00:00,2026-06-17 00:00:00+00:00,True
0001607939,"UDEMY, INC.",services,0001607939-26-000034,2026-02-20 00:00:00+00:00,UDMY,xbrl_symbol_recovered,udmy-20251231.htm,d6004c66d66690e5951cec80a214f91743b8b6868dc6a5a471362cbb7b94a8fd,1,UDMY,True,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,UDMY,UDMY,NASDAQ,Stock,USD,2021-10-29 00:00:00+00:00,2026-05-11 00:00:00+00:00,True
0001743907,"SUN COUNTRY AIRLINES HOLDINGS, INC.",transport_communications_utilities,0001743907-26-000032,2026-02-13 00:00:00+00:00,SNCY,xbrl_symbol_recovered,sncy-20251231.htm,e6901c4c406cbc702a6c252435488a95adebaec158a3825a6ed6400f8ef4ad2c,1,SNCY,True,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,SNCY,SNCY,NASDAQ,Stock,USD,2021-03-17 00:00:00+00:00,2026-05-13 00:00:00+00:00,True
0001853513,"MISTER CAR WASH, INC.",services,0001193125-26-078965,2026-02-28 00:00:00+00:00,MCW,xbrl_symbol_recovered,mcw-20251231.htm,c04df7ce3bd16c5e496d3b5b8e9da5ca48b45b0bd34f63dc2d616909b4cb9911,1,MCW,True,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,MCW,MCW,NASDAQ,Stock,USD,2021-06-25 00:00:00+00:00,2026-05-19 00:00:00+00:00,True
0001856236,"EUROPEAN WAX CENTER, INC.",services,0001193125-26-091643,2026-03-05 00:00:00+00:00,EWCZ,xbrl_symbol_recovered,ewcz-20260103.htm,f1f75c26c078e1bedb68d3fd64f3928ef3da70ba25bf61124d4e8c5b38af028c,1,EWCZ,True,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,EWCZ,EWCZ,NASDAQ,Stock,USD,2021-08-05 00:00:00+00:00,2026-05-08 00:00:00+00:00,True
0001866368,"CLEARWATER ANALYTICS HOLDINGS, INC.",technology,0001866368-26-000011,2026-02-19 00:00:00+00:00,CWAN,xbrl_symbol_recovered,cwan-20251231.htm,8f856bcdb81586d21c11aced66a02f04991fe7d1152f1ef5c00390ebef24eda0,1,CWAN,True,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,CWAN,CWAN,NYSE,Stock,USD,2021-09-24 00:00:00+00:00,2026-07-02 00:00:00+00:00,True
0001868726,"OLAPLEX HOLDINGS, INC.",manufacturing,0001868726-26-000009,2026-03-06 00:00:00+00:00,OLPX,xbrl_symbol_recovered,olpx-20251231.htm,e7d066b802fde7f5cba99642320ec099b6b4daaec059266df4c91df4aa621bf7,1,OLPX,True,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,OLPX,OLPX,NASDAQ,Stock,USD,2021-09-30 00:00:00+00:00,2026-07-08 00:00:00+00:00,True
0000018349,SYNOVUS FINANCIAL CORP,finance_insurance_real_estate,0000018349-25-000121,2025-11-05 00:00:00+00:00,SNV,xbrl_symbol_recovered,syn-20250930.htm,820cf89e53d3dd41ea43ba1271ea30636165593b10cdd9f25b5a504a12c575c1,1,SNV,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,SNV,SNV,NYSE,Stock,USD,1990-01-12 00:00:00+00:00,2025-12-31 00:00:00+00:00,True
0000020520,"FRONTIER COMMUNICATIONS PARENT, INC.",transport_communications_utilities,0000020520-25-000006,2025-10-29 00:00:00+00:00,FYBR,xbrl_symbol_recovered,fybr-20250930x10q.htm,43e2e372acee5d96613a5ab02da12a3e18c36d8f14a3cb32cfd43389e1d84f6e,1,FYBR,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,FYBR,FYBR,NASDAQ,Stock,USD,2021-05-04 00:00:00+00:00,2026-01-20 00:00:00+00:00,True
0000028412,COMERICA INC,finance_insurance_real_estate,0000028412-25-000235,2025-10-29 00:00:00+00:00,CMA,xbrl_symbol_recovered,cma-20250930.htm,be4ae74b34d42e07cfaaced0cb1888223dcf85bb48b93387d80e6d1819d447d7,1,CMA,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,CMA,CMA,NYSE,Stock,USD,1990-03-26 00:00:00+00:00,2026-01-30 00:00:00+00:00,True
0000039899,TEGNA INC,transport_communications_utilities,0001193125-26-084392,2026-03-03 00:00:00+00:00,TGNA,xbrl_symbol_recovered,tgna-20251231.htm,7d380c537f5b11fc110d3fd5cd2f68c88b602644fcc6591a1188203fbbe15ece,1,TGNA,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,TGNA,TGNA,NYSE,Stock,USD,1985-07-01 00:00:00+00:00,2026-03-20 00:00:00+00:00,True
0000852772,DENNY'S CORP,retail_trade,0000852772-25-000121,2025-11-05 00:00:00+00:00,DENN,xbrl_symbol_recovered,denn-20250924.htm,bf48131607d8eb5c2a54ca42b7e600c619df15f5a325f919c0b3bd0244e5ebff,1,DENN,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,DENN,DENN,NASDAQ,Stock,USD,1998-01-08 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0000912463,GUESS INC,manufacturing,0000912463-25-000086,2025-12-06 00:00:00+00:00,GES,xbrl_symbol_recovered,ges-20251101.htm,42372e0f8f1cf19583f1a96190d0528856c6fdcc937e7808251b9a31952cb7b1,1,GES,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,GES,GES,NYSE,Stock,USD,1996-08-08 00:00:00+00:00,2026-01-22 00:00:00+00:00,True
0000917470,OLYMPIC STEEL INC,wholesale_trade,0001437749-25-032420,2025-10-31 00:00:00+00:00,ZEUS,xbrl_symbol_recovered,zeus20250930_10q.htm,83f8494763fceb7fecb40a2b7a7119f2ec5a064a7e64051899299762f4b35cf2,1,ZEUS,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,ZEUS,ZEUS,NASDAQ,Stock,USD,1994-03-10 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001029142,DYNAVAX TECHNOLOGIES CORP,manufacturing,0001628280-25-049536,2025-11-06 00:00:00+00:00,DVAX,xbrl_symbol_recovered,dvax-20250930.htm,0b8629579f2c85e98951e3e54c334eb0472cbd41dd63b4f9a90fb9e2f0987893,1,DVAX,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,DVAX,DVAX,NASDAQ,Stock,USD,2004-02-19 00:00:00+00:00,2026-02-11 00:00:00+00:00,True
0001124140,EXACT SCIENCES CORP,services,0001124140-26-000011,2026-02-14 00:00:00+00:00,EXAS,xbrl_symbol_recovered,exas-20251231.htm,455d4a967ef80e0e641245704644109713fc3c9af96c9c320b867887389ccd44,1,EXAS,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,EXAS,EXAS,NASDAQ,Stock,USD,2001-02-01 00:00:00+00:00,2026-03-24 00:00:00+00:00,True
0001131554,SYNCHRONOSS TECHNOLOGIES INC,technology,0001628280-25-049026,2025-11-05 00:00:00+00:00,SNCR,xbrl_symbol_recovered,sncr-20250930.htm,f715d5559340ef20c9c31dd94b76bfcda6dcd15d305cbb18b62a8e79dd520032,1,SNCR,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,SNCR,SNCR,NASDAQ,Stock,USD,2006-06-15 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001159167,IROBOT CORP,manufacturing,0001159167-25-000091,2025-11-07 00:00:00+00:00,IRBT,xbrl_symbol_recovered,irbt-20250927.htm,4407f5f79b5955bcd74eb9650d17d37e49d27e9e5923e1acf407244da104a0fd,1,IRBT,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,IRBT,IRBT,PINK,Stock,USD,2005-11-09 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001320695,"TREEHOUSE FOODS, INC.",manufacturing,0001320695-25-000107,2025-11-11 00:00:00+00:00,THS,xbrl_symbol_recovered,ths-20250930.htm,63c770d09fea37747cd4a6b92711f3ea301f8df96504d124acc394280d7e6515,1,THS,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,THS,THS,NYSE,Stock,USD,2005-06-28 00:00:00+00:00,2026-02-11 00:00:00+00:00,True
0001327318,"TRUECAR, INC.",technology,0001327318-25-000065,2025-11-07 00:00:00+00:00,TRUE,xbrl_symbol_recovered,true-20250930.htm,a87db211f925061a748f103de80d064cddad8f73a1841f4b82c37634b97822ff,1,TRUE,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,TRUE,TRUE,NASDAQ,Stock,USD,2000-05-02 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001338749,POTLATCHDELTIC CORP,finance_insurance_real_estate,0001193125-25-272023,2025-11-08 00:00:00+00:00,PCH,xbrl_symbol_recovered,pch-20250930.htm,41536fbb1d499542fc15ef0f8f17dbc749767109bdccbbcf0bd6ba7aa70ebc98,1,PCH,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,PCH,PCH,NASDAQ,Stock,USD,1985-11-11 00:00:00+00:00,2026-02-02 00:00:00+00:00,True
0001398987,ANYWHERE REAL ESTATE INC.,finance_insurance_real_estate,0001398987-25-000116,2025-11-06 00:00:00+00:00,HOUS,xbrl_symbol_recovered,hous-20250930.htm,fead66d54ed57414e161359596a6d9b123542c61e72dd41bc279d29785540745,1,HOUS,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,HOUS,HOUS,NYSE,Stock,USD,2012-10-11 00:00:00+00:00,2026-01-08 00:00:00+00:00,True
0001412665,"MIDWESTONE FINANCIAL GROUP, INC.",finance_insurance_real_estate,0001412665-25-000159,2025-11-06 00:00:00+00:00,MOFG,xbrl_symbol_recovered,mofg-20250930.htm,c14b2ef990e9b4519411afce714be7c6189eb5b74928e2e398aa15d7315ea8ba,1,MOFG,True,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,MOFG,MOFG,NASDAQ,Stock,USD,2008-01-29 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
