cik10,company_name_as_filed,sector,current_tickers,current_exchanges,has_current_sec_ticker,identity_status
0001288403,W&T OFFSHORE INC,energy,WTI,NYSE,True,current_ticker_available
0001323468,GLOBAL PARTNERS LP,energy,GLP|GLP-PB,NYSE,True,current_ticker_available
0001349436,SANDRIDGE ENERGY INC,energy,SD,NYSE,True,current_ticker_available
0001376139,CVR ENERGY INC,energy,CVI,NYSE,True,current_ticker_available
0001384195,"RING ENERGY, INC.",energy,REI,NYSE,True,current_ticker_available
0001433270,ANTERO RESOURCES CORP,energy,AR,NYSE,True,current_ticker_available
0001451505,TRANSOCEAN LTD.,energy,RIG,NYSE,True,current_ticker_available
0001486159,CHORD ENERGY CORP,energy,CHRD,Nasdaq,True,current_ticker_available
0001504461,NGL ENERGY PARTNERS LP,energy,NGL|NGL-PB|NGL-PC,NYSE,True,current_ticker_available
0001509991,KOSMOS ENERGY LTD.,energy,KOS,NYSE,True,current_ticker_available
0001510295,MARATHON PETROLEUM CORP,energy,MPC,NYSE,True,current_ticker_available
0001520006,MATADOR RESOURCES CO,energy,MTDR,NYSE,True,current_ticker_available
0001532286,"NINE ENERGY SERVICE, INC.",energy,NINE,NYSE,True,current_ticker_available
0001533924,AMPLIFY ENERGY CORP.,energy,AMPY,NYSE,True,current_ticker_available
0001534504,PBF ENERGY INC.,energy,PBF,NYSE,True,current_ticker_available
0001534701,PHILLIPS 66,energy,PSX,NYSE,True,current_ticker_available
0001538849,CROSSAMERICA PARTNERS LP,energy,CAPL,NYSE,True,current_ticker_available
0001539838,"DIAMONDBACK ENERGY, INC.",energy,FANG,Nasdaq,True,current_ticker_available
0001552275,SUNOCO LP,energy,SUN,NYSE,True,current_ticker_available
0001559432,"TXO PARTNERS, L.P.",energy,TXO,NYSE,True,current_ticker_available
0001609253,CALIFORNIA RESOURCES CORP,energy,CRC,NYSE,True,current_ticker_available
0001621434,"BLACK STONE MINERALS, L.P.",energy,BSM,NYSE,True,current_ticker_available
0001657788,"KIMBELL ROYALTY PARTNERS, LP",energy,KRP,NYSE,True,current_ticker_available
0001658566,PERMIAN RESOURCES CORP,energy,PR,NYSE,True,current_ticker_available
0001679268,"MAMMOTH ENERGY SERVICES, INC.",energy,TUSK,Nasdaq,True,current_ticker_available
0001680247,PROPETRO HOLDING CORP.,energy,PUMP,NYSE,True,current_ticker_available
0001687187,"RAMACO RESOURCES, INC.",energy,METC|METCB|METCI|METCZ,Nasdaq,True,current_ticker_available
0001691303,"WARRIOR MET COAL, INC.",energy,HCC,NYSE,True,current_ticker_available
0001692427,"NCS MULTISTAGE HOLDINGS, INC.",energy,NCSM,Nasdaq,True,current_ticker_available
0001693256,"SELECT WATER SOLUTIONS, INC.",energy,WTTR,NYSE,True,current_ticker_available
0001694028,LIBERTY ENERGY INC.,energy,LBRT,NYSE,True,current_ticker_available
0001694426,"DELEK US HOLDINGS, INC.",energy,DK,NYSE,True,current_ticker_available
0001698514,NATIONAL ENERGY SERVICES REUNITED CORP.,energy,NESR,Nasdaq,True,current_ticker_available
0001698990,MAGNOLIA OIL & GAS CORP,energy,MGY,NYSE,True,current_ticker_available
0001699039,"RANGER ENERGY SERVICES, INC.",energy,RNGR,NYSE,True,current_ticker_available
0001704715,"ALPHA METALLURGICAL RESOURCES, INC.",energy,AMR,NYSE,True,current_ticker_available
0001710366,"CORE NATURAL RESOURCES, INC.",energy,CNR,NYSE,True,current_ticker_available
0001724965,TALOS ENERGY INC.,energy,TALO,NYSE,True,current_ticker_available
0001737706,SEADRILL LTD,energy,SDRL,NYSE,True,current_ticker_available
0001738827,"KLX ENERGY SERVICES HOLDINGS, INC.",energy,KLXE,Nasdaq,True,current_ticker_available
0001770561,CORONADO GLOBAL RESOURCES INC.,energy,CODQL,OTC,True,current_ticker_available
0001789832,HESS MIDSTREAM LP,energy,HESM,NYSE,True,current_ticker_available
0001792580,OVINTIV INC.,energy,OVV,NYSE,True,current_ticker_available
0001792849,"HIGHPEAK ENERGY, INC.",energy,HPK,Nasdaq,True,current_ticker_available
0001831481,SABLE OFFSHORE CORP.,energy,SOC,NYSE,True,current_ticker_available
0001838406,BKV CORP,energy,BKV,NYSE,True,current_ticker_available
0001841666,APA CORP,energy,APA,Nasdaq,True,current_ticker_available
0001866175,CRESCENT ENERGY CO,energy,CRGY,NYSE,True,current_ticker_available
0001881487,PROFRAC HOLDING CORP.,energy,ACDC,Nasdaq,True,current_ticker_available
0001895262,NOBLE CORP PLC,energy,NE|NE-WT|NE-WTA,NYSE,True,current_ticker_available
0001899883,FTAI INFRASTRUCTURE INC.,energy,FIP,Nasdaq,True,current_ticker_available
0001922446,DIVERSIFIED ENERGY CO,energy,DEC,NYSE,True,current_ticker_available
0001928446,"GRANITE RIDGE RESOURCES, INC.",energy,GRNT,NYSE,True,current_ticker_available
0001944558,"VITESSE ENERGY, INC.",energy,VTS,NYSE,True,current_ticker_available
0001958086,CORE LABORATORIES INC. /DE/,energy,CLB,NYSE,True,current_ticker_available
0001980088,MACH NATURAL RESOURCES LP,energy,MNR,NYSE,True,current_ticker_available
0001984060,ATLAS ENERGY SOLUTIONS INC.,energy,AESI,NYSE,True,current_ticker_available
0002013745,"CALUMET, INC. /DE",energy,CLMT,Nasdaq,True,current_ticker_available
0002074176,"VIPER ENERGY, INC.",energy,VNOM,Nasdaq,True,current_ticker_available
0000002488,ADVANCED MICRO DEVICES INC,technology,AMD,Nasdaq,True,current_ticker_available
0000004127,SKYWORKS SOLUTIONS INC,technology,SWKS,Nasdaq,True,current_ticker_available
0000006281,ANALOG DEVICES INC,technology,ADI,Nasdaq,True,current_ticker_available
0000006951,APPLIED MATERIALS INC /DE,technology,AMAT,Nasdaq,True,current_ticker_available
0000008146,"ASTRONOVA, INC.",technology,ALOT,Nasdaq,True,current_ticker_available
0000008670,AUTOMATIC DATA PROCESSING INC,technology,ADP,Nasdaq,True,current_ticker_available
0000009092,BADGER METER INC,technology,BMI,NYSE,True,current_ticker_available
0000012208,"BIO-RAD LABORATORIES, INC.",technology,BIO|BIO-B,NYSE,True,current_ticker_available
0000016058,CACI INTERNATIONAL INC /DE/,technology,CACI,NYSE,True,current_ticker_available
0000021535,COHU INC,technology,COHU,Nasdaq,True,current_ticker_available
0000022701,COMMUNICATIONS SYSTEMS INC,technology,SUNE,Nasdaq,True,current_ticker_available
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,technology,CMTL,Nasdaq,True,current_ticker_available
0000026058,CTS CORP,technology,CTS,NYSE,True,current_ticker_available
0000028823,"DIEBOLD NIXDORF, INC",technology,DBD,NYSE,True,current_ticker_available
0000029002,DIODES INC /DEL/,technology,DIOD,Nasdaq,True,current_ticker_available
0000031235,EASTMAN KODAK CO,technology,KODK,NYSE,True,current_ticker_available
0000031791,"REVVITY, INC.",technology,RVTY,NYSE,True,current_ticker_available
0000046129,ALLIENT INC,technology,ALNT,Nasdaq,True,current_ticker_available
0000047217,HP INC,technology,HPQ,NYSE,True,current_ticker_available
0000048898,HUBBELL INC,technology,HUBB,NYSE,True,current_ticker_available
0000050471,PARK CITY GROUP INC,technology,TRAK,NYSE,True,current_ticker_available
0000050863,INTEL CORP,technology,INTC,Nasdaq,True,current_ticker_available
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,technology,IBM,NYSE,True,current_ticker_available
0000056978,KULICKE & SOFFA INDUSTRIES INC,technology,KLIC,Nasdaq,True,current_ticker_available
0000065270,METHODE ELECTRONICS INC,technology,MEI,NYSE,True,current_ticker_available
0000065770,"MICROVISION, INC.",technology,MVIS,Nasdaq,True,current_ticker_available
0000068505,"MOTOROLA SOLUTIONS, INC.",technology,MSI,NYSE,True,current_ticker_available
0000069633,"NAPCO SECURITY TECHNOLOGIES, INC",technology,NSSC,Nasdaq,True,current_ticker_available
0000070866,NCR VOYIX CORP,technology,NCRRP|VYX,NYSE|OTC,True,current_ticker_available
0000076267,PARK AEROSPACE CORP,technology,PKE,NYSE,True,current_ticker_available
0000078749,AGILYSYS INC,technology,AGYS,Nasdaq,True,current_ticker_available
0000078814,PITNEY BOWES INC /DE/,technology,PBI|PBI-PB,NYSE,True,current_ticker_available
0000087050,"NEONODE, INC",technology,NEON,Nasdaq,True,current_ticker_available
0000088941,SEMTECH CORP,technology,SMTC,Nasdaq,True,current_ticker_available
0000097210,"TERADYNE, INC",technology,TER,Nasdaq,True,current_ticker_available
0000097476,TEXAS INSTRUMENTS INC,technology,TXN,Nasdaq,True,current_ticker_available
0000097745,THERMO FISHER SCIENTIFIC INC.,technology,TMO,NYSE,True,current_ticker_available
0000099302,TRANSCAT INC,technology,TRNS,Nasdaq,True,current_ticker_available
0000101984,UNIVERSAL ELECTRONICS INC,technology,UEIC,Nasdaq,True,current_ticker_available
0000103730,VISHAY INTERTECHNOLOGY INC,technology,VSH,NYSE,True,current_ticker_available
0000106040,WESTERN DIGITAL CORP,technology,WDC,Nasdaq,True,current_ticker_available
0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",technology,LHX,NYSE,True,current_ticker_available
0000275880,PARSONS CORP,technology,PSN,NYSE,True,current_ticker_available
0000313616,DANAHER CORP /DE/,technology,DHR,NYSE,True,current_ticker_available
0000315374,HURCO COMPANIES INC,technology,HURC,Nasdaq,True,current_ticker_available
0000319201,KLA CORP,technology,KLAC,Nasdaq,True,current_ticker_available
0000320121,TELOS CORP,technology,TLS,Nasdaq,True,current_ticker_available
0000320193,APPLE INC,technology,AAPL,Nasdaq,True,current_ticker_available
0000704532,ONTO INNOVATION INC.,technology,ONTO,NYSE,True,current_ticker_available
0000708821,PAR TECHNOLOGY CORP,technology,PAR,NYSE,True,current_ticker_available
0000709283,QUANTUM CORP /DE/,technology,QMCO,Nasdaq,True,current_ticker_available
0000712515,ELECTRONIC ARTS INC.,technology,EA,Nasdaq,True,current_ticker_available
0000719733,KEY TRONIC CORP,technology,KTCC,Nasdaq,True,current_ticker_available
0000722572,FRANKLIN WIRELESS CORP,technology,FKWL,Nasdaq,True,current_ticker_available
0000723125,MICRON TECHNOLOGY INC,technology,MU,Nasdaq,True,current_ticker_available
0000724004,MESA LABORATORIES INC /CO/,technology,MLAB,Nasdaq,True,current_ticker_available
0000724910,NVE CORP /NEW/,technology,NVEC,Nasdaq,True,current_ticker_available
0000729580,BEL FUSE INC /NJ,technology,BELFA|BELFB,Nasdaq,True,current_ticker_available
0000733269,"LIVERAMP HOLDINGS, INC.",technology,RAMP,NYSE,True,current_ticker_available
0000746838,UNISYS CORP,technology,UIS,NYSE,True,current_ticker_available
0000750004,"LIGHT & WONDER, INC.",technology,LAWIL|LNWO,OTC,True,current_ticker_available
0000751978,VICOR CORP,technology,VICR,Nasdaq,True,current_ticker_available
0000769397,"AUTODESK, INC.",technology,ADSK,Nasdaq,True,current_ticker_available
0000771266,KOPIN CORP,technology,KOPN,Nasdaq,True,current_ticker_available
0000772406,"CIRRUS LOGIC, INC.",technology,CRUS,Nasdaq,True,current_ticker_available
0000779152,JACK HENRY & ASSOCIATES INC,technology,JKHY,Nasdaq,True,current_ticker_available
0000780571,"ITRON, INC.",technology,ITRI,Nasdaq,True,current_ticker_available
0000785786,PLEXUS CORP,technology,PLXS,Nasdaq,True,current_ticker_available
0000789019,MICROSOFT CORP,technology,MSFT,Nasdaq,True,current_ticker_available
0000796343,ADOBE INC.,technology,ADBE,Nasdaq,True,current_ticker_available
0000796505,"CLEARFIELD, INC.",technology,CLFD,Nasdaq,True,current_ticker_available
0000797721,VIASAT INC,technology,VSAT,Nasdaq,True,current_ticker_available
0000798354,FISERV INC,technology,FISV,Nasdaq,True,current_ticker_available
0000804328,QUALCOMM INC/DE,technology,QCOM,Nasdaq,True,current_ticker_available
0000807863,MITEK SYSTEMS INC,technology,MITK,Nasdaq,True,current_ticker_available
0000810136,PHOTRONICS INC,technology,PLAB,Nasdaq,True,current_ticker_available
0000813672,CADENCE DESIGN SYSTEMS INC,technology,CDNS,Nasdaq,True,current_ticker_available
0000816761,TERADATA CORP /DE/,technology,TDC,NYSE,True,current_ticker_available
0000817720,SYNAPTICS INC,technology,SYNA,Nasdaq,True,current_ticker_available
0000820313,AMPHENOL CORP /DE/,technology,APH,NYSE,True,current_ticker_available
0000820318,COHERENT CORP.,technology,COHR,NYSE,True,current_ticker_available
0000827054,MICROCHIP TECHNOLOGY INC,technology,MCHP|MCHPP,Nasdaq,True,current_ticker_available
0000827876,"CLEANSPARK, INC.",technology,CLSK|CLSKW,Nasdaq,True,current_ticker_available
0000833640,POWER INTEGRATIONS INC,technology,POWI,Nasdaq,True,current_ticker_available
0000836690,INNOVATIVE SOLUTIONS & SUPPORT INC,technology,ISSC,Nasdaq,True,current_ticker_available
0000840715,CLEARONE INC,technology,CLRO,Nasdaq,True,current_ticker_available
0000849399,GEN DIGITAL INC.,technology,GEN|GENVR,Nasdaq,True,current_ticker_available
0000851205,COGNEX CORP,technology,CGNX,Nasdaq,True,current_ticker_available
0000851310,HARMONIC INC.,technology,HLIT,Nasdaq,True,current_ticker_available
0000854775,DIGI INTERNATIONAL INC,technology,DGII,Nasdaq,True,current_ticker_available
0000855658,LATTICE SEMICONDUCTOR CORP,technology,LSCC,Nasdaq,True,current_ticker_available
0000857005,PTC INC.,technology,PTC,Nasdaq,True,current_ticker_available
0000858877,"CISCO SYSTEMS, INC.",technology,CSCO,Nasdaq,True,current_ticker_available
0000860731,TYLER TECHNOLOGIES INC,technology,TYL,NYSE,True,current_ticker_available
0000863436,BENCHMARK ELECTRONICS INC,technology,BHE,NYSE,True,current_ticker_available
0000864749,TRIMBLE INC.,technology,TRMB,Nasdaq,True,current_ticker_available
0000866291,"ALLEGRO MICROSYSTEMS, INC.",technology,ALGM,Nasdaq,True,current_ticker_available
0000866374,FLEX LTD.,technology,FLEX,Nasdaq,True,current_ticker_available
0000866706,ESCO TECHNOLOGIES INC,technology,ESE,NYSE,True,current_ticker_available
0000876167,PROGRESS SOFTWARE CORP /MA,technology,PRGS,Nasdaq,True,current_ticker_available
0000882508,QUICKLOGIC CORP,technology,QUIK,Nasdaq,True,current_ticker_available
0000882835,ROPER TECHNOLOGIES INC,technology,ROP,Nasdaq,True,current_ticker_available
0000883241,SYNOPSYS INC,technology,SNPS,Nasdaq,True,current_ticker_available
0000884144,ASURE SOFTWARE INC,technology,ASUR,Nasdaq,True,current_ticker_available
0000890394,"MOSYS, INC.",technology,PRSO,Nasdaq,True,current_ticker_available
0000891103,"MATCH GROUP, INC.",technology,MTCH,Nasdaq,True,current_ticker_available
0000895419,"WOLFSPEED, INC.",technology,WOLF,NYSE,True,current_ticker_available
0000896878,INTUIT INC.,technology,INTU,Nasdaq,True,current_ticker_available
0000897723,SANMINA CORP,technology,SANM,Nasdaq,True,current_ticker_available
0000898293,JABIL INC,technology,JBL,NYSE,True,current_ticker_available
0000903651,INNODATA INC,technology,INOD,Nasdaq,True,current_ticker_available
0000909494,TUCOWS INC /PA/,technology,TCX,Nasdaq,True,current_ticker_available
0000910638,3D SYSTEMS CORP,technology,DDD,NYSE,True,current_ticker_available
0000912093,VIAVI SOLUTIONS INC.,technology,VIAV,Nasdaq,True,current_ticker_available
0000914139,PARKERVISION INC,technology,PRKR,OTC,True,current_ticker_available
0000917273,RAMBUS INC,technology,RMBS,Nasdaq,True,current_ticker_available
0000917520,INTEGRA LIFESCIENCES HOLDINGS CORP,technology,IART,Nasdaq,True,current_ticker_available
0000918965,"SCANSOURCE, INC.",technology,SCSC,Nasdaq,True,current_ticker_available
0000921582,IMAX CORP,technology,IMAX,NYSE,True,current_ticker_available
0000924383,LRAD CORP,technology,GNSS,Nasdaq,True,current_ticker_available
0000926282,"ADTRAN HOLDINGS, INC.",technology,ADTN,Nasdaq,True,current_ticker_available
0000926326,"OMNICELL, INC.",technology,OMCL,Nasdaq,True,current_ticker_available
0000927003,ADVANCED ENERGY INDUSTRIES INC,technology,AEIS,Nasdaq,True,current_ticker_available
0000935036,"ACI WORLDWIDE, INC.",technology,ACIW,Nasdaq,True,current_ticker_available
0000936395,CIENA CORP,technology,CIEN,NYSE,True,current_ticker_available
0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,CLMB,Nasdaq,True,current_ticker_available
0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,technology,TTWO,Nasdaq,True,current_ticker_available
0000948708,"SMITH MICRO SOFTWARE, INC.",technology,SMSI,Nasdaq,True,current_ticker_available
0001000697,WATERS CORP /DE/,technology,WAT,NYSE,True,current_ticker_available
0001001115,GEOSPACE TECHNOLOGIES CORP,technology,GEOS,Nasdaq,True,current_ticker_available
0001002047,"NETAPP, INC.",technology,NTAP,Nasdaq,True,current_ticker_available
0001002638,OPEN TEXT CORP,technology,OTEX,Nasdaq,True,current_ticker_available
0001005284,UNIVERSAL DISPLAY CORP PA,technology,OLED,Nasdaq,True,current_ticker_available
0001007587,KVH INDUSTRIES INC DE,technology,KVHI,Nasdaq,True,current_ticker_available
0001013237,FACTSET RESEARCH SYSTEMS INC,technology,FDS,NYSE,True,current_ticker_available
0001013857,PEGASYSTEMS INC,technology,PEGA,Nasdaq,True,current_ticker_available
0001014473,VERISIGN INC/CA,technology,VRSN,Nasdaq,True,current_ticker_available
0001015739,AWARE INC /MA/,technology,AWRE,Nasdaq,True,current_ticker_available
0001017303,TRANSACT TECHNOLOGIES INC,technology,TACT,Nasdaq,True,current_ticker_available
0001022408,EPLUS INC,technology,PLUS,Nasdaq,True,current_ticker_available
0001022652,INSEEGO CORP.,technology,INSG,Nasdaq,True,current_ticker_available
0001023459,"SIMULATIONS PLUS, INC.",technology,SLP,Nasdaq,True,current_ticker_available
0001023731,8X8 INC /DE/,technology,EGHT,Nasdaq,True,current_ticker_available
0001024478,"ROCKWELL AUTOMATION, INC",technology,ROK,NYSE,True,current_ticker_available
0001030894,CELESTICA INC,technology,CLS,NYSE,True,current_ticker_available
0001031308,BENTLEY SYSTEMS INC,technology,BSY,Nasdaq,True,current_ticker_available
0001032975,LOGITECH INTERNATIONAL S.A.,technology,LOGI,Nasdaq,True,current_ticker_available
0001034760,WIDEPOINT CORP,technology,WYY,NYSE,True,current_ticker_available
0001036044,"IDENTIV, INC.",technology,INVE,Nasdaq,True,current_ticker_available
0001036262,INTEST CORP,technology,INTT,NYSE,True,current_ticker_available
0001037646,METTLER TOLEDO INTERNATIONAL INC/,technology,MTD,NYSE,True,current_ticker_available
0001037868,AMETEK INC/,technology,AME,NYSE,True,current_ticker_available
0001038074,SILICON LABORATORIES INC.,technology,SLAB,Nasdaq,True,current_ticker_available
0001039065,OSI SYSTEMS INC,technology,OSIS,Nasdaq,True,current_ticker_available
0001039399,FORMFACTOR INC,technology,FORM,Nasdaq,True,current_ticker_available
0001040161,"PIXELWORKS, INC",technology,PXLW,Nasdaq,True,current_ticker_available
0001043961,TRANSGENOMIC INC,technology,PRPO,Nasdaq,True,current_ticker_available
0001044777,ONESPAN INC.,technology,OSPN,Nasdaq,True,current_ticker_available
0001045810,NVIDIA CORP,technology,NVDA,Nasdaq,True,current_ticker_available
0001047127,"AMKOR TECHNOLOGY, INC.",technology,AMKR,Nasdaq,True,current_ticker_available
0001048695,"F5, INC.",technology,FFIV,Nasdaq,True,current_ticker_available
0001049502,MKS INC,technology,MKSI,Nasdaq,True,current_ticker_available
0001049521,MERCURY SYSTEMS INC,technology,MRCY,Nasdaq,True,current_ticker_available
0001050377,PC CONNECTION INC,technology,CNXN,Nasdaq,True,current_ticker_available
0001050446,MICROSTRATEGY INC,technology,MSTR|STRC|STRD|STRF|STRK,Nasdaq,True,current_ticker_available
0001051627,AXT INC,technology,AXTI,Nasdaq,True,current_ticker_available
0001056696,MANHATTAN ASSOCIATES INC,technology,MANH,Nasdaq,True,current_ticker_available
0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,technology,CTSH,Nasdaq,True,current_ticker_available
0001058811,IMMERSION CORP,technology,IMMR,Nasdaq,True,current_ticker_available
0001066194,EGAIN CORP,technology,EGAN,Nasdaq,True,current_ticker_available
0001070235,BLACKBERRY LTD,technology,BB,NYSE,True,current_ticker_available
0001078075,NETSCOUT SYSTEMS INC,technology,NTCT,Nasdaq,True,current_ticker_available
0001078271,EXTREME NETWORKS INC,technology,EXTR,Nasdaq,True,current_ticker_available
0001081745,"INTELLINETICS, INC.",technology,INLX,NYSE,True,current_ticker_available
0001090872,"AGILENT TECHNOLOGIES, INC.",technology,A,NYSE,True,current_ticker_available
0001092699,SPS COMMERCE INC,technology,SPSC,Nasdaq,True,current_ticker_available
0001094285,TELEDYNE TECHNOLOGIES INC,technology,TDY,NYSE,True,current_ticker_available
0001095565,HEALTHSTREAM INC,technology,HSTM,Nasdaq,True,current_ticker_available
0001097864,ON SEMICONDUCTOR CORP,technology,ON,Nasdaq,True,current_ticker_available
0001102993,LIVEPERSON INC,technology,LPSN,Nasdaq,True,current_ticker_available
0001107843,"QUALYS, INC.",technology,QLYS,Nasdaq,True,current_ticker_available
0001108524,"SALESFORCE, INC.",technology,CRM,NYSE,True,current_ticker_available
0001109354,BRUKER CORP,technology,BRKR|BRKRP,Nasdaq,True,current_ticker_available
0001110803,"ILLUMINA, INC.",technology,ILMN,Nasdaq,True,current_ticker_available
0001111928,IPG PHOTONICS CORP,technology,IPGP,Nasdaq,True,current_ticker_available
0001114925,LANTRONIX INC,technology,LTRX,Nasdaq,True,current_ticker_available
0001114995,IMPINJ INC,technology,PI,Nasdaq,True,current_ticker_available
0001116942,TTM TECHNOLOGIES INC,technology,TTMI,Nasdaq,True,current_ticker_available
0001120914,PDF SOLUTIONS INC,technology,PDFS,Nasdaq,True,current_ticker_available
0001121788,GARMIN LTD,technology,GRMN,NYSE,True,current_ticker_available
0001122904,"NETGEAR, INC.",technology,NTGR,Nasdaq,True,current_ticker_available
0001123494,HARVARD BIOSCIENCE INC,technology,HBIO,Nasdaq,True,current_ticker_available
0001124796,"NLIGHT, INC.",technology,LASR,Nasdaq,True,current_ticker_available
0001126741,GSI TECHNOLOGY INC,technology,GSIT,Nasdaq,True,current_ticker_available
0001133311,TRAVELZOO,technology,TZOO,Nasdaq,True,current_ticker_available
0001133421,NORTHROP GRUMMAN CORP /DE/,technology,NOC,NYSE,True,current_ticker_available
0001137789,SEAGATE TECHNOLOGY HOLDINGS PLC,technology,STX,Nasdaq,True,current_ticker_available
0001144879,APPLIED DIGITAL CORP.,technology,APLD,Nasdaq,True,current_ticker_available
0001158114,"APPLIED OPTOELECTRONICS, INC.",technology,AAOI,Nasdaq,True,current_ticker_available
0001158324,"COGENT COMMUNICATIONS HOLDINGS, INC.",technology,CCOI,Nasdaq,True,current_ticker_available
0001162194,STANDARD BIOTOOLS INC.,technology,LAB,Nasdaq,True,current_ticker_available
0001167419,"RIOT BLOCKCHAIN, INC.",technology,RIOT,Nasdaq,True,current_ticker_available
0001169561,COMMVAULT SYSTEMS INC,technology,CVLT,Nasdaq,True,current_ticker_available
0001173489,CEVA INC,technology,CEVA,Nasdaq,True,current_ticker_available
0001177394,TD SYNNEX CORP,technology,SNX,NYSE,True,current_ticker_available
0001210677,FIRST ADVANTAGE CORP,technology,FA,Nasdaq,True,current_ticker_available
0001261333,"DOCUSIGN, INC.",technology,DOCU,Nasdaq,True,current_ticker_available
0001262039,"FORTINET, INC.",technology,FTNT,Nasdaq,True,current_ticker_available
0001272842,AIRGAIN INC,technology,AIRG,Nasdaq,True,current_ticker_available
0001274494,"FIRST SOLAR, INC.",technology,FSLR,Nasdaq,True,current_ticker_available
