register,cik10,company_name,sec_terminal_date,terminal_reason,weekly_observations_after,distinct_values_after,last_observation,probable_successor_continuation,continuation_kind,safe_to_treat_as_continuing
sec_broad_terminal_membership_v2,0001651094,"ELEVATE CREDIT, INC.",2023-03-01,form25_plus_form15_no_later_periodic,179,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001679082,MYOVANT SCIENCES LTD.,2023-03-10,completion_8k,177,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001713952,"VIVINT SMART HOME, INC.",2023-03-10,completion_8k,177,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001135185,ATLAS AIR WORLDWIDE HOLDINGS INC,2023-03-17,completion_8k,176,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001745041,"IAA, INC.",2023-03-21,completion_8k,176,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001704596,"EVO PAYMENTS, INC.",2023-03-24,completion_8k,175,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001374535,ALTRA INDUSTRIAL MOTION CORP.,2023-03-27,completion_8k,175,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001709401,"RUBIUS THERAPEUTICS, INC.",2023-03-28,form25_plus_form15_no_later_periodic,175,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001160951,"DUCK CREEK TECHNOLOGIES, INC.",2023-03-30,completion_8k,175,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001688852,SAFEHOLD INC.,2023-03-31,completion_8k,176,172,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0001751143,"ATLAS TECHNICAL CONSULTANTS, INC.",2023-04-19,completion_8k,174,3,2026-09-04,False,not_flagged,False
sec_broad_terminal_membership_v2,0001801754,"TREAN INSURANCE GROUP, INC.",2023-04-21,completion_8k,171,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001092662,"CHEMBIO DIAGNOSTICS, INC.",2023-04-27,completion_8k,171,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001180145,CARDIOVASCULAR SYSTEMS INC,2023-04-27,completion_8k,171,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001695357,"PROVENTION BIO, INC.",2023-04-27,completion_8k,171,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001564406,"OAK STREET HEALTH, INC.",2023-05-02,completion_8k,170,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001121142,MAXAR TECHNOLOGIES INC.,2023-05-03,completion_8k,170,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001640455,"JOUNCE THERAPEUTICS, INC.",2023-05-04,completion_8k,170,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001643269,"SUMO LOGIC, INC.",2023-05-15,completion_8k,168,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001604643,EVOQUA WATER TECHNOLOGIES CORP.,2023-05-24,completion_8k,167,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001378453,TRAVELCENTERS OF AMERICA INC. /MD/,2023-05-26,form25_plus_form15_no_later_periodic,166,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001575051,SISECAM RESOURCES LP,2023-05-26,completion_8k,166,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001784797,BROADMARK REALTY CAPITAL INC.,2023-05-31,completion_8k,166,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000055772,KIMBALL INTERNATIONAL INC,2023-06-01,completion_8k,166,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001273931,MONEYGRAM INTERNATIONAL INC,2023-06-01,completion_8k,166,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001739936,MOMENTIVE GLOBAL INC.,2023-06-02,completion_8k,165,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001038133,HESKA CORP,2023-06-13,completion_8k,164,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001324272,"RUTHS HOSPITALITY GROUP, INC.",2023-06-14,completion_8k,164,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001827075,CVENT HOLDING CORP.,2023-06-15,completion_8k,164,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001718852,"PROMETHEUS BIOSCIENCES, INC.",2023-06-16,completion_8k,163,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000077159,RANGER OIL CORP,2023-06-20,completion_8k,163,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001747748,QUALTRICS INTERNATIONAL INC.,2023-06-28,completion_8k,162,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000923571,US XPRESS ENTERPRISES INC,2023-07-05,completion_8k,163,3,2026-09-04,False,not_flagged,False
sec_broad_terminal_membership_v2,0001831617,"DIVERSEY HOLDINGS, LTD.",2023-07-05,completion_8k,161,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001410939,"IVERIC BIO, INC.",2023-07-11,completion_8k,160,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000944314,"LIFE STORAGE, INC.",2023-07-20,completion_8k,159,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000040888,"AEROJET ROCKETDYNE HOLDINGS, INC.",2023-07-28,completion_8k,157,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001494319,UNIVAR SOLUTIONS INC.,2023-08-01,completion_8k,157,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000077877,"PDC ENERGY, INC.",2023-08-07,completion_8k,156,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001435049,"CHINOOK THERAPEUTICS, INC.",2023-08-11,completion_8k,155,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001790982,ARCONIC CORP,2023-08-18,completion_8k,154,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001029800,URSTADT BIDDLE PROPERTIES INC,2023-08-21,completion_8k,154,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001543916,"FORGEROCK, INC.",2023-08-23,completion_8k,154,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001651052,FOCUS FINANCIAL PARTNERS INC.,2023-08-31,completion_8k,153,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001142596,NUVASIVE INC,2023-09-01,completion_8k,152,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001688476,NEXTIER OILFIELD SOLUTIONS INC.,2023-09-01,completion_8k,152,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001115128,QUOTIENT TECHNOLOGY INC.,2023-09-05,completion_8k,152,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001091907,WORLD WRESTLING ENTERTAINMENTINC,2023-09-12,completion_8k,151,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001568162,"NECESSITY RETAIL REIT, INC.",2023-09-12,completion_8k,151,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001178711,"PARATEK PHARMACEUTICALS, INC.",2023-09-21,completion_8k,150,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001810739,"RADIUS GLOBAL INFRASTRUCTURE, INC.",2023-09-21,completion_8k,150,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001126975,"MAGELLAN MIDSTREAM PARTNERS, L.P.",2023-09-25,completion_8k,149,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001358762,REATA PHARMACEUTICALS INC,2023-09-26,completion_8k,149,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001610950,"SYNEOS HEALTH, INC.",2023-09-28,completion_8k,149,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001492426,HORIZON THERAPEUTICS PUBLIC LTD CO,2023-10-06,completion_8k,147,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001719489,"KALEYRA, INC.",2023-10-10,completion_8k,147,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000935494,NATIONAL INSTRUMENTS CORP,2023-10-11,completion_8k,147,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000718877,"ACTIVISION BLIZZARD, INC.",2023-10-13,completion_8k,146,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001403431,"HERITAGE-CRYSTAL CLEAN, INC.",2023-10-17,completion_8k,146,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001095315,PFSWEB INC,2023-10-23,completion_8k,145,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001760717,SCIPLAY CORP,2023-10-23,completion_8k,145,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001534992,"FIESTA RESTAURANT GROUP, INC.",2023-10-30,completion_8k,144,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001144519,BUNGELTD,2023-11-01,completion_8k,146,146,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0000010254,EARTHSTONE ENERGY INC,2023-11-03,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001136352,CRESTWOOD EQUITY PARTNERS LP,2023-11-03,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001651561,"TABULA RASA HEALTHCARE, INC.",2023-11-06,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001644406,"HOSTESS BRANDS, INC.",2023-11-07,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000896841,"AVID TECHNOLOGY, INC.",2023-11-08,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001270073,"INTERCEPT PHARMACEUTICALS, INC.",2023-11-08,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001448056,"NEW RELIC, INC.",2023-11-08,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000708818,"NEXTGEN HEALTHCARE, INC.",2023-11-09,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001843762,"EQRX, INC.",2023-11-09,completion_8k,143,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001701114,"BLUE APRON HOLDINGS, INC.",2023-11-13,completion_8k,142,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000830524,CHASE CORP,2023-11-15,completion_8k,142,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001403256,"SCULPTOR CAPITAL MANAGEMENT, INC.",2023-11-17,completion_8k,141,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001124610,"VMWARE, INC.",2023-11-22,completion_8k,141,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001068875,"AVANTAX, INC.",2023-11-27,completion_8k,140,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001063344,HERSHA HOSPITALITY TRUST,2023-11-28,completion_8k,140,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001599489,VERITIV CORP,2023-11-30,completion_8k,140,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001102112,PACWEST BANCORP,2023-12-01,completion_8k,139,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001282977,GREENHILL & CO INC,2023-12-01,completion_8k,139,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001283140,HOLLY ENERGY PARTNERS LP,2023-12-01,form25_plus_form15_no_later_periodic,139,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001610682,USD PARTNERS LP,2023-12-01,form25_plus_form15_no_later_periodic,141,119,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0001465885,WESTERN ASSET MORTGAGE CAPITAL CORP,2023-12-06,completion_8k,139,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000023111,COMPUTER TASK GROUP INC,2023-12-13,completion_8k,138,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001060736,SEAGEN INC.,2023-12-14,completion_8k,138,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001057083,PC TEL INC,2023-12-15,completion_8k,137,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001723648,"LIVEVOX HOLDINGS, INC.",2023-12-22,completion_8k,136,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001209028,ARLINGTON ASSET INVESTMENT CORP.,2023-12-26,form25_plus_form15_no_later_periodic,136,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001801777,APPLIED MOLECULAR TRANSPORT INC.,2023-12-28,form25_plus_form15_no_later_periodic,136,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000842183,RPT REALTY,2024-01-03,completion_8k,137,126,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0000897429,"CHICO'S FAS, INC.",2024-01-05,completion_8k,134,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001031029,"STARTEK, INC.",2024-01-05,completion_8k,134,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001635650,GREEN PLAINS PARTNERS LP,2024-01-09,completion_8k,134,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001742924,LIVENT CORP.,2024-01-10,form25_plus_form15_no_later_periodic,134,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000315858,BLUEGREEN VACATIONS HOLDING CORP,2024-01-17,completion_8k,133,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001576263,"MIRATI THERAPEUTICS, INC.",2024-01-23,completion_8k,132,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001308606,"SPIRIT REALTY CAPITAL, INC.",2024-01-24,completion_8k,132,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001863105,"ENGAGESMART, INC.",2024-01-26,completion_8k,131,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000855654,"IMMUNOGEN, INC.",2024-02-12,completion_8k,129,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001719395,"EARGO, INC.",2024-02-16,completion_8k,128,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001826018,"ROVER GROUP, INC.",2024-02-27,completion_8k,127,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001475348,LUTHER BURBANK CORP,2024-03-01,completion_8k,126,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001574540,PHYSICIANS REALTY TRUST,2024-03-01,completion_8k,128,128,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0001856608,"SOVOS BRANDS, INC.",2024-03-12,completion_8k,125,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001353283,SPLUNK INC,2024-03-18,completion_8k,115,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001771917,"KARUNA THERAPEUTICS, INC.",2024-03-18,completion_8k,124,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001689923,"ALTERYX, INC.",2024-03-19,completion_8k,124,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001354327,"PGT INNOVATIONS, INC.",2024-03-28,completion_8k,123,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000741516,AMERICAN NATIONAL BANKSHARES INC.,2024-04-01,completion_8k,122,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000928022,CALLON PETROLEUM CO,2024-04-01,completion_8k,122,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001449488,CSI COMPRESSCO LP,2024-04-01,completion_8k,122,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001642453,"DASEKE, INC.",2024-04-02,completion_8k,122,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001676479,"CAPSTAR FINANCIAL HOLDINGS, INC.",2024-04-02,completion_8k,122,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001426332,NGM BIOPHARMACEUTICALS INC,2024-04-05,completion_8k,121,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000054381,KAMAN CORP,2024-04-19,completion_8k,119,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000811808,"SUMMIT FINANCIAL GROUP, INC.",2024-05-03,completion_8k,117,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001038357,PIONEER NATURAL RESOURCES CO,2024-05-03,completion_8k,117,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001823575,"ZEROFOX HOLDINGS, INC.",2024-05-13,completion_8k,116,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000893691,MASONITE INTERNATIONAL CORP,2024-05-15,completion_8k,116,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000809248,"CARROLS RESTAURANT GROUP, INC.",2024-05-16,completion_8k,116,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000846901,LAKELAND BANCORP INC,2024-05-16,completion_8k,116,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001059262,SP PLUS CORP,2024-05-16,completion_8k,116,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001811856,"VIEW, INC.",2024-05-24,bankruptcy_equity_termination,114,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001642545,"SHOCKWAVE MEDICAL, INC.",2024-05-31,completion_8k,113,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001110805,NUSTAR ENERGY L.P.,2024-06-03,form25_plus_form15_no_later_periodic,113,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001654151,"DECIPHERA PHARMACEUTICALS, INC.",2024-06-11,completion_8k,112,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001856430,SNAP ONE HOLDINGS CORP.,2024-06-14,completion_8k,111,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001838672,"ADTHEORENT HOLDING COMPANY, INC.",2024-06-21,completion_8k,110,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001118417,"MODEL N, INC.",2024-06-27,completion_8k,110,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001859285,HIRERIGHT HOLDINGS CORP,2024-06-28,completion_8k,109,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001820877,APARTMENT INCOME REIT CORP.,2024-07-01,completion_8k,109,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000701374,SIX FLAGS ENTERTAINMENT CORP,2024-07-02,form25_plus_form15_no_later_periodic,109,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000811532,CEDAR FAIR L P,2024-07-02,form25_plus_form15_no_later_periodic,111,111,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0000850460,ENCORE WIRE CORP,2024-07-02,completion_8k,109,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001437352,"EVERBRIDGE, INC.",2024-07-02,completion_8k,107,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001635984,"NATIONAL WESTERN LIFE GROUP, INC.",2024-07-09,completion_8k,108,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000075208,OVERSEAS SHIPHOLDING GROUP INC,2024-07-10,completion_8k,110,109,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0001340122,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",2024-07-10,completion_8k,110,110,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0000711772,CAMBRIDGE BANCORP,2024-07-15,completion_8k,107,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001814329,"ASTRA SPACE, INC.",2024-07-18,completion_8k,107,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001747009,EQUITRANS MIDSTREAM CORP,2024-07-22,completion_8k,106,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001017480,HIBBETT INC,2024-07-25,completion_8k,106,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000351817,"SILVERBOW RESOURCES, INC.",2024-07-30,completion_8k,105,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001524741,"U.S. SILICA HOLDINGS, INC.",2024-08-01,form25_plus_form15_no_later_periodic,105,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001549922,"SUMMIT MIDSTREAM PARTNERS, LP",2024-08-01,completion_8k,105,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001805387,"CEREVEL THERAPEUTICS HOLDINGS, INC.",2024-08-01,completion_8k,105,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001832433,FERGUSON PLC,2024-08-01,completion_8k,107,107,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0001753706,"WHOLE EARTH BRANDS, INC.",2024-08-05,completion_8k,104,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001679363,"MORPHIC HOLDING, INC.",2024-08-16,completion_8k,102,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000701288,ATRION CORP,2024-08-21,completion_8k,102,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000876378,"ASENSUS SURGICAL, INC.",2024-08-22,completion_8k,102,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000949039,"DIAMOND OFFSHORE DRILLING, INC.",2024-09-04,completion_8k,100,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001591587,"ASSETMARK FINANCIAL HOLDINGS, INC.",2024-09-05,completion_8k,100,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001397702,SILK ROAD MEDICAL INC,2024-09-17,completion_8k,98,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001172222,HAWAIIAN HOLDINGS INC,2024-09-18,completion_8k,98,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001560241,"G1 THERAPEUTICS, INC.",2024-09-18,completion_8k,98,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001253176,VAPOTHERM INC,2024-09-20,completion_8k,97,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001722438,"DOMA HOLDINGS, INC.",2024-09-27,completion_8k,96,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000007332,SOUTHWESTERN ENERGY CO,2024-10-01,completion_8k,96,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001835681,"POWERSCHOOL HOLDINGS, INC.",2024-10-01,completion_8k,96,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001085869,PERFICIENT INC,2024-10-02,completion_8k,96,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001364742,BLACKROCK INC.,2024-10-02,form25_plus_form15_no_later_periodic,98,98,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0001821393,"AARON'S COMPANY, INC.",2024-10-04,completion_8k,95,1,2026-08-21,False,not_flagged,False
