cik10,company_name,sec_terminal_date,completion_accession,completion_items,nearby_25_nse,notice_accessions,later_periodic_filing,terminal_reason
0001080747,GREENWAY MEDICAL TECHNOLOGIES INC,2013-11-05,0000876661-13-000809,,True,0000876661-13-000809,False,form25_plus_form15_no_later_periodic
0001163932,ACTIVE NETWORK INC,2013-11-20,0001193125-13-448337,1.01|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-13-000831,False,completion_8k
0000944739,TRANSWITCH CORP /DE,2013-11-21,0001144204-13-063574,1.03|2.04,True,0001354457-13-000222,False,bankruptcy_equity_termination
0000082628,SYMMETRICOM INC,2013-11-26,0001104659-13-087096,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-13-000215,False,completion_8k
0000317771,TELLABS INC,2013-12-03,0001354457-13-000225,,True,0001354457-13-000225,False,form25_plus_form15_no_later_periodic
0000067472,MOLEX INC,2013-12-09,0001104659-13-088986,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-13-000228|0001354457-13-000227,False,completion_8k
0001031028,GLOBECOMM SYSTEMS INC,2013-12-12,0001193125-13-471778,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-13-000229,False,completion_8k
0001224370,"MINDSPEED TECHNOLOGIES, INC",2013-12-18,0001193125-13-477431,1.01|1.02|2.01|2.04|3.01|5.01|5.02|5.03|9.01,True,0001354457-13-000231,False,completion_8k
0001355128,OCZ TECHNOLOGY GROUP INC,2014-01-03,0001193125-14-001915,1.03|9.01,True,0001354457-14-000029,False,bankruptcy_equity_termination
0001100969,"ASIAINFO-LINKAGE, INC",2014-01-15,0001193125-14-011901,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-14-000005,False,completion_8k
0001084817,RESPONSYS INC,2014-02-06,0001193125-14-038816,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-14-000017,False,completion_8k
0001144945,PENN VIRGINIA RESOURCE PARTNERS L P,2014-03-26,0000876661-14-000130,,True,0000876661-14-000130,False,form25_plus_form15_no_later_periodic
0000730000,SUPERTEX INC,2014-04-02,0001193125-14-128170,2.01|3.01|3.03|5.01|5.02|5.03|5.07|8.01|9.01,True,0001354457-14-000054,False,completion_8k
0000703360,LSI CORP,2014-05-06,0001193125-14-185188,1.01|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-14-000079,False,completion_8k
0001383729,"FUSION-IO, INC.",2014-07-23,0001104659-14-052859,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-14-000402,False,completion_8k
0001487990,AEROFLEX HOLDING CORP.,2014-09-16,0001104659-14-066532,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-14-000500,False,completion_8k
0000778734,MEASUREMENT SPECIALTIES INC,2014-10-09,0001144204-14-060385,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-14-000161,False,completion_8k
0001502012,"QR ENERGY, LP",2014-11-24,0001193125-14-422854,2.01|3.01|3.03|5.01|5.02,True,0000876661-14-000591,False,completion_8k
0000880177,PEREGRINE SEMICONDUCTOR CORP,2014-12-15,0000880177-14-000171,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-14-000213,False,completion_8k
0000913885,TRIQUINT SEMICONDUCTOR INC,2015-01-02,0001193125-15-000585,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-14-000220,False,completion_8k
0001062478,ACTUATE CORP,2015-01-16,0001193125-15-013285,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-15-000006,False,completion_8k
0001349454,"TRULIA, INC.",2015-02-18,0000876661-15-000080,,True,0000876661-15-000080,False,form25_plus_form15_no_later_periodic
0001003214,SILICON IMAGE INC,2015-03-11,0001193125-15-087452,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-15-000053,False,completion_8k
0001540400,E2OPEN INC,2015-03-26,0001193125-15-106451,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-15-000066,False,completion_8k
0001357326,"RIVERBED TECHNOLOGY, INC.",2015-04-24,0001193125-15-145651,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-15-000074,False,completion_8k
0001227930,ENTROPIC COMMUNICATIONS INC,2015-04-30,0001193125-15-162607,2.01|3.01|3.03|5.01|5.02|5.03|5.07|9.01,True,0001354457-15-000081,False,completion_8k
0001338613,REGENCY ENERGY PARTNERS LP,2015-04-30,0001193125-15-161441,1.01|2.01|2.04|3.01|3.03|5.01|5.02|7.01|9.01,False,,False,completion_8k
0000350917,EMULEX CORP /DE/,2015-05-05,0001193125-15-171985,2.01|3.01|3.03|5.01|5.02|5.03,True,0000876661-15-000196,False,completion_8k
0001173752,"ARUBA NETWORKS, INC.",2015-05-19,0001193125-15-192854,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-15-000085,False,completion_8k
0001101169,VIASYSTEMS GROUP INC,2015-06-02,0001193125-15-210743,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-15-000100,False,completion_8k
0001524471,EXELIS INC.,2015-06-03,0001193125-15-212166,1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-15-000241,False,completion_8k
0001201663,AUDIENCE INC,2015-07-01,0001193125-15-243059,2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-15-000114,False,completion_8k
0001024732,IGATE CORP,2015-07-07,0001193125-15-246906,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-15-000115,False,completion_8k
0001167294,MERU NETWORKS INC,2015-07-08,0001193125-15-248058,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-15-000119,False,completion_8k
0001340282,ROSETTA RESOURCES INC.,2015-07-21,0001193125-15-258410,1.01|1.02|2.01|3.01|3.03|5.01|5.03|5.07|9.01,True,0001354457-15-000123,False,completion_8k
0001080099,INFORMATICA CORP,2015-08-06,0001104659-15-057006,1.01|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-15-000142,False,completion_8k
0001392522,"FREESCALE SEMICONDUCTOR, LTD.",2015-12-08,0000876661-15-000621,,True,0000876661-15-000621,False,form25_plus_form15_no_later_periodic
0001419428,VANTAGE DRILLING CO,2015-12-11,0001193125-15-401587,1.03|5.02|7.01|8.01|9.01,True,0001143313-15-000059,False,bankruptcy_equity_termination
0001366684,HOMEAWAY INC,2015-12-15,0001193125-15-403245,1.01|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-15-000247,False,completion_8k
0000907649,FX ENERGY INC,2015-12-31,0001104659-15-087520,2.01|3.01|3.03|5.01|5.02|5.07|9.01,True,0001354457-16-000261|0001354457-15-000257,False,completion_8k
0000767920,PMC SIERRA INC,2016-01-21,0001571049-16-010967,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-16-000262,False,completion_8k
0001254419,MEDASSETS INC,2016-01-27,0001193125-16-439730,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.03|9.01,True,0001354457-16-000278,False,completion_8k
0001428669,"SOLARWINDS, INC.",2016-02-09,0000876661-16-000800,,True,0000876661-16-000800,False,form25_plus_form15_no_later_periodic
0001111665,TELECOMMUNICATION SYSTEMS INC /FA/,2016-02-24,0001354457-16-000310,,True,0001354457-16-000310,False,form25_plus_form15_no_later_periodic
0000940332,ANADIGICS INC,2016-03-16,0001437749-16-027765,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-16-000320,False,completion_8k
0001081078,API TECHNOLOGIES CORP.,2016-04-22,0001193125-16-551828,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-16-000359,False,completion_8k
0000089270,SL INDUSTRIES INC,2016-06-02,0000876661-16-001004,,True,0000876661-16-001004,False,form25_plus_form15_no_later_periodic
0001122342,ALLIANCE FIBER OPTIC PRODUCTS INC,2016-06-06,0000947871-16-001246,2.01|3.01|3.03|5.01|5.03|9.01,True,0001354457-16-000389,False,completion_8k
0001330849,"HERCULES OFFSHORE, INC.",2016-06-06,0001193125-16-613290,1.03|7.01|9.01,True,0001354457-16-000425,False,bankruptcy_equity_termination
0001412043,"OPOWER, INC.",2016-06-17,0001193125-16-624173,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-16-001031,False,completion_8k
0000864559,CASCADE MICROTECH INC,2016-06-28,0001193125-16-634813,1.01|2.01|2.03|3.01|3.03|5.01|5.03|8.01|9.01,True,0001354457-16-000406,False,completion_8k
0001301031,DEMANDWARE INC,2016-07-11,0001193125-16-645275,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-16-001086,False,completion_8k
0000830916,MULTI FINELINE ELECTRONIX INC,2016-07-27,0001193125-16-659300,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-16-000445,False,completion_8k
0001082526,SCIQUEST INC,2016-07-28,0001193125-16-662303,2.01|2.03|3.01|3.03|5.01|5.02|5.03|5.07|9.01,True,0001354457-16-000446,False,completion_8k
0000918386,QLOGIC CORP,2016-08-16,0001193125-16-682624,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-16-000465,False,completion_8k
0001305294,QLIK TECHNOLOGIES INC,2016-08-22,0001193125-16-687613,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-16-000470,False,completion_8k
0000790070,EMC CORP,2016-09-09,0001193125-16-706576,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.03|9.01,True,0000876661-16-001253,False,completion_8k
0001328015,IMPRIVATA INC,2016-09-16,0001193125-16-711669,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-16-001279,False,completion_8k
0001599222,MEMORIAL RESOURCE DEVELOPMENT CORP.,2016-09-16,0001193125-16-711718,1.02|2.01|3.01|3.03|5.01|5.02|5.03|5.07|9.01,True,0001354457-16-000495,False,completion_8k
0001036960,FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,2016-09-19,0001193125-16-713492,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-16-000497,False,completion_8k
0001010552,POLYCOM INC,2016-09-27,0001193125-16-721547,1.02|2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0001354457-16-000513,False,completion_8k
0001423542,"SKULLCANDY, INC.",2016-10-03,0001193125-16-729211,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-16-000520,False,completion_8k
0001595262,"IMS HEALTH HOLDINGS, INC.",2016-10-03,0001193125-16-728750,2.01|3.01|5.02|9.01,True,0000876661-16-001308,False,completion_8k
0000772897,HUTCHINSON TECHNOLOGY INC,2016-10-05,0001354457-16-000521,,True,0001354457-16-000521,False,form25_plus_form15_no_later_periodic
0001037760,CEPHEID,2016-11-07,0001193125-16-761755,2.01|2.04|3.01|3.03|5.01|5.02|5.03|5.07|9.01,True,0001354457-16-000537,False,completion_8k
0001526160,FLEETMATICS GROUP PLC,2016-11-07,0001193125-16-761753,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001143362-16-000453,False,completion_8k
0001117106,NETSUITE INC,2016-11-08,0001193125-16-762296,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001143362-16-000461,False,completion_8k
0001324772,APIGEE CORP,2016-11-10,0001193125-16-765269,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-16-000541,False,completion_8k
0001087934,"INCONTACT, INC.",2016-11-14,0000950103-16-017847,1.01|2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0001354457-16-000554,False,completion_8k
0001122897,CVENT INC,2016-11-29,0001193125-16-779481,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-16-001420,False,completion_8k
0001261694,TESSERA TECHNOLOGIES INC,2016-12-01,0001193125-16-782591,1.01|2.01|2.03|3.01|3.03|5.03|8.01|9.01,True,0001354457-16-000563,False,completion_8k
0001585854,SUNEDISON SEMICONDUCTOR LTD,2016-12-05,0001193125-16-784692,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|9.01,True,0001354457-16-000569,False,completion_8k
0001018003,INGRAM MICRO INC,2016-12-06,0000950103-16-018483,2.01|2.03|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-16-001442,False,completion_8k
0001358483,"EVERYDAY HEALTH, INC.",2016-12-06,0000876661-16-001450,,True,0000876661-16-001450,False,form25_plus_form15_no_later_periodic
0001271024,LINKEDIN CORP,2016-12-08,0001104659-16-161289,1.01|2.01|2.04|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-16-001454,False,completion_8k
0001407190,VIOLIN MEMORY INC,2016-12-19,0001193125-16-797241,1.03|2.04|7.01|9.01,True,0000876661-16-001415,False,bankruptcy_equity_termination
0001449278,TUBEMOGUL INC,2016-12-19,0001104659-16-162830,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-16-000588,False,completion_8k
0001383871,"LIFELOCK, INC.",2017-02-09,0001193125-17-035478,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-17-000060,False,completion_8k
0001096325,INTERSIL CORP/DE,2017-02-27,0001193125-17-057480,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-17-000039,False,completion_8k
0000800459,HARMAN INTERNATIONAL INDUSTRIES INC /DE/,2017-03-20,0001193125-17-089339,,True,0001193125-17-089339,False,form25_plus_form15_no_later_periodic
0000701811,MENTOR GRAPHICS CORP,2017-03-30,0001193125-17-104047,1.01|1.02|2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0001354457-17-000071,False,completion_8k
0001452751,NIMBLE STORAGE INC,2017-04-17,0001193125-17-125312,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-17-000207,False,completion_8k
0000753568,EXAR CORP,2017-05-12,0001193125-17-168032,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-17-000263,False,completion_8k
0001294924,INVENSENSE INC,2017-05-18,0001193125-17-174890,1.01|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-17-000271,False,completion_8k
0001462633,"JIVE SOFTWARE, INC.",2017-06-12,0001193125-17-200774,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-17-000114,False,completion_8k
0000067279,MOCON INC,2017-06-22,0001437749-17-011672,1.02|2.01|3.01|3.03|5.01|5.02|5.03|5.07|9.01,True,0001354457-17-000120,False,completion_8k
0001574963,"WORLD POINT TERMINALS, LP",2017-07-10,0000876661-17-000392,,True,0000876661-17-000392,False,form25_plus_form15_no_later_periodic
0001322554,XACTLY CORP,2017-07-31,0001193125-17-241589,2.01|3.01|3.03|5.01|5.02|5.03|5.07|8.01|9.01,True,0000876661-17-000433,False,completion_8k
0001244937,ENERNOC INC,2017-08-07,0001193125-17-249924,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-17-000153,False,completion_8k
0001334478,"NCI, INC.",2017-08-15,0001193125-17-258593,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03,True,0001354457-17-000156,False,completion_8k
0000008411,ATWOOD OCEANICS INC,2017-10-06,0001104659-17-061339,1.02|2.01|3.01|3.03|5.01|5.02|9.01,True,0000876661-17-000602,False,completion_8k
0000825410,LANDAUER INC,2017-10-19,0001193125-17-314115,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-17-000628,False,completion_8k
0001588238,RICE ENERGY INC.,2017-11-15,0001104659-17-068865,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-17-000676,False,completion_8k
0000890264,EXA CORP,2017-11-17,0001104659-17-069319,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-17-000231,False,completion_8k
0000870753,NUMEREX CORP /PA/,2017-12-08,0001193125-17-364672,1.02|2.01|3.01|3.03|5.01|5.02|5.07|8.01|9.01,True,0001354457-17-000245,False,completion_8k
0001583744,ARC LOGISTICS PARTNERS LP,2017-12-26,0001193125-17-378630,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-17-000805,False,completion_8k
0001484504,GIGAMON INC.,2017-12-27,0001193125-17-379621,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-17-000809,False,completion_8k
0001180079,SILVER SPRING NETWORKS INC,2018-01-09,0000876661-18-000023,,True,0000876661-18-000023,False,form25_plus_form15_no_later_periodic
0000945699,IXYS CORP /DE/,2018-01-18,0001193125-18-012692,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-18-000005,False,completion_8k
0001330421,BAZAARVOICE INC,2018-02-01,0001330421-18-000011,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-18-000020,False,completion_8k
0001348334,BARRACUDA NETWORKS INC,2018-02-13,0001193125-18-041082,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-18-000123,False,completion_8k
0001172139,BILL BARRETT CORP,2018-03-20,0000876661-18-000276,,True,0000876661-18-000276,False,form25_plus_form15_no_later_periodic
0001402281,ERIN ENERGY CORP.,2018-04-26,0001402281-18-000034,1.03|9.01,True,0001143313-18-000031,False,bankruptcy_equity_termination
0000904080,STONE ENERGY CORP,2018-05-25,0001143313-18-000034,,True,0001143313-18-000034,False,form25_plus_form15_no_later_periodic
0000310568,MICROSEMI CORP,2018-05-29,0001193125-18-176068,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-18-000163,False,completion_8k
0001104188,SOHU COM INC,2018-05-31,0001354457-18-000173,,True,0001354457-18-000173,False,form25_plus_form15_no_later_periodic
0000006284,ANALOGIC CORP,2018-06-22,0001193125-18-201130,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-18-000224,False,completion_8k
0001175609,"CAVIUM, INC.",2018-07-06,0001193125-18-213483,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-18-000245,False,completion_8k
0000790715,SIGMA DESIGNS INC,2018-08-15,0001437749-18-015723,,True,0001437749-18-015723,False,form25_plus_form15_no_later_periodic
0001094348,MATTERSIGHT CORP,2018-08-20,0001144204-18-045457,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-18-000318,False,completion_8k
0001312073,"VERIFONE SYSTEMS, INC.",2018-08-20,0001193125-18-253049,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|9.01,True,0000876661-18-000906,False,completion_8k
0000357020,XCERRA CORP,2018-10-01,0001193125-18-288716,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-18-000390,False,completion_8k
0001062047,CONVERGYS CORP,2018-10-05,0001140361-18-040187,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-18-001069,False,completion_8k
0001040426,SYNTEL INC,2018-10-09,0001193125-18-295965,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-18-000403,False,completion_8k
0001095291,"WEB.COM GROUP, INC.",2018-10-11,0001144204-18-053323,2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-18-000406,False,completion_8k
0001431372,GASTAR EXPLORATION INC.,2018-11-01,0001564590-18-025960,1.03|2.04|7.01|8.01|9.01,True,0001143313-18-000050|0001143313-18-000049|0001143313-18-000048,False,bankruptcy_equity_termination
0001017968,EDGEWATER TECHNOLOGY INC/DE/,2018-11-02,0001193125-18-316469,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-18-000440,False,completion_8k
0001170534,MITEL NETWORKS CORP,2018-11-30,0001193125-18-339023,2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-18-000497,False,completion_8k
0001110647,"OCLARO, INC.",2018-12-10,0001193125-18-346220,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-18-000513,False,completion_8k
0001173911,ENBRIDGE ENERGY MANAGEMENT L L C,2018-12-20,0001193125-18-354618,2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0000876661-18-001348,False,completion_8k
0001610532,"HORTONWORKS, INC.",2019-01-03,0001628280-19-000078,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-19-000003,False,completion_8k
0001364962,IMPERVA INC,2019-01-10,0001193125-19-005808,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-19-000024,False,completion_8k
0001419625,APPTIO INC,2019-01-10,0001193125-19-005899,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-19-000023,False,completion_8k
0001458962,"MINDBODY, INC.",2019-02-15,0001193125-19-041728,2.01|3.01|3.03|5.01|5.02|5.03|5.07|8.01|9.01,True,0001354457-19-000074,False,completion_8k
0001469510,RESOLUTE ENERGY CORP,2019-03-01,0001104659-19-012018,1.02|2.01|2.04|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-19-000170|0000876661-19-000168,False,completion_8k
0000033619,ESTERLINE TECHNOLOGIES CORP,2019-03-14,0000033619-19-000003,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-19-000241,False,completion_8k
0001487101,KEYW HOLDING CORP,2019-06-12,0001104659-19-035092,1.01|1.02|2.01|2.04|3.01|3.03|5.01|5.02|9.01,True,0001354457-19-000306,False,completion_8k
0000867374,ELECTRONICS FOR IMAGING INC,2019-07-23,0001193125-19-200006,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-19-000363,False,completion_8k
0001303652,TABLEAU SOFTWARE INC,2019-08-01,0001193125-19-209946,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-19-000810,False,completion_8k
0000773910,ANADARKO PETROLEUM CORP,2019-08-09,0000876661-19-000833,,True,0000876661-19-000833,False,form25_plus_form15_no_later_periodic
0001316016,AQUANTIA CORP,2019-09-19,0001193125-19-249036,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-19-000982,False,completion_8k
0000949158,CRAY INC,2019-09-25,0001628280-19-011916,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-19-000477,False,completion_8k
0001385292,MONOTYPE IMAGING HOLDINGS INC.,2019-10-11,0001193125-19-266384,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-19-000523,False,completion_8k
0001453814,"MEDIDATA SOLUTIONS, INC.",2019-10-28,0001140361-19-019146,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-19-000552,False,completion_8k
0001615817,"C&J ENERGY SERVICES, INC.",2019-10-31,0001193125-19-280636,1.02|2.01|2.03|3.01|3.03|5.02|5.03|7.01|9.01,True,0000876661-19-001097,False,completion_8k
0001489136,SEMGROUP CORP,2019-12-05,0001193125-19-307334,1.02|2.01|3.01|3.03|5.01|5.02|5.07|7.01|9.01,True,0000876661-19-001220,False,completion_8k
0001631825,"PRESIDIO, INC.",2019-12-19,0001193125-19-318457,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-19-000668,False,completion_8k
0001040593,CARRIZO OIL & GAS INC,2019-12-20,0001193125-19-321118,1.02|2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0001354457-19-000673,False,completion_8k
0001340127,CARBONITE INC,2019-12-26,0001193125-19-323007,1.01|1.02|2.01|3.01|5.01|5.02|7.01|8.01|9.01,True,0001354457-19-000682,False,completion_8k
0001685715,JAGGED PEAK ENERGY INC.,2020-01-10,0001193125-20-005402,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-20-000023,False,completion_8k
0001413507,SRC ENERGY INC.,2020-01-15,0001143313-20-000005,,True,0001143313-20-000005,False,form25_plus_form15_no_later_periodic
0001157806,ENCANA CORP,2020-01-27,0000876661-20-000056,,True,0000876661-20-000056,False,form25_plus_form15_no_later_periodic
0001405073,APPROACH RESOURCES INC,2020-01-30,0001564590-20-002538,1.03|5.02,True,0001354457-19-000661,False,bankruptcy_equity_termination
0001701040,CISION LTD.,2020-01-31,0001193125-20-021605,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-20-000071,False,completion_8k
0001355754,INSTRUCTURE INC,2020-03-24,0001193125-20-083235,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0000876661-20-000241,False,completion_8k
0000859163,AVX CORP,2020-03-30,0001193125-20-090240,1.02|2.01|3.01|3.03|5.02|5.03|8.01|9.01,True,0000876661-20-000255,False,completion_8k
