cik10,sec_company_name,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision_x,last_recent_decision_x,recent_decision_rows_x,symbol_count,current_tickers,first_recent_decision_y,last_recent_decision_y,recent_decision_rows_y,recovered_symbol,current_primary,selection_basis,candidate_format_valid,candidate_unique_across_ciks,audit_status,first_eligible_decision,last_eligible_decision,recent_decision_rows,tiingo_symbol,ticker,exchange,assetType,priceCurrency,startDate,endDate,inventory_interval_overlap
0001802457,"ORIGIN MATERIALS, INC.",manufacturing,0001802457-23-000105,2023-11-10 00:00:00+00:00,ORGN|ORGNW,xbrl_symbol_recovered,orgn-20230930.htm,806ba4b9f0a990903e97fa8095ea632e7a63b031f862d8bd19e3a085a2d13d8c,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,2,,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,ORGN,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,ORGN,ORGN,NASDAQ,Stock,USD,2020-09-04 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001830188,"UNITED HOMES GROUP, INC.",construction,0001830188-24-000037,2024-11-13 00:00:00+00:00,UHG|UHGWW,xbrl_symbol_recovered,uhg-20240930.htm,335afed9f75e06224a5178f2fa99b61a48417a74be9e9574d06e12ebfcaa2468,2024-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,8,2,,2024-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,8,UHG,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2024-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,8,UHG,UHG,NASDAQ,Stock,USD,2021-03-29 00:00:00+00:00,2026-05-05 00:00:00+00:00,True
0001819395,SONDER HOLDINGS INC.,services,0001819395-23-000168,2023-11-15 00:00:00+00:00,SOND|SONDW,xbrl_symbol_recovered,sond-20230930.htm,30f32f56295ba82c4980caaa6624f4b6020cf632dbb5bc4f82f1e671a7e2e45b,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,2,,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,SOND,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,SOND,SOND,PINK,Stock,USD,2021-03-15 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001820566,INSPIRATO INC,finance_insurance_real_estate,0001558370-23-018546,2023-11-10 00:00:00+00:00,ISPO|ISPOW,xbrl_symbol_recovered,ispo-20230930x10q.htm,a84c28edbbcc8d8d30ddd73f406dd2e8e3e37da84be1609919977ae3003848c6,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,2,,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,ISPO,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,ISPO,ISPO,NASDAQ,Stock,USD,2021-02-09 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001835378,INNOVID CORP.,technology,0001835378-24-000129,2024-11-13 00:00:00+00:00,CTV|CTVWS,xbrl_symbol_recovered,ctv-20240930.htm,dd9743874771d5c29a0de4f2de5e8264b3aee0ecbb4111f74b0112a87f2d981d,2023-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,12,2,,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,CTV,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,CTV,CTV,NYSE,Stock,USD,2021-12-01 00:00:00+00:00,2025-02-12 00:00:00+00:00,True
0000061398,TELLURIAN INC. /DE/,energy,0000061398-24-000031,2024-08-09 00:00:00+00:00,TELL|TELZ,xbrl_symbol_recovered,tell-20240630.htm,13962bb82580ad8c417712ae44dc7a1665bc041f166eb8eb410ef661c11cdb12,2023-01-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,12,2,,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,TELL,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,TELL,TELL,NYSE MKT,Stock,USD,1995-08-18 00:00:00+00:00,2024-10-08 00:00:00+00:00,True
0001855457,"KORE GROUP HOLDINGS, INC.",transport_communications_utilities,0001855457-23-000037,2023-11-10 00:00:00+00:00,KORE|KORE.WS,xbrl_symbol_recovered,kore-20230930.htm,84779c286b63825c04bd958d5ea560efd0c310bd3f487aa0c0bd6d749e8cff97,2023-07-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,7,2,,2023-07-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,7,KORE,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-07-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,7,KORE,KORE,NYSE,Stock,USD,2021-10-01 00:00:00+00:00,2026-07-24 00:00:00+00:00,True
0001753706,"WHOLE EARTH BRANDS, INC.",manufacturing,0001753706-24-000017,2024-08-02 00:00:00+00:00,FREE|FREEW,xbrl_symbol_recovered,free-20240630.htm,5e6ecd0ed1586074b2afbd040170a57b75bb98af7a0b097a17b2bb61eb04dbf2,2023-01-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,12,2,,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,FREE,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,FREE,FREE,NASDAQ,Stock,USD,2020-06-24 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001816233,"SHARECARE, INC.",services,0001628280-24-036336,2024-08-10 00:00:00+00:00,SHCR|SHCRW,xbrl_symbol_recovered,shcr-20240630.htm,737b3bb119715f50c46b6017aa06969a79c6a910f4f3f8b81fb923d03a0fbc01,2023-07-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,10,2,,2023-07-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,6,SHCR,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-07-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,6,SHCR,SHCR,NASDAQ,Stock,USD,2020-11-23 00:00:00+00:00,2024-10-22 00:00:00+00:00,True
0001722438,"DOMA HOLDINGS, INC.",finance_insurance_real_estate,0001437749-23-031308,2023-11-10 00:00:00+00:00,DOMA|DOMAW,xbrl_symbol_recovered,doma20230930_10q.htm,8dcba8bb405b65582d76b7cb0f70f307e567fe5ebb4285edd32c218a38418106,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,2,,2023-04-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,6,DOMA,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-04-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,6,DOMA,DOMA,NYSE,Stock,USD,2021-07-29 00:00:00+00:00,2024-09-27 00:00:00+00:00,True
0001110805,NUSTAR ENERGY L.P.,transport_communications_utilities,0001110805-24-000013,2024-04-30 00:00:00+00:00,NS|NSPRA|NSPRB|NSPRC,xbrl_symbol_recovered,ns-20240331.htm,1a1470093f0cab8f13fa42ad899a8f79e56fa403a8359b618463a343e9a49b19,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,4,,2023-01-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,6,NS,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,6,NS,NS,NYSE,Stock,USD,2001-04-10 00:00:00+00:00,2024-05-03 00:00:00+00:00,True
0001838672,"ADTHEORENT HOLDING COMPANY, INC.",technology,0000950170-23-060400,2023-11-08 00:00:00+00:00,ADTH|ADTHW,xbrl_symbol_recovered,adth-20230930.htm,2452722d00b14dbc9bd99dee1ac329666328b26543ec94e0939e0f10ee32b085,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,2,,2023-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,5,ADTH,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,5,ADTH,ADTH,NASDAQ,Stock,USD,2021-12-23 00:00:00+00:00,2024-06-21 00:00:00+00:00,True
0001893325,SCREAMING EAGLE ACQUISITION CORP.,finance_insurance_real_estate,0001193125-24-134310,2024-05-09 00:00:00+00:00,SCRMU|SCRM|SCRMW,xbrl_symbol_recovered,d821567d10q.htm,cf67e076b3d78ac878d8d3169b9fb7b016d71d354aa818d7c72b95e7bcbfe38f,2023-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,10,3,,2023-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,10,SCRMU,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,5,SCRMU,SCRMU,NASDAQ,Stock,USD,2022-01-06 00:00:00+00:00,2024-05-13 00:00:00+00:00,True
0001308606,"SPIRIT REALTY CAPITAL, INC.",finance_insurance_real_estate,0000950170-23-057717,2023-11-03 00:00:00+00:00,SRC|SRC-A,xbrl_symbol_recovered,src-20230930.htm,aa9e18b549903359a328f9e51875ea0c364b00385563abcc6f83f72e88a79494,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,2,,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,SRC,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,SRC,SRC,NYSE,Stock,USD,2012-09-20 00:00:00+00:00,2024-01-22 00:00:00+00:00,True
0001606745,"LIBERTY TRIPADVISOR HOLDINGS, INC.",technology,0001558370-22-016651,2022-11-08 00:00:00+00:00,LTRPA|LTRPB,xbrl_symbol_recovered,ltrpa-20220930x10q.htm,4163474f3a4d4c0e3f0002a510065efb2e950501aeeee66b39568915139ce1f2,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2,,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,LTRPA,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,LTRPA,LTRPA,PINK,Stock,USD,2014-08-27 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001750153,CANOO INC.,manufacturing,0001628280-22-029300,2022-11-10 00:00:00+00:00,GOEV|GOEVW,xbrl_symbol_recovered,goev-20220930.htm,f25b95cf0f3f5c81c6df50a72f213e513d0b5b25429180c2e6cf10d3fcfc9d77,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2,,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,GOEV,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,GOEV,GOEV,NASDAQ,Stock,USD,2017-08-01 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001811856,"VIEW, INC.",manufacturing,0001811856-22-000031,2022-11-09 00:00:00+00:00,VIEW|VIEWW,xbrl_symbol_recovered,view-20220930.htm,972f14cafe4430a5d23679a5be38d4211310b560fd1590c27c66be6e8beeb2f0,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2,,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,VIEW,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,VIEW,VIEW,PINK,Stock,USD,2020-10-19 00:00:00+00:00,2024-04-04 00:00:00+00:00,True
0001063344,HERSHA HOSPITALITY TRUST,finance_insurance_real_estate,0001063344-23-000116,2023-11-10 00:00:00+00:00,HT|HT-PC|HT-PD|HT-PE,xbrl_symbol_recovered,ht-20230930.htm,50f03450da805c79a6c6c35e3ad9fa2ec0a3e0c65fc723f1ba1f45df12f020fd,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,4,,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,HT,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,HT,HT,NYSE,Stock,USD,1999-01-21 00:00:00+00:00,2023-11-28 00:00:00+00:00,True
0001102112,PACWEST BANCORP,finance_insurance_real_estate,0001628280-23-038297,2023-11-10 00:00:00+00:00,PACW|PACWP,xbrl_symbol_recovered,pacw-20230930.htm,18d929f5d570da49e4bced17ef9d4546606770c60ea27443c61cbf5c04b28538,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,2,,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,PACW,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,PACW,PACW,NASDAQ,Stock,USD,2000-06-05 00:00:00+00:00,2023-11-30 00:00:00+00:00,True
0001136352,CRESTWOOD EQUITY PARTNERS LP,transport_communications_utilities,0001136352-23-000012,2023-11-03 00:00:00+00:00,CEQP|CEQP-P,xbrl_symbol_recovered,ceqp-20230930.htm,6f6441ee0af9258e26c4a71035b2318f97dc6e8dd4b89a91a5c1375564944dc4,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,2,,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,CEQP,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,CEQP,CEQP,NYSE,Stock,USD,2001-07-26 00:00:00+00:00,2023-11-03 00:00:00+00:00,True
0001723648,"LIVEVOX HOLDINGS, INC.",technology,0001723648-22-000092,2022-11-09 00:00:00+00:00,LVOX|LVOXW|LVOXU,xbrl_symbol_recovered,lvox-20220930.htm,16431f1e8f8e6b577701d6ebafc2df94e9575b9ea99a415732377f82ab780958,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,3,,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,LVOX,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,LVOX,LVOX,NASDAQ,Stock,USD,2019-04-18 00:00:00+00:00,2023-12-22 00:00:00+00:00,True
0001843762,"EQRX, INC.",manufacturing,0001558370-23-017760,2023-11-07 00:00:00+00:00,EQRX|EQRXW,xbrl_symbol_recovered,eqrx-20230930x10q.htm,48e34342d5b00685987ddd891fcf3c0a89b0901a026028cd8d46f993f38725db,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,2,,2023-04-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,3,EQRX,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-04-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,3,EQRX,EQRX,NASDAQ,Stock,USD,2021-12-20 00:00:00+00:00,2023-11-09 00:00:00+00:00,True
0001029800,URSTADT BIDDLE PROPERTIES INC,finance_insurance_real_estate,0001029800-23-000052,2023-06-08 00:00:00+00:00,UBP|UBA|UBPPRH|UBPPRK,xbrl_symbol_recovered,form10q2q2023.htm,64fd9dd93a70451778ea2bfb54b885c4c946ad022023d5c0b4d33816ad18b81b,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,4,,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,UBP,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,UBP,UBP,NYSE,Stock,USD,1987-11-05 00:00:00+00:00,2023-08-28 00:00:00+00:00,True
0001528930,"FRANCHISE GROUP, INC.",finance_insurance_real_estate,0001528930-23-000016,2023-08-09 00:00:00+00:00,FRG|FRGAP,xbrl_symbol_recovered,frg-20230701.htm,3d725274f3a3e4c092419341508b37033853135215d54803b1d7d3b1a85541b8,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,2,,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,FRG,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,FRG,FRG,NASDAQ,Stock,USD,2012-07-02 00:00:00+00:00,2023-08-25 00:00:00+00:00,True
0001568162,"NECESSITY RETAIL REIT, INC.",finance_insurance_real_estate,0001568162-23-000025,2023-08-04 00:00:00+00:00,RTL|RTLPP|RTLPO,xbrl_symbol_recovered,afin-20230630.htm,26a42323f63b70904883a4d1f68be08a5e637d8206c3e07b6a6e3375dd0d1702,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,3,,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,RTL,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,RTL,RTL,NASDAQ,Stock,USD,2018-07-19 00:00:00+00:00,2023-09-12 00:00:00+00:00,True
0001378453,TRAVELCENTERS OF AMERICA INC. /MD/,retail_trade,0001378453-23-000010,2023-04-28 00:00:00+00:00,TA|TANNI|TANNL|TANNZ,xbrl_symbol_recovered,ta-20230331.htm,0c555ea2421b6d8e372e7a33c3b8a36ffde628404e959ac5de86b19447bfd6ef,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,4,,2023-01-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2,TA,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2,TA,TA,NASDAQ,Stock,USD,2007-02-01 00:00:00+00:00,2023-05-15 00:00:00+00:00,True
0001823575,"ZEROFOX HOLDINGS, INC.",services,0000950170-24-032180,2024-03-16 00:00:00+00:00,ZFOX|ZFOXW,xbrl_symbol_recovered,zfox-20240131.htm,caa13a43c3df47fd2ca06895b585d640177da12df86cf2ded41c777128cbf8f3,2024-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,5,2,,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,1,ZFOX,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,1,ZFOX,ZFOX,NASDAQ,Stock,USD,2021-01-07 00:00:00+00:00,2024-05-13 00:00:00+00:00,True
0000091928,SOUTH JERSEY INDUSTRIES INC,transport_communications_utilities,0000091928-22-000029,2022-11-04 00:00:00+00:00,SJI|SJIJ|SJIV,xbrl_symbol_recovered,sji-20220930.htm,3b2a72111f82866faa06b20ec710cede1f70446ff9e3905a34ea995d0789a410,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,3,,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,SJI,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,SJI,SJI,NYSE,Stock,USD,1987-12-30 00:00:00+00:00,2023-01-31 00:00:00+00:00,True
0001209028,ARLINGTON ASSET INVESTMENT CORP.,finance_insurance_real_estate,0001564590-21-055798,2021-11-10 00:00:00+00:00,AAIC|AAIN|AIC,xbrl_symbol_recovered,ai-10q_20210930.htm,7156523f1edf7cfc46b028d63ca032666ec4550e066fde2a0719fa519d32b136,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,3,,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,AAIC,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,AAIC,AAIC,NYSE,Stock,USD,1997-12-23 00:00:00+00:00,2023-12-14 00:00:00+00:00,True
