cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision_x,last_recent_decision_x,recent_decision_rows_x,symbol_count,current_tickers,first_recent_decision_y,last_recent_decision_y,recent_decision_rows_y,first_recent_decision,last_recent_decision,recent_decision_rows,recovered_symbol,current_primary,selection_basis,candidate_format_valid,candidate_unique_across_ciks,audit_status
0000011544,BERKLEY W R CORP,finance_insurance_real_estate,0000011544-26-000005,2026-02-28 00:00:00+00:00,WRB|WRB-PE|WRB-PF|WRB-PG|WRB-PH,xbrl_symbol_recovered,wrb-20251231.htm,b64daf03fc7ed6f55d6c80a70bbabfcfc0ecf76dd5a3e93f7e6de41f789f7841,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,5,WRB|WRB-PE|WRB-PF|WRB-PG|WRB-PH,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,WRB,WRB,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000019617,JPMORGAN CHASE & CO,finance_insurance_real_estate,0001628280-26-008131,2026-02-14 00:00:00+00:00,JPM|AMJB|VYLD,xbrl_symbol_recovered,jpm-20251231.htm,4d9febdbc2038dcdca8726053286df4cbbfd48885051cbd781efcc3becb66a23,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,3,AMJB|JPM|JPM-PC|JPM-PD|JPM-PJ|JPM-PK|JPM-PL|JPM-PM|VYLD,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,JPM,AMJB,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate
0000025475,CRAWFORD & CO,finance_insurance_real_estate,0001193125-26-085465,2026-03-03 00:00:00+00:00,CRD-A|CRD-B,xbrl_symbol_recovered,crda-20251231.htm,1509e54dec18f86a009dee47d8f3477eb66fa07e5710969b56d9f85552b98ad6,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,CRD-A|CRD-B,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CRD-A,CRD-A,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000034903,FEDERAL REALTY INVESTMENT TRUST,finance_insurance_real_estate,0000034903-26-000017,2026-02-13 00:00:00+00:00,FRT|FRT-C,xbrl_symbol_recovered,frt-20251231.htm,3be3b7e6cddd20f01aa4a47390df25798c9278ab95f5950c26db893d87965c66,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,FRT|FRT-PC,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,FRT,FRT,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000035527,FIFTH THIRD BANCORP,finance_insurance_real_estate,0000035527-26-000124,2026-02-25 00:00:00+00:00,FITB|FITBI|FITBP|FITBO|FITBM,xbrl_symbol_recovered,fitb-20251231.htm,d48a6c9e1dd9a7059ea6f4397107093b7042db54cf4d9719d05572c83d504cbe,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,5,FITB|FITB-PA|FITB-PI|FITB-PK|FITB-PM,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,FITB,FITB,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000036270,M&T BANK CORP,finance_insurance_real_estate,0000036270-26-000010,2026-02-19 00:00:00+00:00,MTB|MTBPRH|MTBPRJ|MTBPRK,xbrl_symbol_recovered,mtb-20251231.htm,c26cca148c6982b71ea6f1734a8484ba88e7049407939579a7236efe9e25a161,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,4,MTB|MTB-PH|MTB-PJ|MTB-PK|MTB-PL,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,MTB,MTB,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000039263,"CULLEN/FROST BANKERS, INC.",finance_insurance_real_estate,0000039263-26-000011,2026-02-06 00:00:00+00:00,CFR|CFR.PRB,xbrl_symbol_recovered,cfr-20251231.htm,356877e79e2577f6a53988bfccf4409ce81b848bec2ad56ce0b1142165c0d6f2,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,CFR|CFR-PB,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CFR,CFR,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000046195,BANK OF HAWAII CORP,finance_insurance_real_estate,0000046195-26-000015,2026-02-25 00:00:00+00:00,BOH|BOH.PRA|BOH.PRB,xbrl_symbol_recovered,boh-20251231.htm,a8c0c6599d8f1530db4a48d205d6dd286db06852ffd085209dd3e85c24ee9deb,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,3,BOH|BOH-PA|BOH-PB,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,BOH,BOH,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000049196,HUNTINGTON BANCSHARES INC /MD/,finance_insurance_real_estate,0000049196-26-000015,2026-02-14 00:00:00+00:00,HBANP|HBANM|HBANL|HBANZ|HBAN,xbrl_symbol_recovered,hban-20251231.htm,8634c4eb9abd37a820d04becc68eec6bb1428be0d90f100a8ebc6d1904c54a90,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,5,HBAN|HBANL|HBANM|HBANP|HBANZ,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,HBANP,HBAN,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate
0000072971,WELLS FARGO & COMPANY/MN,finance_insurance_real_estate,0000072971-26-000133,2026-02-25 00:00:00+00:00,WFC|WFC.PRL|WFC.PRY|WFC.PRZ|WFC.PRA|WFC.PRC|WFC.PRD,xbrl_symbol_recovered,wfc-20251231_d2.htm,63f0906ae441374efdd57b759c550ad69982fcfe41c737f1c39e9679e57379a5,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,7,WFC|WFC-PA|WFC-PC|WFC-PD|WFC-PL|WFC-PY|WFC-PZ|WFCNP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,WFC,WFC,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000073124,NORTHERN TRUST CORP,finance_insurance_real_estate,0000073124-26-000016,2026-02-25 00:00:00+00:00,NTRS|NTRSO,xbrl_symbol_recovered,ntrs-20251231.htm,cbbd856c3609d95019b4f59a9e851e70bc2166e3e95c41e6559bd77fade48d07,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,NTRS|NTRSO,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,NTRS,NTRS,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000092230,TRUIST FINANCIAL CORP,finance_insurance_real_estate,0000092230-26-000030,2026-02-25 00:00:00+00:00,TFC|TFC.PI|TFC.PJ|TFC.PO|TFC.PR,xbrl_symbol_recovered,tfc-20251231.htm,7625955b56a2a89ac43a28e37c4d915b19159fb070b7e4350057f5b4b157350f,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,5,TFC|TFC-PI|TFC-PO|TFC-PR,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,TFC,TFC,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000093751,STATE STREET CORP,finance_insurance_real_estate,0000093751-26-000124,2026-02-20 00:00:00+00:00,STT|STT.PRG,xbrl_symbol_recovered,stt-20251231.htm,c8ebfd008d81bba5618805ba416fb2ac71f343195fb1e612952322175da01980,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,STT|STT-PG,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,STT,STT,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000101382,UMB FINANCIAL CORP,finance_insurance_real_estate,0001193125-26-076496,2026-02-27 00:00:00+00:00,UMBF|UMBFO,xbrl_symbol_recovered,umbf-20251231.htm,8fcc2b15449fa4fcc2353dfb0df08957d39cbd33db5fcc1d4458259b66187055,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,UMBF|UMBFO,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,UMBF,UMBF,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",finance_insurance_real_estate,0000109380-26-000046,2026-02-25 00:00:00+00:00,ZION|ZIONP,xbrl_symbol_recovered,zions-20251231.htm,1cc3bbdd1b258f4f6bb6a45a5cddfc68dc330dc703d5d9e158f9defecfb0eb77,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,ZION|ZIONP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,ZION,ZION,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000203596,WESBANCO INC,finance_insurance_real_estate,0001193125-26-085463,2026-03-03 00:00:00+00:00,WSBC|WSBCO,xbrl_symbol_recovered,wsbc-20251231.htm,e0d96c7807404f797c1e365eb9c553b2e4287a8fa433ce775b58d7e7d692763e,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,WSBC|WSBCO,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,WSBC,WSBC,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000230557,SELECTIVE INSURANCE GROUP INC,finance_insurance_real_estate,0000230557-26-000006,2026-02-10 00:00:00+00:00,SIGI|SIGIP,xbrl_symbol_recovered,sigi-20251231.htm,bdcb68245714422ad9dda53d234f809e1049530f8a678fa70eb967a3a8b90434,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,SIGI|SIGIP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,SIGI,SIGI,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000314489,FIRST BUSEY CORP /NV/,finance_insurance_real_estate,0000314489-26-000013,2026-02-27 00:00:00+00:00,BUSE|BUSEP,xbrl_symbol_recovered,buse-20251231.htm,e8009ecc7e85e17f5fb156efd8cab99acc8e4be0264a5cb4f050a57bb321a025,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,BUSE|BUSEP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,BUSE,BUSE,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000700564,FULTON FINANCIAL CORP,finance_insurance_real_estate,0000700564-26-000006,2026-02-28 00:00:00+00:00,FULT|FULTP,xbrl_symbol_recovered,fult-20251231.htm,9dfe4f01d84f0d90045f738bd41f0ee2bb791e9bc202de4586420142f3ee5075,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,FULT|FULTP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,FULT,FULT,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000707179,OLD NATIONAL BANCORP /IN/,finance_insurance_real_estate,0000707179-26-000010,2026-02-20 00:00:00+00:00,ONB|ONBPP|ONBPO,xbrl_symbol_recovered,onb-20251231.htm,3152146c02fd559382a5369012c7f65743a3a0620b3b1b6f37e81ee2042f4ac5,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,3,ONB|ONBPO|ONBPP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,ONB,ONB,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000712534,FIRST MERCHANTS CORP,finance_insurance_real_estate,0000712534-26-000022,2026-02-26 00:00:00+00:00,FRME|FRMEP,xbrl_symbol_recovered,frme-20251231.htm,e61994f86fd85ac60377548230646f336745698da79701588031432b34f4061e,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,FRME|FRMEP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,FRME,FRME,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000712771,"CONNECTONE BANCORP, INC.",finance_insurance_real_estate,0001437749-26-005320,2026-02-25 00:00:00+00:00,CNOB|CNOBP,xbrl_symbol_recovered,cnob20251231c_10k.htm,665bea44a54cfd230d463d92998ec19cc78f1f0bf00bb2607d3b88f36ea907fa,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,CNOB|CNOBP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CNOB,CNOB,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000714310,VALLEY NATIONAL BANCORP,finance_insurance_real_estate,0000714310-26-000017,2026-02-28 00:00:00+00:00,VLY|VLYPP|VLYPO|VLYPN,xbrl_symbol_recovered,vly-20251231.htm,0d2390d6bdaac27e7c19852056dbd663535363607359005c4f348a4ee8992b68,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,4,VLY|VLYPN|VLYPO|VLYPP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,VLY,VLY,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000720672,STIFEL FINANCIAL CORP,finance_insurance_real_estate,0001193125-26-067130,2026-02-25 00:00:00+00:00,SF|SF-PB|SF-PC|SF-PD|SFB,xbrl_symbol_recovered,sf-20251231.htm,a1c70979d35783735aae2e068eb15a230c0d07fe6ad3f667897a0242debe0cb8,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,5,SF|SF-PB|SF-PC|SF-PD|SFB,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,SF,SF,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000736772,CNB FINANCIAL CORP/PA,finance_insurance_real_estate,0000736772-26-000031,2026-03-12 00:00:00+00:00,CCNE|CCNEP,xbrl_symbol_recovered,ccne-20251231.htm,061dca1d0f7fe8a2f75ea0cb9a8168babd532fcd9db717e77bb2e522eb0ab82f,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,CCNE|CCNEP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CCNE,CCNE,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000750577,HANCOCK WHITNEY CORP,finance_insurance_real_estate,0001193125-26-077903,2026-02-28 00:00:00+00:00,HWC|HWCPZ,xbrl_symbol_recovered,hwc-20251231.htm,11c94178d66e3adc604fa3e5e0cd048db901d78551d0257a4602a00ae37dce3b,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,HWC|HWCPZ,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,HWC,HWC,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000763901,"POPULAR, INC.",finance_insurance_real_estate,0001193125-26-085756,2026-03-03 00:00:00+00:00,BPOP|BPOPM,xbrl_symbol_recovered,d17859d10k.htm,cdbea9a09410215adb55b409d902dd75b1e70d4d4a456b764a297b386f9c9b82,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,BPOP|BPOPM|BPOPO,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,BPOP,BPOP,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000798941,FIRST CITIZENS BANCSHARES INC /DE/,finance_insurance_real_estate,0000798941-26-000015,2026-02-25 00:00:00+00:00,FCNCA|FCNCP|FCNCO|FCNCN,xbrl_symbol_recovered,fcnca-20251231.htm,5109c0b40e0b33e432f13a3c20bcd77fc5d46ca4083a9f7a25868b05c4973e3b,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,4,FCNCA|FCNCB|FCNCN|FCNCO|FCNCP,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,FCNCA,FCNCA,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000800457,DONEGAL GROUP INC,finance_insurance_real_estate,0001140361-26-008268,2026-03-07 00:00:00+00:00,DGICA|DGICB,xbrl_symbol_recovered,ef20060826_10k.htm,566f73e2734ce71f131f81f373dc4c4b4b4705de4bb39969db466c1137b3f1f8,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,DGICA|DGICB,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,DGICA,DGICA,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000801337,WEBSTER FINANCIAL CORP,finance_insurance_real_estate,0000801337-26-000008,2026-02-28 00:00:00+00:00,WBS|WBS-PRF|WBS-PRG,xbrl_symbol_recovered,wbs-20251231.htm,084657a740b781cc0a397501044b30004243e73f933a7852dd09dd747ae6cfd0,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,3,WBS|WBS-PF|WBS-PG,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,WBS,WBS,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000826675,DYNEX CAPITAL INC,finance_insurance_real_estate,0000826675-26-000017,2026-02-26 00:00:00+00:00,DX|DXPRC,xbrl_symbol_recovered,dx-20251231.htm,1607e6abc9b7ee5048592aa121559e786380e48e3d6a78d7bfc036a999dd2717,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,DX|DX-PC,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,DX,DX,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000827876,"CLEANSPARK, INC.",finance_insurance_real_estate,0001193125-26-039538,2026-02-06 00:00:00+00:00,CLSK|CLSKW,xbrl_symbol_recovered,clsk-20251231.htm,18d73f3e662fd39c7c0012c87f1c7c82731d9c8f427776cf261a840f5b4e6f5a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,CLSK|CLSKW,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CLSK,CLSK,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000845877,FEDERAL AGRICULTURAL MORTGAGE CORP,finance_insurance_real_estate,0000845877-26-000014,2026-02-20 00:00:00+00:00,AGM.A|AGM|AGM.PRD|AGM.PRE|AGM.PRF|AGM.PRG|AGM.PRH,xbrl_symbol_recovered,agm-20251231.htm,41b7fb66182a77fa8b1b88ded4255a17761c3c9f8aa34aee28e501c19c61ceff,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,7,AGM|AGM-A|AGM-PD|AGM-PE|AGM-PF|AGM-PG|AGM-PH|AGM-PI,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,AGM.A,AGM,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate
